Family;Qsize_R13;Qsize_R14;Cur_Charge_comparable_R13;Cur_Charge_comparable_R14;Exp_Charge__R13;Exp_Charge__R14;Exp_ChargeRates_R13;Exp_ChargeRates_R14;Exp_Charge__comparable_R13;Exp_Charge__comparable_R14;Eff_Gross_R13;Eff_Gross_R14;predFamilies_R13;predFamilies_R14;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0
4.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.5555555555555556;0.2814814814814815;0.1629629629629629;0.0;0.0;0;1
4.0;0.0;0.0;0.0;1.0;10.0;5.0;0.9090909090909092;1.0;2.0;1.0;2.0;0.8;0.0;1.0;0.5774647887323944;0.2112676056338028;0.1830985915492957;0.0211267605633802;0.0070422535211267;0;1
4.0;0.0;0.0;0.0;1.0;10.0;5.0;0.9090909090909092;1.0;2.0;1.0;2.0;0.8;0.0;1.0;0.592;0.256;0.128;0.016;0.008;0;1
3.0;0.0;0.0;0.0;1.0;10.0;12.0;0.8333333333333334;1.0;1.0;1.2;0.9090909090909092;0.9090909090909092;0.0;0.0;0.6206896551724138;0.2183908045977011;0.1494252873563218;0.0;0.0114942528735632;1;0
5.0;0.0;0.0;1.0;0.0;11.0;10.0;1.0;0.9090909090909092;1.1;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.7954545454545454;0.1306818181818181;0.0397727272727272;0.0284090909090909;0.0056818181818181;1;0
2.0;1.0;0.0;1.0;0.0;19.0;10.0;1.0;0.5263157894736842;1.9;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.7431693989071039;0.0928961748633879;0.0983606557377049;0.0163934426229508;0.0491803278688524;0;1
5.0;0.0;1.0;0.8333333333333334;1.0;11.0;16.0;0.6470588235294118;0.7619047619047619;1.0;1.4545454545454546;0.8571428571428571;1.4285714285714286;1.0;0.0;0.7340425531914894;0.1382978723404255;0.0691489361702127;0.0;0.0585106382978723;1;0
2.0;0.0;0.0;1.0;0.0;15.0;4.0;1.0;0.4444444444444444;3.75;1.0;2.0;0.8;0.0;1.0;0.7421052631578947;0.1789473684210526;0.0368421052631578;0.0157894736842105;0.0263157894736842;0;1
2.0;0.0;0.0;1.0;0.0;11.0;4.0;1.0;0.8;2.75;1.0;2.0;0.8;0.0;1.0;0.7150537634408602;0.1827956989247312;0.0806451612903225;0.0161290322580645;0.0053763440860215;0;1
1.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.7435897435897436;0.1846153846153846;0.0564102564102564;0.0153846153846153;0.0;0;1
1.0;0.0;1.0;0.0;1.0;10.0;10.0;0.625;1.0;1.0;1.0;2.0;0.8;0.0;1.0;0.7342995169082126;0.2028985507246377;0.0193236714975845;0.0144927536231884;0.0289855072463768;1;0
1.0;0.0;0.0;1.0;0.3333333333333333;12.0;6.0;0.8571428571428571;0.5;2.0;1.0;1.2;0.8;1.0;1.0;0.7884615384615384;0.1442307692307692;0.0288461538461538;0.0;0.0384615384615384;0;1
1.0;0.0;0.0;1.0;1.0;7.0;5.0;0.875;0.8333333333333334;1.4;1.0;1.2;0.8;1.0;1.0;0.8367346938775511;0.1275510204081632;0.0255102040816326;0.0;0.010204081632653;1;0
1.0;0.0;0.0;1.0;0.0;12.0;4.0;1.0;0.4;3.0;1.0;1.2;0.8;1.0;1.0;0.8223350253807107;0.1116751269035533;0.0203045685279187;0.015228426395939;0.0304568527918781;0;1
1.0;0.0;0.0;1.0;0.0;8.0;4.0;1.0;0.6666666666666666;2.0;1.0;1.2;0.8;1.0;1.0;0.875;0.1136363636363636;0.0;0.0;0.0113636363636363;0;1
4.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.7663551401869159;0.1682242990654205;0.0654205607476635;0.0;0.0;1;0
1.0;0.0;0.0;1.0;0.0;15.0;4.0;1.0;0.4444444444444444;3.75;1.0;2.0;0.8;0.0;1.0;0.6949152542372882;0.2076271186440678;0.0762711864406779;0.0;0.0211864406779661;0;1
3.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.7925311203319502;0.1618257261410788;0.0331950207468879;0.0124481327800829;0.0;0;1
4.0;0.0;1.0;0.0;1.0;6.0;20.0;0.375;1.0;1.0;3.333333333333333;0.8571428571428571;1.4285714285714286;1.0;0.0;0.7609561752988048;0.1553784860557769;0.0318725099601593;0.0119521912350597;0.0398406374501992;1;0
4.0;0.0;1.0;0.3333333333333333;1.0;8.0;16.0;0.5714285714285714;0.8888888888888888;1.0;2.0;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8185483870967742;0.1088709677419354;0.0282258064516129;0.0120967741935483;0.032258064516129;1;0
4.0;0.0;0.0;1.0;0.5;10.0;12.0;0.8333333333333334;0.75;1.0;1.2;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8333333333333334;0.1153846153846153;0.0128205128205128;0.0128205128205128;0.0256410256410256;0;1
4.0;0.0;1.0;0.0;1.0;6.0;12.0;0.4285714285714285;1.0;1.0;2.0;1.2;0.8;1.0;1.0;0.7490494296577946;0.1977186311787072;0.0114068441064638;0.0114068441064638;0.0304182509505703;1;0
4.0;0.0;0.0;0.5;1.0;8.0;8.0;0.6666666666666666;0.8;1.0;1.0;1.2;0.8;1.0;1.0;0.76;0.2;0.0072727272727272;0.0109090909090909;0.0218181818181818;1;0
4.0;0.0;0.0;1.0;0.0;10.0;4.0;1.0;0.5;2.5;1.0;1.2;0.8;1.0;1.0;0.7701149425287356;0.1647509578544061;0.0421455938697318;0.0076628352490421;0.0153256704980842;1;1
4.0;0.0;0.0;1.0;1.0;7.0;5.0;0.875;0.8333333333333334;1.4;1.0;1.2;0.8;1.0;1.0;0.78125;0.1796875;0.03125;0.0;0.0078125;0;1
