Family;Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0
4.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;18.0;21.0;1.0;1.0;1.0;1.0;1.2;1.4;0.9375;1.125;1.3125;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;1;0
2.0;0.0;1.0;0.0;0.0;1.0;0.0;15.0;36.0;21.0;0.4545454545454545;1.0;0.5384615384615384;1.0;2.4;1.4;0.9375;1.125;1.3125;0.0;0.0;0.0;0.8723404255319149;0.1276595744680851;0.0;0.0;0.0;1;0;0
4.0;0.0;1.0;0.0;0.7692307692307693;1.0;0.0;25.0;25.0;21.0;0.6578947368421053;0.7142857142857143;0.4772727272727273;1.1904761904761905;1.1904761904761905;1.0;1.1538461538461535;0.9230769230769232;1.6153846153846154;0.0;1.0;0.0;0.8693181818181818;0.1306818181818181;0.0;0.0;0.0;0;0;1
4.0;0.0;0.0;1.0;0.3125;0.5;1.0;20.0;20.0;30.0;0.4545454545454545;0.4878048780487805;0.6976744186046512;1.0;1.0;1.5;1.1538461538461535;0.9230769230769232;1.0769230769230769;0.0;1.0;1.0;0.8489583333333334;0.1510416666666666;0.0;0.0;0.0;0;0;1
5.0;0.0;0.0;1.0;0.0;0.12;1.0;15.0;21.0;46.0;0.3488372093023256;0.4565217391304347;0.9387755102040816;1.0;1.4;3.066666666666667;0.9375;1.125;1.3125;0.0;0.0;0.0;0.8966789667896679;0.1033210332103321;0.0;0.0;0.0;1;0;0
4.0;1.0;0.0;1.0;0.6;0.12;1.0;30.0;15.0;39.0;0.5172413793103449;0.2727272727272727;0.6842105263157895;2.0;1.0;2.6;1.1538461538461535;0.9230769230769232;1.0769230769230769;0.0;1.0;1.0;0.8496503496503497;0.1503496503496503;0.0;0.0;0.0;0;1;0
5.0;0.0;0.0;1.0;0.5;0.5;1.0;20.0;28.0;41.0;0.4;0.4827586206896552;0.6721311475409836;1.0;1.4;2.05;0.9090909090909092;1.6363636363636365;1.9090909090909087;1.0;0.0;0.0;0.8128654970760234;0.1169590643274853;0.0701754385964912;0.0;0.0;1;0;0
4.0;1.0;0.0;1.0;1.0;0.5;1.0;35.0;22.0;34.0;0.5384615384615384;0.3548387096774194;0.53125;1.5909090909090908;1.0;1.5454545454545454;1.1538461538461535;0.9230769230769232;1.0769230769230769;0.0;1.0;1.0;0.7897727272727273;0.1420454545454545;0.0681818181818181;0.0;0.0;0;1;0
5.0;1.0;1.0;1.0;0.8823529411764706;1.0;0.8823529411764706;25.0;35.0;36.0;0.4385964912280701;0.5384615384615384;0.5294117647058824;1.0;1.4;1.44;0.9090909090909092;1.6363636363636365;1.9090909090909087;1.0;0.0;0.0;0.827683615819209;0.1327683615819209;0.03954802259887;0.0;0.0;0;0;1
5.0;0.0;0.0;1.0;0.1923076923076923;0.2692307692307692;1.0;15.0;25.0;40.0;0.3125;0.4464285714285714;0.7692307692307693;1.0;1.6666666666666667;2.6666666666666665;0.9090909090909092;1.6363636363636365;1.2727272727272727;1.0;0.0;1.0;0.8596491228070176;0.0952380952380952;0.0401002506265664;0.0050125313283208;0.0;0;1;0
