Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0;Selected Resource_3.0
2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.6486486486486487;0.35135135135135137;0.0;0.0;0.0;1;0;0;0
5.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;20.0;15.0;16.0;17.0;1.0;0.7142857142857143;0.7272727272727273;0.7391304347826086;1.3333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.6341463414634146;0.2926829268292683;0.07317073170731707;0.0;0.0;0;0;0;1
2.0;0.0;0.0;0.0;1.0;0.26666666666666666;0.0;0.0;1.0;8.0;15.0;16.0;32.0;0.34782608695652173;0.4411764705882353;0.45714285714285713;0.8888888888888888;1.0;1.875;2.0;4.0;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.47058823529411764;0.3431372549019608;0.18627450980392157;0.0;0.0;1;0;0;0
2.0;1.0;0.0;0.0;1.0;0.5;0.0;0.0;1.0;11.0;15.0;16.0;31.0;0.44;0.4166666666666667;0.43243243243243246;0.8157894736842105;1.0;1.3636363636363635;1.4545454545454546;2.8181818181818183;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.4857142857142857;0.3142857142857143;0.2;0.0;0.0;1;0;0;0
3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.48;0.41;0.0;0.01;0.1;1;0;0;0
3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;11.0;15.0;16.0;17.0;1.0;0.6818181818181818;0.6956521739130435;0.7083333333333334;1.0;1.3636363636363635;1.4545454545454546;1.5454545454545454;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.5267857142857143;0.32142857142857145;0.0625;0.0;0.08928571428571429;0;1;0;0
5.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;22.0;16.0;7.0;0.6666666666666666;1.0;0.6956521739130435;0.5;2.0;3.142857142857143;2.2857142857142856;1.0;1.75;1.875;2.0;0.875;0.0;0.0;0.0;1.0;0.5447761194029851;0.3656716417910448;0.05223880597014925;0.022388059701492536;0.014925373134328358;0;0;1;1
5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;14.0;20.0;16.0;12.0;0.5833333333333334;0.8;0.6153846153846154;0.7058823529411765;1.1666666666666667;1.6666666666666667;1.3333333333333333;1.0;1.75;1.875;2.0;0.875;0.0;0.0;0.0;1.0;0.5609756097560976;0.34959349593495936;0.08130081300813008;0.008130081300813009;0.0;0;0;0;1
4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;14.0;15.0;16.0;18.0;0.9333333333333333;0.9375;0.9411764705882353;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2857142857142858;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.5040650406504065;0.42276422764227645;0.008130081300813009;0.0;0.06504065040650407;1;0;0;0
5.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;27.0;15.0;16.0;7.0;1.0;0.5357142857142857;0.5517241379310345;0.35;3.857142857142857;2.142857142857143;2.2857142857142856;1.0;1.75;1.875;2.0;0.875;0.0;0.0;0.0;1.0;0.48872180451127817;0.3684210526315789;0.09774436090225563;0.0;0.045112781954887216;0;0;0;1
1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.5;26.0;15.0;16.0;23.0;0.8125;0.45454545454545453;0.47058823529411764;0.6571428571428571;1.7333333333333334;1.0;1.0666666666666667;1.5333333333333334;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.39375;0.45;0.1125;0.01875;0.025;0;0;1;0
1.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;1.0;0.0;16.0;15.0;12.0;17.0;0.7272727272727273;0.6521739130434783;0.8571428571428571;0.68;1.3333333333333333;1.25;1.0;1.4166666666666667;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.609375;0.328125;0.0625;0.0;0.0;0;0;0;1
4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.26666666666666666;1.0;4.0;15.0;20.0;32.0;0.17391304347826086;0.4411764705882353;0.5714285714285714;0.8888888888888888;1.0;3.75;5.0;8.0;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.572463768115942;0.2608695652173913;0.13768115942028986;0.0;0.028985507246376812;1;0;0;0
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;14.0;15.0;6.0;17.0;0.5833333333333334;0.6;0.375;1.0;2.3333333333333335;2.5;1.0;2.8333333333333335;2.0;2.142857142857143;0.8571428571428571;1.0;0.0;0.0;1.0;1.0;0.46621621621621623;0.36486486486486486;0.06756756756756757;0.04054054054054054;0.060810810810810814;0;0;1;1
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;14.0;15.0;6.0;21.0;0.5;0.5172413793103449;0.3;1.0;2.3333333333333335;2.5;1.0;3.5;2.0;2.142857142857143;0.8571428571428571;1.0;0.0;0.0;1.0;1.0;0.4146341463414634;0.4634146341463415;0.08536585365853659;0.0;0.036585365853658534;0;0;1;0
