Family;Qsize_R13;Qsize_R14;Cur_Charge_comparable_R13;Cur_Charge_comparable_R14;Exp_Charge__R13;Exp_Charge__R14;Exp_ChargeRates_R13;Exp_ChargeRates_R14;Exp_Charge__comparable_R13;Exp_Charge__comparable_R14;Eff_Gross_R13;Eff_Gross_R14;predFamilies_R13;predFamilies_R14;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0
3.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.4657534246575342;0.5342465753424658;0.0;0.0;0.0;1;0
1.0;1.0;0.0;1.0;0.0;19.0;10.0;1.0;0.5263157894736842;1.9;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.2962962962962963;0.3425925925925926;0.25;0.027777777777777776;0.08333333333333333;0;1
3.0;0.0;1.0;0.8333333333333334;1.0;11.0;16.0;0.6470588235294118;0.7619047619047619;1.0;1.4545454545454546;0.8571428571428571;1.4285714285714286;1.0;0.0;0.4198473282442748;0.3511450381679389;0.1450381679389313;0.0;0.08396946564885496;1;0
2.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.4513888888888889;0.4305555555555556;0.11805555555555555;0.0;0.0;1;0
4.0;1.0;0.0;1.0;0.0;19.0;10.0;1.0;0.5263157894736842;1.9;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.4315068493150685;0.4041095890410959;0.10273972602739725;0.0;0.06164383561643835;0;1
2.0;0.0;0.0;1.0;1.0;6.0;10.0;1.0;1.0;1.0;1.6666666666666667;0.8571428571428571;1.4285714285714286;1.0;0.0;0.4662576687116564;0.4171779141104294;0.10429447852760736;0.012269938650306749;0.0;1;0
5.0;0.0;0.0;1.0;0.0;13.0;10.0;1.0;0.7692307692307693;1.3;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.4966887417218543;0.39072847682119205;0.0728476821192053;0.019867549668874173;0.019867549668874173;0;1
5.0;0.0;1.0;0.0;1.0;10.0;10.0;0.625;1.0;1.0;1.0;2.0;0.8;0.0;1.0;0.48;0.3333333333333333;0.12666666666666668;0.02;0.04;1;0
5.0;0.0;0.0;1.0;0.3333333333333333;12.0;6.0;0.8571428571428571;0.5;2.0;1.0;1.2;0.8;1.0;1.0;0.512;0.336;0.064;0.024;0.064;0;1
5.0;0.0;0.0;1.0;1.0;8.0;6.0;0.8;0.75;1.3333333333333333;1.0;1.2;0.8;1.0;1.0;0.45161290322580644;0.4838709677419355;0.03225806451612903;0.0;0.03225806451612903;1;0
