Family;Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0
2.0;0.0;0.0;1.0;1.0;15.0;15.0;1.0;1.0;1.0;1.0;0.9375;0.9375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1
5.0;1.0;0.0;1.0;0.0;25.0;15.0;1.0;0.6;1.6666666666666667;1.0;0.9375;0.9375;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;1
3.0;1.0;1.0;0.5833333333333334;1.0;22.0;27.0;0.6470588235294118;0.7941176470588235;1.0;1.2272727272727273;0.9375;0.9375;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;1
4.0;1.0;2.0;0.2592592592592592;1.0;22.0;42.0;0.4489795918367347;0.8571428571428571;1.0;1.9090909090909087;0.9375;0.9375;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;1
1.0;1.0;3.0;0.1463414634146341;1.0;21.0;56.0;0.3387096774193548;0.9032258064516128;1.0;2.6666666666666665;0.9375;0.9375;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;1
2.0;1.0;4.0;0.1071428571428571;1.0;11.0;71.0;0.1641791044776119;0.922077922077922;1.0;6.454545454545454;0.8333333333333334;2.5;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1;0
1.0;1.0;4.0;0.1666666666666666;1.0;24.0;59.0;0.3076923076923077;0.8676470588235294;1.0;2.458333333333333;2.5;0.8333333333333334;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0;1
2.0;0.0;4.0;0.0384615384615384;1.0;7.0;67.0;0.1186440677966101;0.9710144927536232;1.0;9.571428571428571;0.8333333333333334;2.5;1.0;0.0;0.8181818181818182;0.1818181818181818;0.0;0.0;0.0;1;0
3.0;0.0;4.0;0.0;1.0;15.0;60.0;0.25;1.0;1.0;4.0;0.9375;0.9375;0.0;0.0;0.569620253164557;0.430379746835443;0.0;0.0;0.0;1;0
5.0;1.0;3.0;0.2105263157894736;1.0;23.0;53.0;0.3770491803278688;0.8688524590163934;1.0;2.3043478260869565;0.9375;0.9375;0.0;0.0;0.5679012345679012;0.2839506172839506;0.1481481481481481;0.0;0.0;1;0
5.0;1.0;3.0;0.53125;1.0;22.0;47.0;0.4074074074074074;0.734375;1.0;2.136363636363636;0.8333333333333334;2.5;1.0;0.0;0.6049382716049383;0.3209876543209876;0.074074074074074;0.0;0.0;1;0
5.0;2.0;3.0;0.6551724137931034;1.0;24.0;44.0;0.4528301886792453;0.6984126984126984;1.0;1.8333333333333333;0.8333333333333334;2.5;1.0;0.0;0.4615384615384615;0.3365384615384615;0.2019230769230769;0.0;0.0;1;0
4.0;3.0;3.0;0.8214285714285714;1.0;38.0;43.0;0.5757575757575758;0.6515151515151515;1.0;1.131578947368421;0.9375;0.9375;0.0;0.0;0.4766355140186916;0.308411214953271;0.2149532710280373;0.0;0.0;1;0
1.0;4.0;3.0;1.0;0.7297297297297297;52.0;32.0;0.6582278481012658;0.463768115942029;1.625;1.0;2.5;0.8333333333333334;0.0;1.0;0.5517241379310345;0.2672413793103448;0.1810344827586207;0.0;0.0;0;1
4.0;2.0;3.0;1.0;0.8;30.0;35.0;0.6;0.5833333333333334;1.0;1.1666666666666667;0.8333333333333334;2.5;1.0;0.0;0.5357142857142857;0.3333333333333333;0.0;0.0119047619047619;0.119047619047619;1;0
3.0;3.0;3.0;1.0;0.6551724137931034;44.0;34.0;0.6984126984126984;0.5396825396825397;1.2941176470588236;1.0;0.9375;0.9375;0.0;0.0;0.4247787610619469;0.3628318584070796;0.1150442477876106;0.0265486725663716;0.0707964601769911;1;0
1.0;4.0;3.0;1.0;0.3902439024390244;56.0;21.0;0.7777777777777778;0.3387096774193548;2.6666666666666665;1.0;2.5;0.8333333333333334;0.0;1.0;0.5277777777777778;0.324074074074074;0.0925925925925925;0.0;0.0555555555555555;0;1
1.0;3.0;3.0;1.0;0.4736842105263157;53.0;23.0;0.7464788732394366;0.3770491803278688;2.3043478260869565;1.0;2.5;0.8333333333333334;0.0;1.0;0.5;0.3482142857142857;0.0625;0.0;0.0892857142857142;0;1
3.0;3.0;3.0;1.0;0.5454545454545454;38.0;33.0;0.6785714285714286;0.5;1.1515151515151516;1.0;0.8333333333333334;2.5;1.0;0.0;0.4285714285714285;0.4285714285714285;0.1008403361344537;0.0;0.042016806722689;1;0
2.0;4.0;3.0;1.0;0.4736842105263157;53.0;33.0;0.7464788732394366;0.4647887323943662;1.606060606060606;1.0;0.9375;0.9375;0.0;0.0;0.4516129032258064;0.4112903225806452;0.0967741935483871;0.0;0.0403225806451612;0;1
2.0;4.0;4.0;1.0;0.868421052631579;53.0;38.0;0.6162790697674418;0.5;1.394736842105263;1.0;2.5;0.8333333333333334;0.0;1.0;0.5107913669064749;0.3669064748201439;0.0863309352517985;0.0;0.0359712230215827;0;1
3.0;4.0;5.0;1.0;1.0;43.0;53.0;0.5308641975308642;0.5824175824175825;1.0;1.2325581395348837;0.8333333333333334;2.5;1.0;0.0;0.5277777777777778;0.3541666666666667;0.0833333333333333;0.0;0.0347222222222222;1;0
1.0;4.0;3.0;1.0;0.8529411764705882;49.0;44.0;0.6282051282051282;0.5641025641025641;1.1136363636363635;1.0;0.9375;0.9375;0.0;0.0;0.4809160305343511;0.3969465648854962;0.0687022900763358;0.0;0.0534351145038167;0;1
1.0;3.0;3.0;0.7222222222222222;1.0;41.0;41.0;0.5324675324675324;0.6119402985074627;1.0;1.0;2.5;0.8333333333333334;0.0;1.0;0.4661654135338345;0.3909774436090225;0.0977443609022556;0.0;0.0451127819548872;0;1
5.0;3.0;4.0;0.5833333333333334;1.0;36.0;51.0;0.5;0.7083333333333334;1.0;1.4166666666666667;0.9375;0.9375;0.0;0.0;0.3877551020408163;0.4285714285714285;0.1496598639455782;0.0;0.0340136054421768;0;1
3.0;3.0;5.0;0.375;1.0;23.0;63.0;0.323943661971831;0.7777777777777778;1.0;2.739130434782609;0.8333333333333334;2.5;1.0;0.0;0.4748201438848921;0.3884892086330935;0.1007194244604316;0.0215827338129496;0.014388489208633;1;0
