Family;Qsize_R13;Qsize_R14;Cur_Charge_comparable_R13;Cur_Charge_comparable_R14;Exp_Charge__R13;Exp_Charge__R14;Exp_ChargeRates_R13;Exp_ChargeRates_R14;Exp_Charge__comparable_R13;Exp_Charge__comparable_R14;Eff_Gross_R13;Eff_Gross_R14;predFamilies_R13;predFamilies_R14;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0
5.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.4074074074074074;0.38271604938271603;0.19753086419753085;0.012345679012345678;0.0;1;0
2.0;1.0;0.0;1.0;0.0;18.0;10.0;1.0;0.5555555555555556;1.8;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.29292929292929293;0.43434343434343436;0.12121212121212122;0.0707070707070707;0.08080808080808081;0;1
2.0;0.0;1.0;0.6666666666666666;1.0;14.0;10.0;0.7;0.7142857142857143;1.4;1.0;2.0;0.8;0.0;1.0;0.27956989247311825;0.4946236559139785;0.08602150537634409;0.03225806451612903;0.10752688172043011;1;0
2.0;1.0;0.0;1.0;0.2;16.0;6.0;0.8888888888888888;0.375;2.6666666666666665;1.0;1.2;0.8;1.0;1.0;0.16216216216216217;0.44144144144144143;0.2882882882882883;0.0;0.10810810810810811;0;1
1.0;0.0;0.0;1.0;0.0;11.0;10.0;1.0;0.9090909090909091;1.1;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.42452830188679247;0.4339622641509434;0.1320754716981132;0.0;0.009433962264150943;0;1
1.0;0.0;0.0;0.0;1.0;10.0;6.0;0.8333333333333334;1.0;1.6666666666666667;1.0;2.0;0.8;0.0;1.0;0.4864864864864865;0.32432432432432434;0.14414414414414414;0.02702702702702703;0.018018018018018018;0;1
5.0;0.0;1.0;0.0;1.0;10.0;15.0;0.6666666666666666;1.0;1.0;1.5;0.9090909090909091;0.9090909090909091;0.0;0.0;0.49056603773584906;0.3113207547169811;0.1320754716981132;0.018867924528301886;0.04716981132075472;0;1
4.0;0.0;1.0;0.0;1.0;10.0;22.0;0.45454545454545453;1.0;1.0;2.2;0.9090909090909091;0.9090909090909091;0.0;0.0;0.4117647058823529;0.4117647058823529;0.08823529411764706;0.0;0.08823529411764706;1;0
4.0;0.0;1.0;0.6;1.0;9.0;15.0;0.6428571428571429;0.8333333333333334;1.0;1.6666666666666667;0.8571428571428571;1.4285714285714286;1.0;0.0;0.48322147651006714;0.3959731543624161;0.040268456375838924;0.026845637583892617;0.053691275167785234;1;0
5.0;1.0;0.0;1.0;0.42857142857142855;17.0;7.0;0.85;0.5;2.4285714285714284;1.0;2.0;0.8;0.0;1.0;0.4594594594594595;0.3581081081081081;0.10810810810810811;0.006756756756756757;0.06756756756756757;0;1
