Family;Qsize_R10;Qsize_R11;Qsize_R12;Cur_Charge_comparable_R10;Cur_Charge_comparable_R11;Cur_Charge_comparable_R12;Exp_Charge__R10;Exp_Charge__R11;Exp_Charge__R12;Exp_ChargeRates_R10;Exp_ChargeRates_R11;Exp_ChargeRates_R12;Exp_Charge__comparable_R10;Exp_Charge__comparable_R11;Exp_Charge__comparable_R12;Eff_Gross_R10;Eff_Gross_R11;Eff_Gross_R12;predFamilies_R10;predFamilies_R11;predFamilies_R12;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0
1.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;0.8;0.0;0.0;0.0;0.9101123595505618;0.0449438202247191;0.0449438202247191;0.0;0.0;1;0;0
1.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;0.8;1.0;0.0;0.0;0.92;0.061052631578947365;0.018947368421052633;0.0;0.0;0;0;1
4.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;4.0;5.0;0.8;0.8;1.0;1.0;1.0;1.25;0.8;0.8;0.8;0.0;0.0;0.0;0.8549019607843137;0.10196078431372549;0.027450980392156862;0.00196078431372549;0.013725490196078431;1;0;0
4.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;0.8;1.0;0.0;0.0;0.8397085610200364;0.0965391621129326;0.03642987249544627;0.0;0.0273224043715847;1;0;0
1.0;1.0;0.0;0.0;1.0;0.0;0.0;8.0;4.0;4.0;1.0;0.5;0.5;2.0;1.0;1.0;0.8;0.8;0.8;0.0;0.0;1.0;0.833634719710669;0.09584086799276673;0.03616636528028933;0.007233273056057866;0.027124773960216998;0;1;0
1.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;0.8;0.0;1.0;1.0;0.8817034700315457;0.083596214511041;0.014195583596214511;0.0;0.02050473186119874;0;0;1
2.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;0.8;0.0;0.0;0.0;0.8601694915254238;0.10734463276836158;0.03248587570621469;0.0;0.0;1;0;0
3.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;0.8;0.0;0.0;0.0;0.8598130841121495;0.12283044058744993;0.012016021361815754;0.0;0.0053404539385847796;1;0;0
4.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;4.0;4.0;1.0;0.8;0.8;1.25;1.0;1.0;0.8;0.8;0.8;0.0;0.0;0.0;0.8545454545454545;0.13636363636363635;0.006493506493506494;0.0012987012987012987;0.0012987012987012987;0;0;1
3.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;4.0;7.0;0.5714285714285714;0.5714285714285714;1.0;1.0;1.0;1.75;0.8;0.8;0.8;1.0;0.0;0.0;0.8631178707224335;0.12927756653992395;0.0038022813688212928;0.0038022813688212928;0.0;1;0;0
3.0;0.0;0.0;0.0;1.0;0.0;0.6666666666666666;7.0;4.0;6.0;0.7777777777777778;0.4444444444444444;0.6666666666666666;1.75;1.0;1.5;0.8;0.8;0.8;1.0;0.0;0.0;0.8551637279596978;0.12468513853904283;0.0025188916876574307;0.006297229219143577;0.011335012594458438;0;1;0
3.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;5.0;4.0;0.8;1.0;0.8;1.0;1.25;1.0;0.8;0.8;0.8;1.0;1.0;0.0;0.8545006165228114;0.12577065351418001;0.004932182490752158;0.0012330456226880395;0.013563501849568433;0;1;0
4.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;0.8;0.0;0.0;1.0;0.8697674418604651;0.11744186046511627;0.002325581395348837;0.0;0.010465116279069767;0;1;0
3.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;5.0;4.0;0.8;1.0;0.8;1.0;1.25;1.0;0.8;0.8;0.8;1.0;0.0;0.0;0.8822857142857143;0.10514285714285715;0.0;0.001142857142857143;0.011428571428571429;0;0;1
4.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;0.8;0.0;1.0;0.0;0.8623435722411832;0.12741751990898748;0.0022753128555176336;0.0;0.007963594994311717;0;1;0
3.0;0.0;1.0;0.0;0.0;1.0;0.0;4.0;8.0;4.0;0.5;1.0;0.5;1.0;2.0;1.0;0.8;0.8;0.8;1.0;0.0;1.0;0.8584371460928653;0.12684031710079274;0.0022650056625141564;0.004530011325028313;0.007927519818799546;1;0;0
3.0;0.0;0.0;0.0;1.0;1.0;0.0;5.0;5.0;4.0;0.8333333333333334;0.8333333333333334;0.6666666666666666;1.25;1.25;1.0;0.8;0.8;0.8;1.0;0.0;1.0;0.8734030197444832;0.11962833914053426;0.0;0.0023228803716608595;0.004645760743321719;0;0;1
4.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;0.8;0.0;1.0;0.0;0.8775267538644471;0.11533888228299644;0.0011890606420927466;0.0;0.005945303210463734;0;1;0
3.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;6.0;4.0;0.6666666666666666;1.0;0.6666666666666666;1.0;1.5;1.0;0.8;0.8;0.8;1.0;0.0;1.0;0.8811524609843937;0.1092436974789916;0.003601440576230492;0.0024009603841536613;0.003601440576230492;1;0;0
3.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;0.8;1.0;0.0;1.0;0.8612099644128114;0.13048635824436536;0.0035587188612099642;0.0;0.004744958481613286;1;0;0
