Family;Qsize_R13;Qsize_R14;Cur_Charge_comparable_R13;Cur_Charge_comparable_R14;Exp_Charge__R13;Exp_Charge__R14;Exp_ChargeRates_R13;Exp_ChargeRates_R14;Exp_Charge__comparable_R13;Exp_Charge__comparable_R14;Eff_Gross_R13;Eff_Gross_R14;predFamilies_R13;predFamilies_R14;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0
2.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9086161879895561;0.08093994778067885;0.0026109660574412533;0.007832898172323759;0.0;0;1
2.0;0.0;1.0;0.0;1.0;10.0;10.0;0.625;1.0;1.0;1.0;2.0;0.8;0.0;1.0;0.875;0.07954545454545454;0.029545454545454545;0.0022727272727272726;0.013636363636363636;0;1
1.0;0.0;1.0;0.0;1.0;10.0;18.0;0.5555555555555556;1.0;1.0;1.8;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8662551440329218;0.06378600823045268;0.053497942386831275;0.0;0.01646090534979424;1;0
4.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.908955223880597;0.058208955223880594;0.023880597014925373;0.008955223880597015;0.0;1;0
5.0;0.0;0.0;1.0;0.0;16.0;10.0;1.0;0.625;1.6;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9173553719008265;0.04269972451790634;0.03168044077134986;0.0;0.008264462809917356;0;1
5.0;0.0;1.0;0.6;1.0;16.0;14.0;0.6153846153846154;0.7;1.1428571428571428;1.0;2.0;0.8;0.0;1.0;0.904891304347826;0.042119565217391304;0.03125;0.0;0.021739130434782608;0;1
3.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9479166666666666;0.04861111111111111;0.003472222222222222;0.0;0.0;1;0
3.0;1.0;0.0;1.0;0.0;15.0;10.0;1.0;0.5263157894736842;1.5;1.0;0.8571428571428571;1.4285714285714286;1.0;0.0;0.9258849557522124;0.0586283185840708;0.0022123893805309734;0.00331858407079646;0.00995575221238938;0;1
3.0;0.0;1.0;0.8333333333333334;1.0;11.0;10.0;0.6470588235294118;0.6666666666666666;1.1;1.0;1.2;0.8;1.0;1.0;0.9206859592711683;0.05680600214362272;0.00857449088960343;0.0021436227224008574;0.011789924973204717;0;1
3.0;0.0;1.0;0.2857142857142857;1.0;8.0;11.0;0.5333333333333333;0.8461538461538461;1.0;1.375;1.2;0.8;1.0;1.0;0.9407327586206896;0.04741379310344827;0.0021551724137931034;0.0;0.009698275862068966;1;0
4.0;0.0;0.0;1.0;0.6666666666666666;13.0;12.0;0.8666666666666667;0.8;1.0833333333333333;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9370249728555917;0.04451682953311618;0.011943539630836048;0.0010857763300760044;0.0054288816503800215;1;1
1.0;1.0;0.0;1.0;0.0;21.0;10.0;1.0;0.47619047619047616;2.1;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9197002141327623;0.05353319057815846;0.014989293361884369;0.0;0.011777301927194861;0;1
1.0;0.0;0.0;1.0;0.0;11.0;4.0;1.0;0.8;2.75;1.0;2.0;0.8;0.0;1.0;0.9384787472035794;0.042505592841163314;0.0145413870246085;0.003355704697986577;0.0011185682326621924;0;1
2.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9595842956120092;0.03002309468822171;0.006928406466512702;0.003464203233256351;0.0;0;1
2.0;0.0;1.0;0.0;1.0;10.0;10.0;0.625;1.0;1.0;1.0;2.0;0.8;0.0;1.0;0.9257592800899888;0.049493813273340834;0.01799775028121485;0.0;0.006749156355455568;1;0
2.0;0.0;0.0;1.0;0.2;11.0;5.0;0.9166666666666666;0.5;2.2;1.0;1.2;0.8;1.0;1.0;0.9217687074829932;0.060090702947845805;0.01020408163265306;0.0011337868480725624;0.006802721088435374;0;1
4.0;0.0;0.0;1.0;1.0;13.0;13.0;0.8125;0.8125;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.928817451205511;0.0539609644087256;0.008036739380022962;0.002296211251435132;0.006888633754305396;0;1
2.0;0.0;1.0;0.0;1.0;6.0;20.0;0.375;1.0;1.0;3.3333333333333335;0.8571428571428571;1.4285714285714286;1.0;0.0;0.9391812865497076;0.044444444444444446;0.004678362573099415;0.0;0.011695906432748537;1;0
4.0;0.0;0.0;0.0;1.0;10.0;5.0;0.9090909090909091;1.0;2.0;1.0;2.0;0.8;0.0;1.0;0.9446450060168472;0.0457280385078219;0.00842358604091456;0.0;0.0012033694344163659;0;1
