Family;Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0
2.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;18.0;21.0;1.0;1.0;1.0;1.0;1.2;1.4;0.9375;1.125;1.3125;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;0;0
5.0;0.0;0.0;0.0;1.0;0.0;0.0;25.0;18.0;21.0;1.0;0.6428571428571429;0.6774193548387096;1.3888888888888888;1.0;1.1666666666666667;0.9375;1.125;1.3125;0.0;0.0;0.0;0.8412698412698413;0.15873015873015872;0.0;0.0;0.0;0;1;0
2.0;0.0;1.0;0.0;0.5555555555555556;1.0;0.0;20.0;36.0;21.0;0.5263157894736842;0.782608695652174;0.42857142857142855;1.0;1.8;1.05;0.9090909090909091;1.6363636363636365;1.9090909090909092;1.0;0.0;0.0;0.654320987654321;0.345679012345679;0.0;0.0;0.0;0;0;1
2.0;0.0;1.0;1.0;0.3125;0.8125;1.0;15.0;31.0;30.0;0.3409090909090909;0.5961538461538461;0.625;1.0;2.066666666666667;2.0;0.9090909090909091;1.6363636363636365;1.2727272727272727;1.0;0.0;1.0;0.6304347826086957;0.3695652173913043;0.0;0.0;0.0;1;0;0
3.0;0.0;0.0;0.0;0.8333333333333334;0.5;1.0;20.0;21.0;27.0;0.6896551724137931;0.65625;0.7714285714285715;1.0;1.05;1.35;0.9375;1.125;1.3125;0.0;0.0;0.0;0.6973684210526315;0.18421052631578946;0.11842105263157894;0.0;0.0;0;0;1
3.0;0.0;0.0;1.0;0.0;0.0;1.0;15.0;18.0;36.0;0.40540540540540543;0.45;1.0;1.0;1.2;2.4;1.0;1.2;0.9333333333333333;0.0;0.0;1.0;0.5393258426966292;0.24719101123595505;0.21348314606741572;0.0;0.0;1;0;0
4.0;0.0;0.0;0.0;0.4166666666666667;0.0;1.0;20.0;18.0;33.0;0.625;0.5142857142857142;0.868421052631579;1.1111111111111112;1.0;1.8333333333333333;0.9375;1.125;1.3125;0.0;0.0;0.0;0.6091954022988506;0.19540229885057472;0.08045977011494253;0.022988505747126436;0.09195402298850575;0;0;1
5.0;0.0;0.0;1.0;0.0;0.0;1.0;15.0;12.0;49.0;0.3488372093023256;0.3;1.0;1.25;1.0;4.083333333333333;1.1538461538461537;0.9230769230769231;1.6153846153846154;0.0;1.0;0.0;0.5517241379310345;0.3218390804597701;0.0;0.011494252873563218;0.11494252873563218;1;0;0
5.0;0.0;0.0;1.0;0.43478260869565216;0.0;1.0;20.0;12.0;44.0;0.46511627906976744;0.26666666666666666;0.8148148148148148;1.6666666666666667;1.0;3.6666666666666665;0.9090909090909091;1.0909090909090908;1.9090909090909092;1.0;1.0;0.0;0.5087719298245614;0.2894736842105263;0.07894736842105263;0.0;0.12280701754385964;0;1;0
1.0;0.0;0.0;1.0;0.2777777777777778;0.3888888888888889;1.0;20.0;25.0;39.0;0.4444444444444444;0.5208333333333334;0.7647058823529411;1.0;1.25;1.95;0.9375;1.125;1.3125;0.0;0.0;0.0;0.5;0.2830188679245283;0.1509433962264151;0.0;0.0660377358490566;1;0;0
