Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.6777777777777778;0.32222222222222224;0.0;0.0;0.0;1.0
3.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;24.0;16.0;17.0;0.6086956521739131;1.0;0.64;0.6538461538461539;1.0;1.7142857142857142;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.6274509803921569;0.28431372549019607;0.08823529411764706;0.0;0.0;3.0
2.0;0.0;0.0;0.0;1.0;0.0;0.3333333333333333;0.0;1.0;14.0;9.0;16.0;29.0;0.4666666666666667;0.42857142857142855;0.5;0.8787878787878788;1.5555555555555556;1.0;1.7777777777777777;3.2222222222222223;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.46956521739130436;0.391304347826087;0.1391304347826087;0.0;0.0;1.0
4.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;1.0;14.0;17.0;16.0;22.0;0.6666666666666666;0.7727272727272727;0.6956521739130435;0.9166666666666666;1.0;1.2142857142857142;1.1428571428571428;1.5714285714285714;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.6862745098039216;0.23529411764705882;0.06862745098039216;0.00980392156862745;0.0;0.0
2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;21.0;5.0;16.0;17.0;1.0;0.4166666666666667;0.6956521739130435;0.7083333333333334;4.2;1.0;3.2;3.4;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.6190476190476191;0.2653061224489796;0.047619047619047616;0.013605442176870748;0.05442176870748299;1.0
5.0;0.0;0.0;0.0;0.0;1.0;0.5;0.0;0.0;18.0;17.0;16.0;17.0;0.9;0.8095238095238095;0.7272727272727273;0.7391304347826086;1.125;1.0625;1.0;1.0625;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.6287425149700598;0.25149700598802394;0.03592814371257485;0.0;0.08383233532934131;1.0
4.0;0.0;1.0;0.0;0.0;0.23529411764705882;1.0;0.0;0.0;8.0;32.0;16.0;17.0;0.32;0.8888888888888888;0.43243243243243246;0.4473684210526316;1.0;4.0;2.0;2.125;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.5769230769230769;0.23076923076923078;0.11538461538461539;0.0;0.07692307692307693;0.0
5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;10.0;16.0;17.0;0.7368421052631579;1.0;0.7619047619047619;0.7727272727272727;1.4;1.0;1.6;1.7;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.7156398104265402;0.22274881516587677;0.023696682464454975;0.0;0.037914691943127965;2.0
3.0;0.0;0.0;1.0;0.0;0.0;0.15384615384615385;1.0;0.0;14.0;17.0;29.0;7.0;0.4827586206896552;0.5666666666666667;0.9354838709677419;0.3181818181818182;2.0;2.4285714285714284;4.142857142857143;1.0;1.75;1.875;2.0;0.875;0.0;0.0;0.0;1.0;0.7111111111111111;0.1688888888888889;0.06666666666666667;0.0;0.05333333333333334;3.0
5.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.4;14.0;5.0;16.0;21.0;0.5;0.2631578947368421;0.8;0.6774193548387096;2.8;1.0;3.2;4.2;2.3333333333333335;0.8333333333333334;1.0;2.8333333333333335;0.0;1.0;1.0;0.0;0.7748917748917749;0.12554112554112554;0.06060606060606061;0.012987012987012988;0.025974025974025976;1.0
