Family;Qsize_R13;Qsize_R14;Cur_Charge_comparable_R13;Cur_Charge_comparable_R14;Exp_Charge__R13;Exp_Charge__R14;Exp_ChargeRates_R13;Exp_ChargeRates_R14;Exp_Charge__comparable_R13;Exp_Charge__comparable_R14;Eff_Gross_R13;Eff_Gross_R14;predFamilies_R13;predFamilies_R14;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
2.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8601895734597157;0.11137440758293839;0.02132701421800948;0.0071090047393364926;0.0;1.0
2.0;0.0;1.0;0.0;1.0;10.0;14.0;0.5;1.0;1.0;1.4;2.0;0.8;0.0;1.0;0.8402777777777778;0.1087962962962963;0.020833333333333332;0.006944444444444444;0.023148148148148147;0.0
2.0;0.0;1.0;1.0;1.0;12.0;10.0;0.6666666666666666;0.625;1.2;1.0;1.2;0.8;1.0;1.0;0.8874458874458875;0.07575757575757576;0.010822510822510822;0.0;0.025974025974025976;1.0
2.0;0.0;2.0;0.5555555555555556;1.0;11.0;13.0;0.55;0.7222222222222222;1.0;1.1818181818181819;1.2;0.8;1.0;1.0;0.8850325379609545;0.06941431670281996;0.008676789587852495;0.006507592190889371;0.03036876355748373;0.0
2.0;1.0;1.0;1.0;0.7142857142857143;13.0;9.0;0.7222222222222222;0.5625;1.4444444444444444;1.0;1.2;0.8;1.0;1.0;0.9044715447154471;0.07113821138211382;0.0;0.0;0.024390243902439025;1.0
2.0;0.0;0.0;0.5;1.0;8.0;8.0;0.6666666666666666;0.8;1.0;1.0;1.2;0.8;1.0;1.0;0.8925476603119584;0.07625649913344887;0.02079722703639515;0.0;0.010398613518197574;1.0
2.0;0.0;1.0;0.25;1.0;8.0;12.0;0.5;0.8571428571428571;1.0;1.5;1.2;0.8;1.0;1.0;0.8864027538726333;0.0757314974182444;0.020654044750430294;0.0;0.01721170395869191;0.0
2.0;0.0;0.0;1.0;1.0;8.0;6.0;0.8;0.75;1.3333333333333333;1.0;1.2;0.8;1.0;1.0;0.9282442748091603;0.05801526717557252;0.007633587786259542;0.0;0.0061068702290076335;1.0
4.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9352226720647774;0.04183535762483131;0.018893387314439947;0.004048582995951417;0.0;1.0
4.0;0.0;1.0;0.0;1.0;10.0;10.0;0.625;1.0;1.0;1.0;2.0;0.8;0.0;1.0;0.9167750325097529;0.06241872561768531;0.009102730819245773;0.0039011703511053317;0.007802340702210663;0.0
4.0;0.0;0.0;1.0;0.3333333333333333;12.0;6.0;0.8571428571428571;0.5;2.0;1.0;1.2;0.8;1.0;1.0;0.9345679012345679;0.04567901234567901;0.009876543209876543;0.0;0.009876543209876543;1.0
4.0;0.0;0.0;1.0;1.0;6.0;4.0;1.0;1.0;1.5;1.0;1.2;0.8;1.0;1.0;0.9413067552602437;0.05426356589147287;0.0;0.004429678848283499;0.0;1.0
3.0;0.0;0.0;0.0;1.0;10.0;12.0;0.8333333333333334;1.0;1.0;1.2;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9327453142227122;0.0639470782800441;0.0;0.0011025358324145535;0.002205071664829107;0.0
4.0;1.0;0.0;1.0;0.0;18.0;4.0;1.0;0.3333333333333333;4.5;1.0;2.0;0.8;0.0;1.0;0.9334811529933481;0.057649667405764965;0.0;0.0;0.008869179600886918;1.0
1.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9174311926605505;0.05733944954128441;0.02522935779816514;0.0;0.0;1.0
5.0;0.0;1.0;0.0;1.0;10.0;20.0;0.5;1.0;1.0;2.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9070294784580499;0.05668934240362812;0.024943310657596373;0.0;0.011337868480725623;0.0
2.0;0.0;0.0;1.0;1.0;13.0;13.0;0.8125;0.8125;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9150174621653085;0.06984866123399301;0.006984866123399301;0.0011641443538998836;0.006984866123399301;0.0
1.0;1.0;0.0;1.0;0.09090909090909091;21.0;5.0;0.9545454545454546;0.3125;4.2;1.0;2.0;0.8;0.0;1.0;0.9156908665105387;0.06323185011709602;0.00702576112412178;0.0;0.01405152224824356;1.0
1.0;0.0;0.0;1.0;0.0;16.0;4.0;1.0;0.4;4.0;1.0;2.0;0.8;0.0;1.0;0.9168646080760094;0.05819477434679335;0.013064133016627079;0.004750593824228029;0.007125890736342043;1.0
1.0;0.0;0.0;1.0;0.5;14.0;6.0;0.875;0.6;2.3333333333333335;1.0;2.0;0.8;0.0;1.0;0.9153754469606674;0.06555423122765197;0.010727056019070322;0.0011918951132300357;0.007151370679380214;0.0
1.0;1.0;0.0;1.0;0.0;18.0;4.0;1.0;0.25;4.5;1.0;1.2;0.8;1.0;1.0;0.9020070838252656;0.05785123966942149;0.025974025974025976;0.0;0.014167650531286895;1.0
3.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.893719806763285;0.07971014492753623;0.020531400966183576;0.006038647342995169;0.0;1.0
1.0;0.0;1.0;0.0;1.0;6.0;18.0;0.42857142857142855;1.0;1.0;3.0;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8910411622276029;0.07263922518159806;0.023002421307506054;0.0036319612590799033;0.009685230024213076;0.0
3.0;0.0;0.0;0.5;1.0;12.0;8.0;0.75;0.8;1.5;1.0;2.0;0.8;0.0;1.0;0.9032258064516129;0.07444168734491315;0.013647642679900745;0.0012406947890818859;0.007444168734491315;0.0
3.0;1.0;0.0;1.0;0.2;16.0;6.0;0.8888888888888888;0.375;2.6666666666666665;1.0;1.2;0.8;1.0;1.0;0.8916256157635468;0.08497536945812807;0.008620689655172414;0.0;0.014778325123152709;1.0
3.0;0.0;0.0;1.0;0.0;10.0;4.0;1.0;0.5;2.5;1.0;1.2;0.8;1.0;1.0;0.8800988875154512;0.09023485784919653;0.024721878862793572;0.0;0.004944375772558714;1.0
3.0;0.0;0.0;1.0;1.0;6.0;4.0;1.0;1.0;1.5;1.0;1.2;0.8;1.0;1.0;0.8931297709923665;0.08651399491094147;0.017811704834605598;0.002544529262086514;0.0;1.0
3.0;0.0;0.0;0.0;1.0;6.0;7.0;0.6666666666666666;1.0;1.0;1.1666666666666667;1.2;0.8;1.0;1.0;0.8951406649616368;0.08312020460358056;0.016624040920716114;0.0012787723785166241;0.0038363171355498722;0.0
3.0;0.0;0.0;1.0;0.25;10.0;5.0;0.9090909090909091;0.5555555555555556;2.0;1.0;1.2;0.8;1.0;1.0;0.8992248062015504;0.07622739018087855;0.01808785529715762;0.0;0.006459948320413436;1.0
3.0;0.0;0.0;1.0;1.0;6.0;4.0;1.0;1.0;1.5;1.0;1.2;0.8;1.0;1.0;0.9315068493150684;0.06164383561643835;0.00410958904109589;0.0027397260273972603;0.0;1.0
3.0;0.0;0.0;0.0;1.0;6.0;5.0;0.8571428571428571;1.0;1.2;1.0;1.2;0.8;1.0;1.0;0.9296551724137931;0.06896551724137931;0.0;0.0;0.001379310344827586;1.0
4.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9058663028649386;0.07094133697135062;0.023192360163710776;0.0;0.0;1.0
3.0;0.0;0.0;0.0;1.0;6.0;13.0;0.6666666666666666;1.0;1.0;2.1666666666666665;0.8571428571428571;1.4285714285714286;1.0;0.0;0.885558583106267;0.10354223433242507;0.004087193460490463;0.0027247956403269754;0.004087193460490463;0.0
1.0;0.0;0.0;1.0;0.0;13.0;10.0;1.0;0.7692307692307693;1.3;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8956884561891516;0.09318497913769123;0.006954102920723227;0.0;0.004172461752433936;1.0
2.0;0.0;1.0;0.0;1.0;10.0;15.0;0.6666666666666666;1.0;1.0;1.5;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8980169971671388;0.0906515580736544;0.0;0.00424929178470255;0.007082152974504249;0.0
