Family;Qsize_R6;Qsize_R7;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Exp_Charge__R6;Exp_Charge__R7;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Eff_Gross_R6;Eff_Gross_R7;predFamilies_R6;predFamilies_R7;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0
5.0;0.0;0.0;1.0;1.0;24.0;33.0;1.0;1.0;1.0;1.375;0.96;1.32;0.0;0.0;0.99890590809628;0.0010940919037199;0.0;1;0
5.0;1.0;0.0;1.0;0.0;31.0;33.0;1.0;0.6;1.0;1.064516129032258;0.9;3.3;1.0;0.0;0.9779116465863452;0.0;0.0220883534136546;0;1
5.0;1.0;1.0;0.5925925925925926;1.0;25.0;41.0;0.4807692307692308;0.7192982456140351;1.0;1.64;0.9;1.4;1.0;1.0;0.9522388059701492;0.0156716417910447;0.0320895522388059;1;1
5.0;1.0;1.0;0.9;1.0;27.0;34.0;0.574468085106383;0.6538461538461539;1.0;1.2592592592592593;0.9;1.4;1.0;1.0;0.9621542940320232;0.0101892285298398;0.0276564774381368;1;0
5.0;1.0;0.0;1.0;0.4166666666666667;21.0;19.0;0.8076923076923077;0.6129032258064516;1.105263157894737;1.0;0.9;1.4;1.0;1.0;0.9815043156596794;0.0080147965474722;0.0104808877928483;0;1
5.0;0.0;0.0;0.5;1.0;16.0;28.0;0.5333333333333333;0.8;1.0;1.75;0.9;1.4;1.0;1.0;0.9819987585350712;0.004965859714463;0.0130353817504655;1;1
5.0;0.0;0.0;1.0;0.7777777777777778;18.0;21.0;0.72;0.7;1.0;1.1666666666666667;0.9;1.4;1.0;1.0;0.9892744479495268;0.0006309148264984;0.0100946372239747;1;0
5.0;1.0;0.0;1.0;0.3125;25.0;19.0;0.8333333333333334;0.5428571428571428;1.3157894736842106;1.0;0.9;1.4;1.0;1.0;0.9867507886435332;0.0;0.0132492113564668;1;1
5.0;0.0;0.0;0.7;1.0;16.0;24.0;0.6153846153846154;0.7741935483870968;1.0;1.5;0.9;1.4;1.0;1.0;0.9825693996126532;0.0064557779212395;0.0109748224661071;1;0
5.0;0.0;0.0;1.0;0.3333333333333333;18.0;17.0;0.8571428571428571;0.6538461538461539;1.0588235294117647;1.0;0.9;1.4;1.0;1.0;0.990112063282795;0.001977587343441;0.007910349373764;1;0
