Family;Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0
5.0;0.0;0.0;1.0;1.0;17.0;36.0;1.0;1.0;1.0;2.1176470588235294;0.9444444444444444;2.0;0.0;0.0;0.0;0.0;0.0;1;0
2.0;1.0;0.0;1.0;0.0;30.0;21.0;1.0;0.5526315789473685;1.4285714285714286;1.0;0.9285714285714286;1.5;0.0;0.0;1.0;0.0;0.0;0;1
5.0;1.0;1.0;0.8;1.0;25.0;56.0;0.5555555555555556;0.7777777777777778;1.0;2.24;0.9;3.6;1.0;0.0;1.0;0.0;0.0;1;0
5.0;2.0;1.0;1.0;0.8;34.0;56.0;0.6296296296296297;0.691358024691358;1.0;1.6470588235294117;0.9;3.6;1.0;0.0;1.0;0.0;0.0;1;0
5.0;3.0;1.0;1.0;0.5757575757575758;42.0;55.0;0.6885245901639344;0.625;1.0;1.3095238095238095;0.9;3.6;1.0;0.0;1.0;0.0;0.0;1;0
5.0;4.0;1.0;1.0;0.43902439024390244;50.0;54.0;0.7352941176470589;0.5684210526315789;1.0;1.08;0.9;3.6;1.0;0.0;1.0;0.0;0.0;1;0
2.0;5.0;1.0;1.0;0.36;63.0;28.0;0.7777777777777778;0.358974358974359;2.25;1.0;1.1818181818181819;0.9090909090909091;0.0;1.0;1.0;0.0;0.0;0;1
3.0;5.0;2.0;1.0;0.56;74.0;70.0;0.7254901960784313;0.5833333333333334;1.0571428571428572;1.0;0.96;1.68;0.0;0.0;1.0;0.0;0.0;0;1
2.0;5.0;3.0;0.9423076923076923;1.0;62.0;73.0;0.543859649122807;0.5983606557377049;1.0;1.1774193548387097;0.9285714285714286;1.5;0.0;0.0;1.0;0.0;0.0;0;1
4.0;5.0;4.0;0.5393258426966292;1.0;78.0;108.0;0.46706586826347307;0.6923076923076923;1.0;1.3846153846153846;1.5;0.95;0.0;0.0;1.0;0.0;0.0;0;1
5.0;5.0;5.0;0.4485981308411215;1.0;57.0;143.0;0.3475609756097561;0.7486910994764397;1.0;2.508771929824561;0.9;3.6;1.0;0.0;1.0;0.0;0.0;1;0
3.0;6.0;5.0;0.5283018867924528;1.0;80.0;148.0;0.43010752688172044;0.7254901960784313;1.0;1.85;0.96;1.68;0.0;0.0;1.0;0.0;0.0;0;1
2.0;6.0;6.0;0.42424242424242425;1.0;69.0;153.0;0.34328358208955223;0.7320574162679426;1.0;2.217391304347826;0.9285714285714286;1.5;0.0;0.0;1.0;0.0;0.0;0;1
1.0;6.0;7.0;0.32941176470588235;1.0;68.0;186.0;0.2857142857142857;0.768595041322314;1.0;2.735294117647059;0.9230769230769231;1.2307692307692308;0.0;0.0;1.0;0.0;0.0;0;1
5.0;6.0;8.0;0.2864583333333333;1.0;64.0;228.0;0.25;0.8056537102473498;1.0;3.5625;0.9;3.6;1.0;0.0;1.0;0.0;0.0;1;0
