Family;Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0
5.0;0.0;0.0;0.0;1.0;1.0;1.0;22.0;26.0;14.0;1.0;1.0;1.0;1.5714285714285714;1.8571428571428572;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333333;0.0;0.0;0.0;1.0;0.0;0.0;0;0;1
5.0;0.0;0.0;1.0;0.0;0.0;1.0;22.0;26.0;7.0;0.8148148148148148;0.8387096774193549;1.0;3.142857142857143;3.7142857142857144;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.993234100135318;0.006765899864682003;0.0;0;0;1
5.0;0.0;0.0;0.0;1.0;1.0;1.0;22.0;26.0;2.0;1.0;1.0;1.0;11.0;13.0;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.9549071618037135;0.0;0.04509283819628647;1;1;0
5.0;0.0;1.0;0.0;0.0;1.0;0.0;22.0;28.0;2.0;0.4782608695652174;1.0;0.07692307692307693;11.0;14.0;1.0;7.333333333333333;1.3333333333333333;0.6666666666666666;0.0;1.0;1.0;0.9432;0.0192;0.0376;0;0;1
5.0;0.0;1.0;0.0;0.0;1.0;0.0;22.0;21.0;2.0;0.5641025641025641;1.0;0.10526315789473684;11.0;10.5;1.0;7.333333333333333;1.3333333333333333;0.6666666666666666;0.0;1.0;1.0;0.9563609467455622;0.01257396449704142;0.03106508875739645;0;0;1
5.0;0.0;1.0;0.0;0.0;1.0;0.0;22.0;12.0;2.0;0.7333333333333333;1.0;0.2;11.0;6.0;1.0;7.333333333333333;1.3333333333333333;0.6666666666666666;0.0;1.0;1.0;0.9723719676549866;0.005390835579514825;0.02223719676549865;1;0;0
5.0;1.0;0.0;0.0;1.0;0.0;0.0;20.0;4.0;2.0;1.0;0.23529411764705882;0.13333333333333333;10.0;2.0;1.0;2.3333333333333335;1.3333333333333333;0.6666666666666666;1.0;1.0;1.0;0.9742647058823529;0.007965686274509803;0.017769607843137254;0;1;0
5.0;0.0;0.0;0.0;1.0;0.0;0.0;11.0;4.0;2.0;1.0;0.5;0.3333333333333333;5.5;2.0;1.0;2.3333333333333335;1.3333333333333333;0.6666666666666666;1.0;1.0;1.0;0.9849624060150376;0.002506265664160401;0.012531328320802004;0;1;1
3.0;0.0;0.0;0.0;1.0;1.0;1.0;16.0;26.0;22.0;1.0;1.0;1.0;1.0;1.625;1.375;0.9411764705882353;1.5294117647058822;1.2941176470588236;0.0;0.0;0.0;0.9826812059012188;0.0;0.01731879409878127;1;0;1
5.0;1.0;0.0;0.0;1.0;0.0;0.0;37.0;4.0;2.0;1.0;0.21052631578947367;0.11764705882352941;18.5;2.0;1.0;7.333333333333333;1.3333333333333333;0.6666666666666666;0.0;1.0;1.0;0.9745222929936306;0.009554140127388535;0.01592356687898089;0;1;0
5.0;1.0;0.0;0.0;1.0;0.0;0.0;28.0;4.0;2.0;1.0;0.4;0.25;14.0;2.0;1.0;7.333333333333333;1.3333333333333333;0.6666666666666666;0.0;1.0;1.0;0.9856020942408377;0.003926701570680628;0.010471204188481676;0;0;1
1.0;0.0;0.0;0.0;1.0;1.0;1.0;12.0;19.0;23.0;1.0;1.0;1.0;1.0;1.5833333333333333;1.9166666666666667;0.9230769230769231;1.4615384615384615;1.7692307692307692;0.0;0.0;0.0;0.9907590759075907;0.0;0.009240924092409241;1;0;0
1.0;1.0;0.0;0.0;1.0;0.0;0.0;8.0;19.0;23.0;1.0;0.76;0.7931034482758621;1.0;2.375;2.875;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.9725669497060745;0.003919007184846506;0.023514043109079032;1;0;1
1.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;19.0;23.0;1.0;1.0;1.0;1.0;9.5;11.5;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.9639107611548556;0.0;0.03608923884514436;1;0;1
2.0;0.0;0.0;0.0;1.0;1.0;1.0;22.0;20.0;20.0;1.0;1.0;1.0;1.1;1.0;1.0;1.0476190476190477;0.9523809523809523;0.9523809523809523;0.0;0.0;0.0;0.9504185447520928;0.0;0.049581455247907275;1;0;0
1.0;1.0;0.0;0.0;1.0;0.0;0.0;29.0;19.0;23.0;1.0;0.5277777777777778;0.575;1.5263157894736843;1.0;1.2105263157894737;0.9230769230769231;1.4615384615384615;1.7692307692307692;0.0;0.0;0.0;0.9458064516129032;0.01096774193548387;0.043225806451612905;0;1;1
1.0;1.0;0.0;1.0;0.5384615384615384;0.0;1.0;19.0;19.0;16.0;0.59375;0.48717948717948717;0.6956521739130435;1.1875;1.1875;1.0;3.0;4.75;0.75;0.0;0.0;1.0;0.961436170212766;0.013297872340425532;0.02526595744680851;0;0;1
1.0;0.0;0.0;1.0;0.0;0.0;1.0;12.0;19.0;9.0;0.6666666666666666;0.76;1.0;1.3333333333333333;2.111111111111111;1.0;3.0;4.75;0.75;0.0;0.0;1.0;0.9656102494942683;0.004045853000674309;0.030343897505057317;1;0;1
3.0;0.0;0.0;0.0;1.0;1.0;1.0;16.0;26.0;22.0;1.0;1.0;1.0;1.0;1.625;1.375;0.9411764705882353;1.5294117647058822;1.2941176470588236;0.0;0.0;0.0;0.9748953974895398;0.0;0.02510460251046025;1;0;1
5.0;1.0;0.0;0.0;1.0;0.0;0.0;41.0;4.0;14.0;1.0;0.17391304347826086;0.42424242424242425;10.25;1.0;3.5;4.4;0.8;2.8;0.0;1.0;0.0;0.9621472814865795;0.01307639366827254;0.02477632484514797;0;1;1
5.0;1.0;0.0;0.0;1.0;0.0;0.0;29.0;4.0;14.0;1.0;0.36363636363636365;0.6666666666666666;7.25;1.0;3.5;4.4;0.8;2.8;0.0;1.0;0.0;0.9622641509433962;0.004891684136967156;0.03284416491963662;0;1;0
3.0;0.0;0.0;0.0;1.0;0.0;0.0;6.0;26.0;22.0;1.0;0.9285714285714286;0.9166666666666666;1.0;4.333333333333333;3.6666666666666665;0.8;5.2;4.4;1.0;0.0;0.0;0.9656897784131523;0.0014295925661186562;0.032880629020729094;1;0;0
2.0;0.0;0.0;0.0;1.0;1.0;1.0;22.0;20.0;20.0;1.0;1.0;1.0;1.1;1.0;1.0;1.0476190476190477;0.9523809523809523;0.9523809523809523;0.0;0.0;0.0;0.9508547008547008;0.0;0.049145299145299144;0;1;0
2.0;0.0;1.0;0.0;0.0;1.0;0.0;22.0;18.0;20.0;0.6470588235294118;1.0;0.625;1.2222222222222223;1.0;1.1111111111111112;3.142857142857143;0.8571428571428571;2.857142857142857;0.0;1.0;0.0;0.9530346820809249;0.008670520231213872;0.03829479768786127;1;1;0
4.0;0.0;2.0;0.0;0.0;1.0;0.0;24.0;38.0;22.0;0.6153846153846154;1.0;0.5945945945945946;1.0909090909090908;1.7272727272727273;1.0;1.0434782608695652;1.0;0.9565217391304348;0.0;0.0;0.0;0.9554277498202732;0.010783608914450037;0.03378864126527678;1;1;0
2.0;0.0;2.0;0.0;0.0;1.0;0.0;22.0;50.0;20.0;0.4230769230769231;1.0;0.4;1.1;2.5;1.0;1.0476190476190477;0.9523809523809523;0.9523809523809523;0.0;0.0;0.0;0.9519023689877961;0.021536252692031587;0.02656137832017229;0;0;1
3.0;0.0;1.0;0.0;0.0;1.0;0.0;4.0;35.0;22.0;0.3076923076923077;1.0;0.7096774193548387;1.0;8.75;5.5;0.8;5.2;4.4;1.0;0.0;0.0;0.9681818181818181;0.006818181818181818;0.025;1;0;1
3.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;26.0;22.0;1.0;1.0;1.0;1.0;6.5;5.5;0.8;5.2;4.4;1.0;0.0;0.0;0.9587155963302753;0.0;0.04128440366972477;1;0;1
3.0;0.0;0.0;0.0;1.0;0.0;0.0;7.0;26.0;22.0;1.0;0.896551724137931;0.88;1.0;3.7142857142857144;3.142857142857143;0.8;5.2;4.4;1.0;0.0;0.0;0.9579188982402448;0.0022953328232593728;0.03978576893649579;1;0;1
3.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;26.0;22.0;1.0;1.0;1.0;1.0;6.5;5.5;0.8;5.2;4.4;1.0;0.0;0.0;0.9596586501163693;0.0;0.04034134988363072;0;0;1
3.0;0.0;0.0;1.0;0.0;0.0;1.0;4.0;26.0;25.0;0.17391304347826086;0.5777777777777777;1.0;1.0;6.5;6.25;0.8;5.2;1.2;1.0;0.0;1.0;0.9498456790123457;0.014660493827160493;0.035493827160493825;1;0;0
