Family;Qsize_R6;Qsize_R7;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Exp_Charge__R6;Exp_Charge__R7;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Eff_Gross_R6;Eff_Gross_R7;predFamilies_R6;predFamilies_R7;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0
2.0;0.0;0.0;1.0;1.0;28.0;40.0;1.0;1.0;1.0;1.4285714285714286;0.9655172413793104;1.3793103448275863;0.0;0.0;0.9914634146341463;0.00853658536585366;0.0;1;0
2.0;1.0;0.0;1.0;0.0;28.0;40.0;1.0;0.6666666666666666;1.0;1.4285714285714286;0.8888888888888888;4.444444444444445;1.0;0.0;0.9672293942403177;0.012909632571996028;0.019860973187686197;1;0
5.0;1.0;0.0;1.0;0.0;38.0;33.0;1.0;0.7021276595744681;1.1515151515151516;1.0;0.96;1.32;0.0;0.0;0.9873039581777446;0.0022404779686333084;0.010455563853622106;1;0
3.0;2.0;0.0;1.0;0.0;75.0;34.0;1.0;0.4657534246575342;2.2058823529411766;1.0;1.0285714285714285;0.9714285714285714;0.0;0.0;0.9605442176870749;0.01292517006802721;0.026530612244897958;0;1
3.0;1.0;1.0;1.0;1.0;50.0;24.0;0.78125;0.631578947368421;2.0833333333333335;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.9587700908455625;0.02166317260656883;0.019566736547868623;1;0
3.0;1.0;0.0;1.0;0.22857142857142856;47.0;18.0;0.8545454545454545;0.33962264150943394;2.611111111111111;1.0;1.0909090909090908;0.9090909090909091;1.0;1.0;0.9550561797752809;0.014747191011235955;0.030196629213483147;0;1
3.0;1.0;1.0;1.0;0.41379310344827586;41.0;22.0;0.7735849056603774;0.43137254901960786;1.8636363636363635;1.0;1.0909090909090908;0.9090909090909091;1.0;1.0;0.9462290502793296;0.025139664804469275;0.02863128491620112;1;0
3.0;2.0;0.0;1.0;0.13636363636363635;56.0;16.0;0.9032258064516129;0.26666666666666666;3.5;1.0;1.0909090909090908;0.9090909090909091;1.0;1.0;0.9470712773465068;0.017642907551164433;0.035285815102328866;1;0
4.0;3.0;0.0;1.0;0.05660377358490566;82.0;31.0;0.9647058823529412;0.36904761904761907;2.6451612903225805;1.0;1.0;0.9655172413793104;0.0;0.0;0.9468462083628633;0.013465627214741318;0.039688164422395464;0;1
4.0;3.0;1.0;1.0;0.6470588235294118;80.0;41.0;0.7079646017699115;0.44565217391304346;1.951219512195122;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9301675977653632;0.0111731843575419;0.05865921787709497;0;1
4.0;3.0;2.0;1.0;0.65;69.0;34.0;0.7263157894736842;0.4594594594594595;2.0294117647058822;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9485879797248371;0.003620564808110065;0.04779145546705286;0;1
4.0;2.0;3.0;1.0;0.8235294117647058;63.0;36.0;0.6923076923076923;0.5142857142857142;1.75;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9278951201747997;0.026948288419519302;0.04515659140568099;0;1
4.0;1.0;2.0;0.8823529411764706;1.0;44.0;25.0;0.7213114754098361;0.625;1.76;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9481311975591151;0.02745995423340961;0.02440884820747521;0;1
2.0;1.0;2.0;0.5833333333333334;1.0;42.0;64.0;0.6363636363636364;0.8205128205128205;1.0;1.5238095238095237;0.9655172413793104;1.3793103448275863;0.0;0.0;0.9451637471439451;0.025894897182025894;0.028941355674028942;1;0
1.0;1.0;1.0;1.0;0.37142857142857144;64.0;36.0;0.8311688311688312;0.5070422535211268;1.7777777777777777;1.0;1.2083333333333333;0.9583333333333334;0.0;0.0;0.9405864197530864;0.022376543209876542;0.037037037037037035;0;1
1.0;1.0;1.0;0.6666666666666666;1.0;49.0;38.0;0.620253164556962;0.6551724137931034;1.2894736842105263;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9411764705882353;0.0196078431372549;0.0392156862745098;0;1
1.0;1.0;2.0;0.5666666666666667;1.0;46.0;38.0;0.6052631578947368;0.6909090909090909;1.2105263157894737;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9498806682577565;0.012728719172633254;0.03739061256961018;0;1
1.0;1.0;3.0;0.4;1.0;43.0;43.0;0.5512820512820513;0.7543859649122807;1.0;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9391304347826087;0.022134387351778657;0.03873517786561265;0;1
