Family;Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource
5.0;0.0;0.0;1.0;1.0;17.0;36.0;1.0;1.0;1.0;2.1176470588235294;0.9444444444444444;2.0;0.0;0.0;0.0;0.0;0.0;0.0
5.0;1.0;0.0;1.0;0.0;26.0;36.0;1.0;0.6792452830188679;1.0;1.3846153846153846;0.9;3.6;1.0;0.0;1.0;0.0;0.0;0.0
2.0;2.0;0.0;1.0;0.0;39.0;21.0;1.0;0.44680851063829785;1.8571428571428572;1.0;0.9285714285714286;1.5;0.0;0.0;1.0;0.0;0.0;0.0
2.0;3.0;0.0;1.0;0.0;49.0;21.0;1.0;0.3387096774193548;2.3333333333333335;1.0;0.8888888888888888;2.3333333333333335;1.0;0.0;1.0;0.0;0.0;0.0
1.0;4.0;0.0;1.0;0.0;61.0;16.0;1.0;0.24615384615384617;3.8125;1.0;0.9230769230769231;1.2307692307692308;0.0;0.0;1.0;0.0;0.0;0.0
4.0;5.0;0.0;1.0;0.0;94.0;19.0;1.0;0.2289156626506024;4.947368421052632;1.0;1.5;0.95;0.0;0.0;1.0;0.0;0.0;1.0
4.0;5.0;1.0;1.0;0.2857142857142857;93.0;25.0;0.8378378378378378;0.2840909090909091;3.72;1.0;3.75;0.875;0.0;1.0;1.0;0.0;0.0;1.0
4.0;5.0;2.0;1.0;0.3968253968253968;93.0;32.0;0.788135593220339;0.3368421052631579;2.90625;1.0;3.75;0.875;0.0;1.0;1.0;0.0;0.0;1.0
3.0;5.0;3.0;1.0;0.4918032786885246;85.0;72.0;0.7391304347826086;0.5413533834586466;1.1805555555555556;1.0;0.96;1.68;0.0;0.0;1.0;0.0;0.0;0.0
4.0;6.0;3.0;1.0;0.4;105.0;37.0;0.7777777777777778;0.33035714285714285;2.8378378378378377;1.0;3.75;0.875;0.0;1.0;1.0;0.0;0.0;1.0
2.0;6.0;4.0;1.0;0.49333333333333335;88.0;58.0;0.704;0.43609022556390975;1.5172413793103448;1.0;0.9285714285714286;1.5;0.0;0.0;1.0;0.0;0.0;1.0
3.0;6.0;5.0;1.0;0.7808219178082192;85.0;99.0;0.5985915492957746;0.5755813953488372;1.0;1.1647058823529413;0.9230769230769231;3.230769230769231;1.0;0.0;1.0;0.0;0.0;0.0
3.0;6.0;5.0;1.0;0.6626506024096386;95.0;97.0;0.6333333333333333;0.5388888888888889;1.0;1.0210526315789474;0.9230769230769231;3.230769230769231;1.0;0.0;1.0;0.0;0.0;0.0
2.0;7.0;5.0;1.0;0.5698924731182796;106.0;63.0;0.6666666666666666;0.40384615384615385;1.6825396825396826;1.0;1.1818181818181819;0.9090909090909091;0.0;1.0;1.0;0.0;0.0;0.0
1.0;8.0;5.0;1.0;0.4690265486725664;125.0;69.0;0.702247191011236;0.3791208791208791;1.8115942028985508;1.0;0.9230769230769231;1.2307692307692308;0.0;0.0;1.0;0.0;0.0;1.0
2.0;8.0;5.0;1.0;0.6636363636363637;118.0;94.0;0.6178010471204188;0.46078431372549017;1.2553191489361701;1.0;0.8888888888888888;2.3333333333333335;1.0;0.0;1.0;0.0;0.0;0.0
3.0;9.0;5.0;1.0;0.6153846153846154;141.0;114.0;0.6619718309859155;0.4935064935064935;1.236842105263158;1.0;0.96;1.68;0.0;0.0;1.0;0.0;0.0;1.0
3.0;9.0;6.0;1.0;0.7692307692307693;141.0;104.0;0.6103896103896104;0.47058823529411764;1.3557692307692308;1.0;1.6;0.9333333333333333;0.0;1.0;1.0;0.0;0.0;1.0
3.0;9.0;7.0;1.0;0.8888888888888888;141.0;118.0;0.5755102040816327;0.502127659574468;1.194915254237288;1.0;1.6;0.9333333333333333;0.0;1.0;1.0;0.0;0.0;1.0
2.0;9.0;8.0;0.9913793103448276;1.0;123.0;137.0;0.5146443514644351;0.5436507936507936;1.0;1.113821138211382;0.8888888888888888;2.3333333333333335;1.0;0.0;1.0;0.0;0.0;0.0
1.0;10.0;8.0;1.0;0.943089430894309;135.0;132.0;0.5378486055776892;0.5176470588235295;1.0227272727272727;1.0;0.9230769230769231;1.2307692307692308;0.0;0.0;1.0;0.0;0.0;1.0
2.0;9.0;9.0;0.7857142857142857;1.0;129.0;175.0;0.4558303886925795;0.5912162162162162;1.0;1.3565891472868217;0.8888888888888888;2.3333333333333335;1.0;0.0;0.9548611111111112;0.04513888888888889;0.0;0.0
3.0;10.0;9.0;0.8376623376623377;1.0;153.0;196.0;0.498371335504886;0.6030769230769231;1.0;1.2810457516339868;0.96;1.68;0.0;0.0;0.956081081081081;0.04391891891891892;0.0;0.0
2.0;11.0;9.0;0.9477124183006536;1.0;158.0;174.0;0.5080385852090032;0.5454545454545454;1.0;1.1012658227848102;0.9285714285714286;1.5;0.0;0.0;0.9612903225806452;0.03870967741935484;0.0;0.0
4.0;12.0;9.0;1.0;0.9272727272727272;195.0;172.0;0.5603448275862069;0.5103857566765578;1.1337209302325582;1.0;1.5;0.95;0.0;0.0;0.9636363636363636;0.03636363636363636;0.0;1.0
1.0;12.0;9.0;1.0;0.9939024390243902;176.0;179.0;0.5191740412979351;0.521865889212828;1.0;1.0170454545454546;0.9230769230769231;1.2307692307692308;0.0;0.0;0.9674556213017751;0.03254437869822485;0.0;0.0
1.0;13.0;9.0;1.0;0.9106145251396648;189.0;179.0;0.5369318181818182;0.5;1.0558659217877095;1.0;0.9090909090909091;1.4545454545454546;1.0;0.0;0.9688385269121813;0.031161473087818695;0.0;0.0
5.0;14.0;9.0;1.0;0.8617021276595744;205.0;198.0;0.55858310626703;0.5129533678756477;1.0353535353535352;1.0;0.9444444444444444;2.0;0.0;0.0;0.9162303664921466;0.08376963350785341;0.0;0.0
4.0;15.0;9.0;1.0;0.8140703517587939;229.0;169.0;0.5856777493606138;0.4592391304347826;1.3550295857988166;1.0;3.75;0.875;0.0;1.0;0.9185750636132316;0.08142493638676845;0.0;1.0
4.0;15.0;10.0;1.0;0.8484848484848485;228.0;175.0;0.5757575757575758;0.4691689008042895;1.302857142857143;1.0;3.75;0.875;0.0;1.0;0.9242424242424242;0.07575757575757576;0.0;1.0
4.0;15.0;11.0;1.0;0.883248730964467;227.0;181.0;0.5660847880299252;0.47883597883597884;1.2541436464088398;1.0;3.75;0.875;0.0;1.0;0.9298245614035088;0.07017543859649122;0.0;1.0
1.0;15.0;12.0;1.0;0.9187817258883249;209.0;197.0;0.5358974358974359;0.5;1.0609137055837563;1.0;0.9230769230769231;1.2307692307692308;0.0;0.0;0.9310344827586207;0.06896551724137931;0.0;1.0
1.0;15.0;13.0;0.9607843137254902;1.0;208.0;216.0;0.5048543689320388;0.5242718446601942;1.0;1.0384615384615385;0.9230769230769231;0.9230769230769231;0.0;1.0;0.9389671361502347;0.06103286384976526;0.0;1.0
3.0;15.0;14.0;0.9074074074074074;1.0;220.0;258.0;0.5045871559633027;0.5682819383259912;1.0;1.1727272727272726;0.96;1.68;0.0;0.0;0.9406392694063926;0.0593607305936073;0.0;1.0
1.0;15.0;15.0;0.8369098712446352;1.0;207.0;249.0;0.47045454545454546;0.5608108108108109;1.0;1.2028985507246377;0.9230769230769231;1.2307692307692308;0.0;0.0;0.9469026548672567;0.05309734513274336;0.0;0.0
5.0;16.0;15.0;0.9141630901287554;1.0;230.0;269.0;0.49676025917926564;0.558091286307054;1.0;1.1695652173913043;0.9444444444444444;2.0;0.0;0.0;0.948936170212766;0.05106382978723404;0.0;0.0
3.0;17.0;15.0;0.9613733905579399;1.0;248.0;247.0;0.5155925155925156;0.524416135881104;1.0040485829959513;1.0;1.6;0.9333333333333333;0.0;1.0;0.9501039501039501;0.0498960498960499;0.0;1.0
1.0;17.0;16.0;0.9068825910931174;1.0;236.0;263.0;0.4886128364389234;0.5400410677618069;1.0;1.1144067796610169;0.9230769230769231;1.2307692307692308;0.0;0.0;0.9515151515151515;0.048484848484848485;0.0;0.0
3.0;18.0;15.0;0.9673469387755103;1.0;261.0;259.0;0.5158102766798419;0.5221774193548387;1.0077220077220077;1.0;1.6;0.9333333333333333;0.0;1.0;0.9563492063492064;0.04365079365079365;0.0;1.0
3.0;18.0;16.0;0.9147286821705426;1.0;260.0;272.0;0.5019305019305019;0.5354330708661418;1.0;1.0461538461538462;1.6;0.9333333333333333;0.0;1.0;0.9199255121042831;0.08007448789571694;0.0;1.0
3.0;18.0;17.0;0.8676470588235294;1.0;260.0;286.0;0.48872180451127817;0.5478927203065134;1.0;1.1;1.6;0.9333333333333333;0.0;1.0;0.9219600725952813;0.0780399274047187;0.0;1.0
5.0;18.0;18.0;0.8251748251748252;1.0;253.0;322.0;0.46938775510204084;0.5770609318996416;1.0;1.2727272727272727;0.9444444444444444;2.0;0.0;0.0;0.9238938053097345;0.07610619469026549;0.0;0.0
5.0;19.0;18.0;0.8636363636363636;1.0;256.0;322.0;0.47232472324723246;0.5659050966608085;1.0;1.2578125;0.9;3.6;1.0;0.0;0.9253472222222222;0.07465277777777778;0.0;0.0
2.0;20.0;18.0;0.8947368421052632;1.0;268.0;306.0;0.484629294755877;0.5454545454545454;1.0;1.1417910447761195;0.9285714285714286;1.5;0.0;0.0;0.9310344827586207;0.06896551724137931;0.0;1.0
4.0;19.0;19.0;0.7875;1.0;282.0;339.0;0.4684385382059801;0.5736040609137056;1.0;1.202127659574468;1.5;0.95;0.0;0.0;0.9137380191693291;0.04952076677316294;0.036741214057507986;1.0
5.0;19.0;20.0;0.744807121661721;1.0;260.0;373.0;0.4355108877721943;0.5977564102564102;1.0;1.4346153846153846;0.9;3.6;1.0;0.0;0.9216300940438872;0.0438871473354232;0.034482758620689655;0.0
4.0;20.0;20.0;0.771513353115727;1.0;290.0;344.0;0.4625199362041467;0.5695364238410596;1.0;1.186206896551724;3.75;0.875;0.0;1.0;0.9227202472952086;0.04327666151468315;0.03400309119010819;1.0
3.0;20.0;21.0;0.7558139534883721;1.0;284.0;386.0;0.45222929936305734;0.5975232198142415;1.0;1.3591549295774648;0.96;1.68;0.0;0.0;0.9235474006116208;0.04281345565749235;0.03363914373088685;0.0
