Family;Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource
5.0;0.0;0.0;0.0;1.0;1.0;1.0;22.0;26.0;14.0;1.0;1.0;1.0;1.5714285714285714;1.8571428571428572;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333333;0.0;0.0;0.0;1.0;0.0;0.0;2.0
4.0;0.0;0.0;1.0;0.0;0.0;1.0;24.0;23.0;33.0;0.6857142857142857;0.6764705882352942;1.0;1.0434782608695652;1.0;1.434782608695652;1.0434782608695652;1.0;0.9565217391304348;0.0;0.0;0.0;0.9695290858725761;0.030470914127423823;0.0;1.0
5.0;0.0;1.0;1.0;0.0;1.0;0.29411764705882354;22.0;43.0;7.0;0.5;0.8958333333333334;0.2916666666666667;3.142857142857143;6.142857142857143;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.9563492063492064;0.04365079365079365;0.0;2.0
4.0;0.0;1.0;2.0;0.0;1.0;0.375;24.0;22.0;28.0;0.5217391304347826;0.7857142857142857;0.6363636363636364;1.0909090909090908;1.0;1.2727272727272727;3.4285714285714284;0.8571428571428571;3.142857142857143;0.0;1.0;0.0;0.9573643410852714;0.04263565891472868;0.0;0.0
4.0;1.0;1.0;0.0;1.0;0.5294117647058824;0.0;19.0;15.0;22.0;0.6785714285714286;0.46875;0.4583333333333333;1.2666666666666666;1.0;1.4666666666666666;0.6666666666666666;2.0;7.333333333333333;1.0;1.0;0.0;0.9204545454545454;0.036931818181818184;0.04261363636363636;2.0
2.0;1.0;0.0;1.0;0.7058823529411765;0.23529411764705882;1.0;34.0;24.0;37.0;0.6181818181818182;0.4528301886792453;0.6981132075471698;1.4166666666666667;1.0;1.5416666666666667;1.0476190476190477;0.9523809523809523;0.9523809523809523;0.0;0.0;0.0;0.9346846846846847;0.037162162162162164;0.028153153153153154;1.0
4.0;1.0;1.0;1.0;0.4;1.0;0.6;12.0;48.0;21.0;0.23076923076923078;0.6575342465753424;0.375;1.0;4.0;1.75;0.6666666666666666;7.666666666666667;2.0;1.0;0.0;1.0;0.9187082405345212;0.0556792873051225;0.025612472160356347;2.0
2.0;1.0;1.0;2.0;0.25;1.0;0.9375;26.0;22.0;35.0;0.45614035087719296;0.5365853658536586;0.6363636363636364;1.1818181818181819;1.0;1.5909090909090908;3.142857142857143;0.8571428571428571;2.857142857142857;0.0;1.0;0.0;0.9215686274509803;0.03611971104231166;0.04231166150670795;2.0
1.0;0.0;0.0;1.0;0.0;0.19047619047619047;1.0;12.0;23.0;44.0;0.32432432432432434;0.5227272727272727;0.9166666666666666;1.0;1.9166666666666667;3.6666666666666665;0.9230769230769231;1.4615384615384615;1.7692307692307692;0.0;0.0;0.0;0.9429602888086642;0.018050541516245487;0.03898916967509025;0.0
2.0;1.0;0.0;1.0;0.5;0.05555555555555555;1.0;31.0;7.0;20.0;0.62;0.20588235294117646;0.6666666666666666;4.428571428571429;1.0;2.857142857142857;7.333333333333333;2.0;0.6666666666666666;0.0;1.0;1.0;0.9444850255661067;0.020452885317750184;0.03506208911614317;1.0
1.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;19.0;27.0;0.3333333333333333;0.8260869565217391;1.0;1.0;9.5;13.5;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.9325108853410741;0.002902757619738752;0.06458635703918723;0.0
3.0;0.0;0.0;0.0;1.0;1.0;1.0;16.0;26.0;22.0;1.0;1.0;1.0;1.0;1.625;1.375;0.9411764705882353;1.5294117647058822;1.2941176470588236;0.0;0.0;0.0;0.9340659340659341;0.0;0.06593406593406594;0.0
3.0;0.0;0.0;0.0;1.0;0.0;0.0;8.0;26.0;22.0;1.0;0.8666666666666667;0.8461538461538461;1.0;3.25;2.75;0.8;5.2;4.4;1.0;0.0;0.0;0.9470098410295231;0.003028009084027252;0.04996214988644966;1.0
3.0;0.0;1.0;0.0;0.0;1.0;0.0;4.0;20.0;22.0;0.2222222222222222;1.0;0.6111111111111112;1.0;5.0;5.5;0.8;1.2;4.4;1.0;1.0;0.0;0.9363008442056792;0.010744435917114352;0.052954719877206444;0.0
2.0;0.0;0.0;0.0;0.0;1.0;0.0;22.0;21.0;2.0;0.9565217391304348;1.0;0.6666666666666666;11.0;10.5;1.0;7.333333333333333;6.666666666666667;0.6666666666666666;0.0;0.0;1.0;0.9498806682577565;0.0007955449482895784;0.049323786793953855;2.0
3.0;0.0;0.0;1.0;0.0;0.07142857142857142;1.0;4.0;7.0;36.0;0.21052631578947367;0.3333333333333333;0.972972972972973;1.0;1.75;9.0;0.8;1.2;4.4;1.0;1.0;0.0;0.939417781274587;0.011801730920535013;0.04878048780487805;0.0
