Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0
0.0;0.0;1.0;1.0;15.0;15.0;1.0;1.0;1.0;1.0;0.9375;0.9375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1
1.0;1.0;0.8;1.0;17.0;30.0;0.53125;0.7142857142857143;1.0;1.7647058823529411;0.8333333333333334;2.5;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1;0
3.0;4.0;0.6976744186046512;1.0;45.0;58.0;0.5113636363636364;0.6590909090909091;1.0;1.288888888888889;0.9375;0.9375;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;1
8.0;7.0;1.0;0.9156626506024096;98.0;91.0;0.5632183908045977;0.5229885057471264;1.0769230769230769;1.0;0.9375;0.9375;0.0;0.0;0.9244186046511628;0.0755813953488372;0.0;0.0;0.0;1;0
9.0;11.0;0.7647058823529411;1.0;96.0;134.0;0.4465116279069767;0.5955555555555555;1.0;1.3958333333333333;0.8333333333333334;2.5;1.0;0.0;0.8823529411764706;0.1176470588235294;0.0;0.0;0.0;1;0
10.0;11.0;0.8067226890756303;1.0;101.0;134.0;0.4590909090909091;0.5826086956521739;1.0;1.3267326732673268;0.8333333333333334;2.5;1.0;0.0;0.8847736625514403;0.1152263374485596;0.0;0.0;0.0;1;0
11.0;13.0;0.6442953020134228;1.0;101.0;164.0;0.404;0.6307692307692307;1.0;1.623762376237624;0.8333333333333334;2.5;1.0;0.0;0.9315589353612168;0.0684410646387832;0.0;0.0;0.0;1;0
11.0;13.0;0.673469387755102;1.0;104.0;162.0;0.4143426294820717;0.6206896551724138;1.0;1.5576923076923077;0.8333333333333334;2.5;1.0;0.0;0.9010989010989012;0.0512820512820512;0.0476190476190476;0.0;0.0;1;0
12.0;13.0;0.7074829931972789;1.0;109.0;162.0;0.42578125;0.6090225563909775;1.0;1.4862385321100915;0.8333333333333334;2.5;1.0;0.0;0.9028776978417268;0.0503597122302158;0.0467625899280575;0.0;0.0;1;0
14.0;15.0;0.7610062893081762;1.0;136.0;174.0;0.4610169491525424;0.5898305084745763;1.0;1.2794117647058822;0.9375;0.9375;0.0;0.0;0.851063829787234;0.094224924012158;0.0547112462006079;0.0;0.0;1;0
19.0;20.0;0.8465116279069768;1.0;197.0;230.0;0.4781553398058252;0.558252427184466;1.0;1.16751269035533;0.9375;0.9375;0.0;0.0;0.9002267573696145;0.0702947845804988;0.0294784580498866;0.0;0.0;0;1
21.0;23.0;0.7354085603112841;1.0;204.0;272.0;0.4425162689804772;0.5900216919739696;1.0;1.3333333333333333;0.9375;0.9375;0.0;0.0;0.89738430583501;0.0744466800804829;0.0140845070422535;0.0;0.0140845070422535;1;0
24.0;26.0;0.7391304347826086;1.0;236.0;314.0;0.4411214953271028;0.5869158878504673;1.0;1.3305084745762712;0.9375;0.9375;0.0;0.0;0.9171075837742504;0.0670194003527336;0.0052910052910052;0.0035273368606701;0.0070546737213403;1;0
24.0;28.0;0.7147239263803681;1.0;238.0;341.0;0.4219858156028369;0.5940766550522648;1.0;1.4327731092436975;0.8333333333333334;2.5;1.0;0.0;0.8887122416534181;0.0508744038155802;0.0445151033386327;0.0;0.0158982511923688;1;0
31.0;33.0;0.792022792022792;1.0;293.0;366.0;0.4549689440993789;0.5683229813664596;1.0;1.2491467576791808;0.9375;0.9375;0.0;0.0;0.9195906432748538;0.0511695906432748;0.0277777777777777;0.0014619883040935;0.0;0;1
31.0;34.0;0.7700831024930748;1.0;293.0;366.0;0.4480122324159021;0.5683229813664596;1.0;1.2491467576791808;2.5;0.8333333333333334;0.0;1.0;0.9167862266857962;0.0530846484935437;0.0129124820659971;0.0014347202295552;0.0157819225251076;1;0
39.0;35.0;0.8790931989924433;1.0;364.0;412.0;0.4783180026281209;0.5413929040735874;1.0;1.1318681318681318;0.9375;0.9375;0.0;0.0;0.929016189290162;0.0523038605230386;0.0074719800747198;0.0024906600249066;0.0087173100871731;0;1
41.0;37.0;0.8436781609195402;1.0;382.0;450.0;0.4675642594859241;0.5507955936352509;1.0;1.1780104712041886;0.9375;0.9375;0.0;0.0;0.9369158878504672;0.0385514018691588;0.0128504672897196;0.0011682242990654;0.0105140186915887;1;0
42.0;38.0;0.8485523385300668;1.0;386.0;464.0;0.4622754491017964;0.5491124260355029;1.0;1.2020725388601037;0.8333333333333334;2.5;1.0;0.0;0.9325842696629212;0.047191011235955;0.0112359550561797;0.0;0.0089887640449438;1;0
43.0;38.0;0.8921348314606742;1.0;412.0;460.0;0.4807467911318553;0.5367561260210035;1.0;1.116504854368932;0.9375;0.9375;0.0;0.0;0.928335170893054;0.0496141124586549;0.0110253583241455;0.0;0.0110253583241455;1;0
