Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource
0.0;0.0;0.0;0.0;0.0;1.0;12.0;19.0;25.0;0.8571428571428571;0.9047619047619048;1.0;1.0;1.5833333333333333;2.083333333333333;0.9230769230769232;1.4615384615384617;1.7692307692307692;0.0;0.0;0.0;0.9544138929088278;0.0014471780028943;0.0441389290882778;0.0
1.0;0.0;0.0;1.0;0.0;0.0;31.0;19.0;23.0;1.0;0.5;0.5476190476190477;1.631578947368421;1.0;1.2105263157894737;0.9230769230769232;1.4615384615384617;1.7692307692307692;0.0;0.0;0.0;0.933431952662722;0.0140532544378698;0.0525147928994082;2.0
0.0;0.0;1.0;0.3636363636363636;0.0;1.0;16.0;19.0;14.0;0.5925925925925926;0.5588235294117647;0.7777777777777778;1.1428571428571428;1.3571428571428572;1.0;3.0;4.75;0.75;0.0;0.0;1.0;0.9523076923076924;0.0115384615384615;0.0361538461538461;2.0
0.0;0.0;1.0;0.0;0.75;1.0;12.0;22.0;7.0;0.631578947368421;0.8461538461538461;0.7;1.7142857142857142;3.142857142857143;1.0;3.0;4.75;0.75;0.0;0.0;1.0;0.9659000793021412;0.0055511498810467;0.028548770816812;2.0
1.0;0.0;0.0;1.0;0.0;0.0;30.0;19.0;3.0;1.0;0.5135135135135135;0.1428571428571428;10.0;6.333333333333333;1.0;3.0;4.75;0.75;0.0;0.0;1.0;0.9289575289575288;0.0138996138996138;0.0571428571428571;0.0
0.0;1.0;1.0;0.0714285714285714;1.0;0.4285714285714285;3.0;33.0;29.0;0.1304347826086956;0.825;0.6590909090909091;1.0;11.0;9.666666666666666;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.9619611158072696;0.0177514792899408;0.0202874049027895;0.0
0.0;1.0;1.0;0.0833333333333333;1.0;0.3333333333333333;3.0;31.0;27.0;0.1578947368421052;0.8611111111111112;0.675;1.0;10.333333333333334;9.0;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.9457881567973312;0.0141784820683903;0.0400333611342785;2.0
0.0;0.0;1.0;0.0;0.0;1.0;2.0;19.0;18.0;0.1176470588235294;0.5588235294117647;1.0;1.0;9.5;9.0;0.6666666666666666;6.333333333333333;1.0;1.0;0.0;1.0;0.942643391521197;0.0124688279301745;0.0448877805486284;0.0
0.0;0.0;0.0;0.0;0.0;1.0;12.0;19.0;24.0;0.9230769230769232;0.95;1.0;1.0;1.5833333333333333;2.0;0.9230769230769232;1.4615384615384617;1.7692307692307692;0.0;0.0;0.0;0.941970310391363;0.0013495276653171;0.0566801619433198;0.0
1.0;0.0;0.0;1.0;0.0;0.0;8.0;19.0;23.0;1.0;0.76;0.7931034482758621;1.0;2.375;2.875;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.9392712550607288;0.0080971659919028;0.0526315789473684;1.0
0.0;0.0;1.0;0.0;0.0;1.0;12.0;7.0;30.0;0.631578947368421;0.5;1.0;1.7142857142857142;1.0;4.285714285714286;1.5;0.875;2.875;0.0;1.0;0.0;0.9808510638297872;0.0148936170212765;0.0042553191489361;1.0
0.0;0.0;0.0;1.0;1.0;1.0;12.0;19.0;23.0;1.0;1.0;1.0;1.0;1.5833333333333333;1.9166666666666667;0.9230769230769232;1.4615384615384617;1.7692307692307692;0.0;0.0;0.0;0.7586206896551724;0.0;0.2413793103448276;0.0
0.0;0.0;0.0;1.0;0.0;0.0;4.0;19.0;23.0;1.0;0.9047619047619048;0.92;1.0;4.75;5.75;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.7559055118110236;0.0157480314960629;0.2283464566929134;1.0
0.0;2.0;0.0;0.0;1.0;0.0;2.0;42.0;23.0;0.08;1.0;0.5;1.0;21.0;11.5;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.2978723404255319;0.2446808510638297;0.4574468085106383;0.0
0.0;3.0;0.0;0.0;1.0;0.0;2.0;34.0;23.0;0.1176470588235294;1.0;0.6052631578947368;1.0;17.0;11.5;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.131578947368421;0.3947368421052631;0.4736842105263157;0.0
