Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource
2.0;3.0;0.5576923076923077;1.0;53.0;94.0;0.5047619047619047;0.7642276422764228;1.0;1.7735849056603774;0.96;1.68;0.0;0.0;1.0;0.0;0.0;1.0
5.0;4.0;0.76;1.0;81.0;89.0;0.5192307692307693;0.6095890410958904;1.0;1.0987654320987654;1.6;0.9333333333333332;0.0;1.0;1.0;0.0;0.0;1.0
6.0;5.0;0.8202247191011236;1.0;97.0;103.0;0.521505376344086;0.5852272727272727;1.0;1.0618556701030928;1.6;0.9333333333333332;0.0;1.0;1.0;0.0;0.0;1.0
6.0;6.0;0.7058823529411765;1.0;96.0;116.0;0.4848484848484848;0.6170212765957447;1.0;1.2083333333333333;1.6;0.9333333333333332;0.0;1.0;1.0;0.0;0.0;1.0
9.0;9.0;0.5352941176470588;1.0;115.0;212.0;0.4035087719298245;0.6996699669966997;1.0;1.8434782608695648;0.96;1.68;0.0;0.0;1.0;0.0;0.0;0.0
9.0;10.0;0.5865921787709497;1.0;117.0;221.0;0.3952702702702703;0.6779141104294478;1.0;1.8888888888888888;0.9230769230769232;3.230769230769231;1.0;0.0;0.9659863945578232;0.0340136054421768;0.0;0.0
10.0;11.0;0.5858585858585859;1.0;128.0;240.0;0.3926380368098159;0.6741573033707865;1.0;1.875;0.9230769230769232;3.230769230769231;1.0;0.0;0.9721362229102168;0.0278637770897832;0.0;0.0
13.0;17.0;0.5;1.0;177.0;348.0;0.3664596273291925;0.6946107784431138;1.0;1.9661016949152543;0.96;1.68;0.0;0.0;0.9870967741935484;0.0129032258064516;0.0;0.0
15.0;20.0;0.6096096096096096;1.0;227.0;375.0;0.4053571428571428;0.6487889273356401;1.0;1.6519823788546255;0.96;1.68;0.0;0.0;0.96229802513465;0.03770197486535;0.0;0.0
16.0;23.0;0.581151832460733;1.0;234.0;424.0;0.3798701298701298;0.6563467492260062;1.0;1.811965811965812;0.9230769230769232;3.230769230769231;1.0;0.0;0.9695024077046548;0.0304975922953451;0.0;0.0
27.0;26.0;0.86810551558753;1.0;386.0;459.0;0.4806973848069738;0.559074299634592;1.0;1.189119170984456;0.96;1.68;0.0;0.0;0.9396863691194208;0.0120627261761158;0.0482509047044632;1.0
27.0;28.0;0.7369477911646586;1.0;391.0;540.0;0.4398200224971879;0.5953693495038589;1.0;1.381074168797954;0.96;1.68;0.0;0.0;0.9301075268817204;0.0268817204301075;0.043010752688172;1.0
30.0;32.0;0.641914191419142;1.0;413.0;648.0;0.4052993130520118;0.6248794599807136;1.0;1.569007263922518;0.96;1.68;0.0;0.0;0.9530651340996168;0.0162835249042145;0.0306513409961685;0.0
31.0;32.0;0.6694214876033058;1.0;417.0;647.0;0.4080234833659491;0.6150190114068441;1.0;1.5515587529976018;0.9230769230769232;3.230769230769231;1.0;0.0;0.957345971563981;0.0142180094786729;0.0284360189573459;0.0
32.0;34.0;0.6546875;1.0;431.0;682.0;0.4024276377217554;0.6194368755676658;1.0;1.582366589327146;0.9230769230769232;3.230769230769231;1.0;0.0;0.9379982285208148;0.0265721877767936;0.0354295837023915;0.0
37.0;35.0;0.7538699690402477;1.0;511.0;688.0;0.4416594641313742;0.585531914893617;1.0;1.346379647749511;0.96;1.68;0.0;0.0;0.944954128440367;0.0233527939949958;0.0316930775646372;1.0
38.0;36.0;0.7406855439642325;1.0;521.0;685.0;0.4370805369127516;0.5795262267343486;1.0;1.3147792706333974;1.6;0.9333333333333332;0.0;1.0;0.9495934959349592;0.0211382113821138;0.0292682926829268;1.0
40.0;38.0;0.7148817802503477;1.0;538.0;761.0;0.4280031821797931;0.5968627450980392;1.0;1.4144981412639406;0.96;1.68;0.0;0.0;0.9550735863671572;0.0185902401239349;0.0263361735089078;1.0
48.0;38.0;0.8416779431664412;1.0;646.0;753.0;0.4664259927797834;0.5476363636363636;1.0;1.1656346749226003;1.6;0.9333333333333332;0.0;1.0;0.9756272401433692;0.0086021505376344;0.0157706093189964;0.0
