Family;Qsize_R13;Qsize_R14;Cur_Charge_comparable_R13;Cur_Charge_comparable_R14;Exp_Charge__R13;Exp_Charge__R14;Exp_ChargeRates_R13;Exp_ChargeRates_R14;Exp_Charge__comparable_R13;Exp_Charge__comparable_R14;Eff_Gross_R13;Eff_Gross_R14;predFamilies_R13;predFamilies_R14;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0
5.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.693069306930693;0.2029702970297029;0.1039603960396039;0.0;0.0;1;1
2.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.8055555555555556;0.1388888888888889;0.0388888888888888;0.0166666666666666;0.0;1;0
4.0;1.0;0.0;1.0;0.0;19.0;10.0;1.0;0.5263157894736842;1.9;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.8020304568527918;0.1116751269035533;0.0304568527918781;0.0101522842639593;0.0456852791878172;0;1
2.0;0.0;1.0;0.8571428571428571;1.0;12.0;17.0;0.631578947368421;0.7391304347826086;1.0;1.4166666666666667;0.8571428571428571;1.4285714285714286;1.0;0.0;0.7336448598130841;0.1308411214953271;0.0747663551401869;0.0;0.0607476635514018;1;0
1.0;0.0;0.0;1.0;0.0;14.0;10.0;1.0;0.7142857142857143;1.4;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.7931034482758621;0.1083743842364532;0.0788177339901477;0.0;0.0197044334975369;0;1
1.0;0.0;1.0;0.0;1.0;10.0;9.0;0.6666666666666666;1.0;1.1111111111111112;1.0;2.0;0.8;0.0;1.0;0.8258706467661692;0.1044776119402985;0.044776119402985;0.0;0.0248756218905472;1;0
1.0;0.0;0.0;1.0;0.0;11.0;4.0;1.0;0.4444444444444444;2.75;1.0;1.2;0.8;1.0;1.0;0.7333333333333333;0.175;0.0625;0.0083333333333333;0.0208333333333333;0;1
1.0;0.0;0.0;1.0;0.5;8.0;5.0;0.8888888888888888;0.7142857142857143;1.6;1.0;1.2;0.8;1.0;1.0;0.7392996108949417;0.1945525291828793;0.046692607003891;0.0077821011673151;0.0116731517509727;0;1
3.0;0.0;0.0;0.0;1.0;10.0;12.0;0.8333333333333334;1.0;1.0;1.2;0.9090909090909092;0.9090909090909092;0.0;0.0;0.7763713080168776;0.1729957805907173;0.0337552742616033;0.0084388185654008;0.0084388185654008;1;0
2.0;1.0;0.0;1.0;0.0;17.0;10.0;1.0;0.5882352941176471;1.7;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.7593360995850622;0.1908713692946058;0.0207468879668049;0.0;0.0290456431535269;0;1
5.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.7868217054263565;0.1007751937984496;0.1085271317829457;0.003875968992248;0.0;1;1
2.0;1.0;0.0;1.0;0.0;18.0;4.0;1.0;0.3333333333333333;4.5;1.0;2.0;0.8;0.0;1.0;0.7642857142857142;0.1214285714285714;0.0857142857142857;0.0;0.0285714285714285;0;1
2.0;0.0;0.0;1.0;1.0;10.0;4.0;1.0;1.0;2.5;1.0;2.0;0.8;0.0;1.0;0.8333333333333334;0.1242424242424242;0.0333333333333333;0.009090909090909;0.0;0;1
4.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.8634920634920635;0.1238095238095238;0.0095238095238095;0.0031746031746031;0.0;1;0
4.0;1.0;0.0;1.0;0.0;14.0;10.0;1.0;0.5555555555555556;1.4;1.0;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8271604938271605;0.1388888888888889;0.0030864197530864;0.0061728395061728;0.0246913580246913;0;1
4.0;0.0;1.0;0.7142857142857143;1.0;11.0;11.0;0.6111111111111112;0.6875;1.0;1.0;1.2;0.8;1.0;1.0;0.8272980501392758;0.1337047353760445;0.0;0.0055710306406685;0.0334261838440111;1;0
4.0;1.0;0.0;1.0;0.5;14.0;8.0;0.7777777777777778;0.5;1.75;1.0;1.2;0.8;1.0;1.0;0.8151260504201681;0.1092436974789916;0.042016806722689;0.0;0.0336134453781512;0;1
3.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.8440111420612814;0.1086350974930362;0.0445682451253481;0.0027855153203342;0.0;1;0
4.0;1.0;0.0;1.0;0.0;18.0;4.0;1.0;0.3333333333333333;4.5;1.0;2.0;0.8;0.0;1.0;0.8085106382978723;0.1276595744680851;0.0425531914893617;0.0;0.0212765957446808;0;1
3.0;0.0;0.0;1.0;0.0;9.0;10.0;1.0;0.7692307692307693;1.0;1.1111111111111112;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8010204081632653;0.1658163265306122;0.0178571428571428;0.0076530612244897;0.0076530612244897;0;1
3.0;0.0;1.0;0.0;1.0;6.0;10.0;0.5;1.0;1.0;1.6666666666666667;1.2;0.8;1.0;1.0;0.7814070351758794;0.1934673366834171;0.0100502512562814;0.0;0.0150753768844221;1;0
3.0;0.0;0.0;1.0;1.0;6.0;4.0;1.0;1.0;1.5;1.0;1.2;0.8;1.0;1.0;0.7676767676767676;0.2146464646464646;0.0;0.0176767676767676;0.0;0;1
3.0;0.0;0.0;1.0;1.0;6.0;4.0;1.0;1.0;1.5;1.0;1.2;0.8;1.0;1.0;0.7471783295711061;0.218961625282167;0.0270880361173814;0.0067720090293453;0.0;0;1
3.0;0.0;0.0;1.0;1.0;6.0;4.0;1.0;1.0;1.5;1.0;1.2;0.8;1.0;1.0;0.7511627906976744;0.1976744186046511;0.0511627906976744;0.0;0.0;1;1
5.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.7911547911547911;0.1744471744471744;0.027027027027027;0.0073710073710073;0.0;0;1
5.0;0.0;1.0;0.0;1.0;10.0;10.0;0.625;1.0;1.0;1.0;2.0;0.8;0.0;1.0;0.7814726840855107;0.1876484560570071;0.007125890736342;0.009501187648456;0.014251781472684;1;0
5.0;1.0;0.0;1.0;0.5;14.0;8.0;0.7777777777777778;0.5;1.75;1.0;1.2;0.8;1.0;1.0;0.753880266075388;0.2017738359201774;0.0155210643015521;0.0022172949002217;0.0266075388026607;0;1
5.0;0.0;1.0;1.0;1.0;12.0;10.0;0.6666666666666666;0.625;1.2;1.0;1.2;0.8;1.0;1.0;0.7662921348314606;0.1910112359550561;0.0089887640449438;0.0067415730337078;0.0269662921348314;1;0
5.0;1.0;0.0;1.0;0.25;14.0;6.0;0.875;0.4285714285714285;2.333333333333333;1.0;1.2;0.8;1.0;1.0;0.7855530474040632;0.1873589164785553;0.0045146726862302;0.0;0.0225733634311512;1;0
