Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0;Selected Resource_3.0
2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.4782608695652174;0.5217391304347826;0.0;0.0;0.0;1;0;0;0
3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;25.0;15.0;16.0;17.0;1.0;0.5769230769230769;0.5925925925925926;0.6071428571428571;1.6666666666666667;1.0;1.0666666666666669;1.1333333333333333;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.5391304347826087;0.3652173913043478;0.0956521739130434;0.0;0.0;0;1;1;0
5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;15.0;17.0;17.0;0.9333333333333332;0.9375;1.0;0.9444444444444444;1.0;1.0714285714285714;1.2142857142857142;1.2142857142857142;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.5217391304347826;0.4710144927536231;0.0072463768115942;0.0;0.0;0;0;0;1
5.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0588235294117647;1.0;14.0;15.0;17.0;24.0;0.4375;0.4545454545454545;0.5;0.96;1.0;1.0714285714285714;1.2142857142857142;1.7142857142857142;1.75;1.875;2.0;0.875;0.0;0.0;0.0;1.0;0.4645161290322581;0.4193548387096774;0.1161290322580645;0.0;0.0;1;0;0;0
3.0;1.0;0.0;0.0;1.0;0.8235294117647058;0.0;0.0588235294117647;1.0;28.0;15.0;7.0;34.0;0.6086956521739131;0.3191489361702128;0.1842105263157894;0.6938775510204082;4.0;2.142857142857143;1.0;4.857142857142857;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.4260355029585799;0.3846153846153846;0.1893491124260355;0.0;0.0;0;0;1;0
5.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;1.0;8.0;15.0;16.0;14.0;0.5333333333333333;0.5769230769230769;0.5925925925925926;0.7777777777777778;1.0;1.875;2.0;1.75;0.8;3.0;3.2;1.4;1.0;0.0;0.0;1.0;0.583732057416268;0.3349282296650718;0.0526315789473684;0.0047846889952153;0.0239234449760765;0;0;0;1
5.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;4.0;15.0;16.0;17.0;0.2857142857142857;0.6;0.6153846153846154;1.0;1.0;3.75;4.0;4.25;0.8;3.0;3.2;1.4;1.0;0.0;0.0;1.0;0.6031746031746031;0.3068783068783068;0.0529100529100529;0.0;0.037037037037037;1;0;0;1
4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;14.0;15.0;16.0;23.0;0.7;0.7142857142857143;0.7272727272727273;1.0;1.0;1.0714285714285714;1.1428571428571428;1.6428571428571428;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.6759776536312849;0.2569832402234637;0.0335195530726257;0.0167597765363128;0.0167597765363128;0;1;0;0
5.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.3076923076923077;4.0;28.0;16.0;11.0;0.1904761904761904;0.875;0.4848484848484848;0.4583333333333333;1.0;7.0;4.0;2.75;0.8;3.0;3.2;1.4;1.0;0.0;0.0;1.0;0.6502463054187192;0.1970443349753694;0.083743842364532;0.0246305418719211;0.0443349753694581;1;0;0;0
5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;20.0;16.0;7.0;0.4444444444444444;1.0;0.7619047619047619;0.5833333333333334;1.0;5.0;4.0;1.75;0.8;3.0;3.2;1.4;1.0;0.0;0.0;1.0;0.6914285714285714;0.2342857142857143;0.0285714285714285;0.0057142857142857;0.04;1;0;0;0
4.0;0.0;0.0;0.0;0.0;0.6666666666666666;1.0;0.0;0.0;16.0;8.0;16.0;17.0;0.8421052631578947;0.8;0.7619047619047619;0.7727272727272727;2.0;1.0;2.0;2.125;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.6358695652173914;0.266304347826087;0.0271739130434782;0.0;0.0706521739130434;0;1;0;0
5.0;0.0;1.0;0.0;0.0;0.25;1.0;0.0;0.0;6.0;23.0;16.0;7.0;0.4285714285714285;0.92;0.6153846153846154;0.4117647058823529;1.0;3.8333333333333335;2.6666666666666665;1.1666666666666667;0.8;3.0;3.2;1.4;1.0;0.0;0.0;1.0;0.6190476190476191;0.2592592592592592;0.0529100529100529;0.0;0.0687830687830687;1;0;0;0
