Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0;Selected Resource_3.0
2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.573170731707317;0.4268292682926829;0.0;0.0;0.0;0;1;0;0
5.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;25.0;16.0;17.0;0.5833333333333334;1.0;0.6153846153846154;0.6296296296296297;1.0;1.7857142857142858;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.5413533834586466;0.38345864661654133;0.07518796992481203;0.0;0.0;0;0;0;1
4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;14.0;15.0;16.0;24.0;0.6666666666666666;0.6818181818181818;0.6956521739130435;1.0;1.0;1.0714285714285714;1.1428571428571428;1.7142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.6078431372549019;0.3235294117647059;0.06862745098039216;0.0;0.0;1;0;0;0
3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.36363636363636365;25.0;15.0;16.0;21.0;0.8620689655172413;0.5;0.5161290322580645;0.65625;1.6666666666666667;1.0;1.0666666666666667;1.4;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.6946564885496184;0.183206106870229;0.11450381679389313;0.007633587786259542;0.0;0;0;1;1
4.0;0.0;0.0;1.0;0.0;0.4444444444444444;0.0;1.0;0.0;8.0;15.0;25.0;17.0;0.47058823529411764;0.5357142857142857;0.8620689655172413;0.5666666666666667;1.0;1.875;3.125;2.125;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.5508982035928144;0.3413173652694611;0.07784431137724551;0.005988023952095809;0.023952095808383235;1;0;0;0
3.0;1.0;0.0;1.0;0.0;0.875;0.0;1.0;0.0;21.0;15.0;14.0;17.0;0.7241379310344828;0.5;0.6666666666666666;0.53125;1.5;1.0714285714285714;1.0;1.2142857142857142;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.5555555555555556;0.3333333333333333;0.09259259259259259;0.0;0.018518518518518517;0;0;1;0
3.0;0.0;0.0;1.0;0.0;0.3;0.0;1.0;0.0;17.0;15.0;16.0;17.0;0.6296296296296297;0.5357142857142857;0.8421052631578947;0.5666666666666667;1.1333333333333333;1.0;1.0666666666666667;1.1333333333333333;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.6649214659685864;0.2198952879581152;0.06806282722513089;0.015706806282722512;0.031413612565445025;0;0;0;1
5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;14.0;15.0;16.0;24.0;0.6666666666666666;0.6818181818181818;0.6956521739130435;1.0;1.0;1.0714285714285714;1.1428571428571428;1.7142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.6782178217821783;0.20297029702970298;0.034653465346534656;0.0;0.08415841584158416;0;0;1;0
2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;14.0;5.0;25.0;17.0;0.6086956521739131;0.35714285714285715;1.0;0.6538461538461539;2.8;1.0;5.0;3.4;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.7040816326530612;0.21428571428571427;0.04591836734693878;0.0;0.03571428571428571;0;0;0;1
2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.5;1.0;14.0;5.0;24.0;23.0;0.3684210526315789;0.1724137931034483;0.6;0.7419354838709677;2.8;1.0;4.8;4.6;2.3333333333333335;0.8333333333333334;2.6666666666666665;1.1666666666666667;0.0;1.0;0.0;1.0;0.6570048309178744;0.18840579710144928;0.11594202898550725;0.014492753623188406;0.024154589371980676;1;1;0;0
