Family;Qsize_R13;Qsize_R14;Cur_Charge_comparable_R13;Cur_Charge_comparable_R14;Exp_Charge__R13;Exp_Charge__R14;Exp_ChargeRates_R13;Exp_ChargeRates_R14;Exp_Charge__comparable_R13;Exp_Charge__comparable_R14;Eff_Gross_R13;Eff_Gross_R14;predFamilies_R13;predFamilies_R14;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0
1.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8742138364779874;0.09014675052410902;0.03563941299790356;0.0;0.0;1;0
3.0;0.0;0.0;1.0;0.0;13.0;10.0;1.0;0.7692307692307693;1.3;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8895027624309392;0.09208103130755065;0.007366482504604052;0.0055248618784530384;0.0055248618784530384;0;1
3.0;0.0;1.0;0.0;1.0;10.0;10.0;0.625;1.0;1.0;1.0;2.0;0.8;0.0;1.0;0.8426966292134831;0.08025682182985554;0.06741573033707865;0.0;0.009630818619582664;0;1
2.0;0.0;1.0;0.0;1.0;10.0;15.0;0.6666666666666666;1.0;1.0;1.5;0.9090909090909091;0.9090909090909091;0.0;0.0;0.882800608828006;0.0684931506849315;0.0410958904109589;0.0;0.0076103500761035;1;0
5.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9132791327913279;0.05962059620596206;0.024390243902439025;0.0027100271002710027;0.0;0;1
4.0;0.0;1.0;0.0;1.0;10.0;20.0;0.5;1.0;1.0;2.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9010695187165776;0.058823529411764705;0.02406417112299465;0.00267379679144385;0.013368983957219251;1;0
4.0;1.0;1.0;1.0;1.0;13.0;17.0;0.65;0.7083333333333334;1.0;1.3076923076923077;0.8571428571428571;1.4285714285714286;1.0;0.0;0.9173333333333333;0.04666666666666667;0.017333333333333333;0.0;0.018666666666666668;1;0
5.0;1.0;0.0;1.0;0.25;18.0;6.0;0.9;0.42857142857142855;3.0;1.0;2.0;0.8;0.0;1.0;0.9283854166666666;0.049479166666666664;0.0026041666666666665;0.006510416666666667;0.013020833333333334;0;1
4.0;0.0;0.0;1.0;0.6666666666666666;12.0;14.0;0.75;0.7;1.0;1.1666666666666667;0.8571428571428571;1.4285714285714286;1.0;0.0;0.9307304785894207;0.05289672544080604;0.0;0.003778337531486146;0.012594458438287154;1;0
5.0;1.0;0.0;1.0;0.0;18.0;4.0;1.0;0.3333333333333333;4.5;1.0;2.0;0.8;0.0;1.0;0.9097651421508035;0.07787391841779975;0.002472187886279357;0.0;0.009888751545117428;0;1
5.0;1.0;0.0;1.0;0.42857142857142855;17.0;7.0;0.85;0.5;2.4285714285714284;1.0;2.0;0.8;0.0;1.0;0.9134146341463415;0.07317073170731707;0.0012195121951219512;0.0;0.012195121951219513;0;1
5.0;0.0;0.0;1.0;1.0;11.0;5.0;0.9166666666666666;0.8333333333333334;2.2;1.0;2.0;0.8;0.0;1.0;0.9051428571428571;0.08;0.012571428571428572;0.0;0.002285714285714286;0;1
2.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8922018348623854;0.08830275229357798;0.0194954128440367;0.0;0.0;1;0
1.0;0.0;0.0;1.0;0.0;13.0;10.0;1.0;0.7692307692307693;1.3;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8852838933951332;0.0984936268829664;0.009269988412514484;0.0034762456546929316;0.0034762456546929316;0;1
1.0;0.0;1.0;0.0;1.0;10.0;10.0;0.625;1.0;1.0;1.0;2.0;0.8;0.0;1.0;0.863013698630137;0.10844748858447488;0.021689497716894976;0.0;0.00684931506849315;1;0
1.0;0.0;0.0;1.0;0.0;10.0;4.0;1.0;0.5;2.5;1.0;1.2;0.8;1.0;1.0;0.8910179640718563;0.09221556886227544;0.009580838323353293;0.0023952095808383233;0.004790419161676647;0;1
1.0;0.0;0.0;1.0;1.0;7.0;5.0;0.875;0.8333333333333334;1.4;1.0;1.2;0.8;1.0;1.0;0.9066339066339066;0.08353808353808354;0.006142506142506142;0.0012285012285012285;0.002457002457002457;0;1
1.0;0.0;0.0;0.0;1.0;6.0;7.0;0.6666666666666666;1.0;1.0;1.1666666666666667;1.2;0.8;1.0;1.0;0.9152119700748129;0.0773067331670823;0.003740648379052369;0.0;0.003740648379052369;1;0
3.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8875154511742892;0.10012360939431397;0.012360939431396786;0.0;0.0;0;1
3.0;0.0;1.0;0.0;1.0;10.0;9.0;0.6666666666666666;1.0;1.1111111111111112;1.0;2.0;0.8;0.0;1.0;0.8939393939393939;0.08333333333333333;0.016414141414141416;0.0;0.006313131313131313;1;0
3.0;0.0;0.0;1.0;0.0;10.0;4.0;1.0;0.5;2.5;1.0;1.2;0.8;1.0;1.0;0.8957528957528957;0.08494208494208494;0.010296010296010296;0.003861003861003861;0.005148005148005148;0;1
4.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8935064935064935;0.09740259740259741;0.006493506493506494;0.0025974025974025974;0.0;0;1
