Family;Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0
2.0;0.0;0.0;1.0;1.0;15.0;15.0;1.0;1.0;1.0;1.0;0.9375;0.9375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1
5.0;0.0;1.0;0.0;1.0;15.0;28.0;0.5357142857142857;1.0;1.0;1.8666666666666667;0.9375;0.9375;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;0
2.0;1.0;1.0;1.0;0.8666666666666667;30.0;18.0;0.6976744186046512;0.5454545454545454;1.6666666666666667;1.0;2.5;0.8333333333333334;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0;1
1.0;1.0;2.0;0.8235294117647058;1.0;29.0;32.0;0.6304347826086957;0.6956521739130435;1.0;1.103448275862069;0.9375;0.9375;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;0
3.0;2.0;2.0;1.0;0.5714285714285714;43.0;31.0;0.7288135593220338;0.5254237288135594;1.3870967741935485;1.0;0.9375;0.9375;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;1
4.0;2.0;3.0;0.9032258064516128;1.0;43.0;46.0;0.581081081081081;0.6216216216216216;1.0;1.069767441860465;0.9375;0.9375;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;1
1.0;2.0;4.0;0.6;1.0;32.0;60.0;0.4155844155844156;0.6896551724137931;1.0;1.875;0.8333333333333334;2.5;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1;0
1.0;3.0;4.0;0.7111111111111111;1.0;37.0;60.0;0.4512195121951219;0.6521739130434783;1.0;1.6216216216216215;0.8333333333333334;2.5;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1;0
4.0;4.0;4.0;0.8222222222222222;1.0;52.0;50.0;0.5360824742268041;0.5747126436781609;1.04;1.0;2.5;0.8333333333333334;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0;1
1.0;4.0;5.0;0.7346938775510204;1.0;41.0;64.0;0.4555555555555555;0.64;1.0;1.5609756097560976;0.8333333333333334;2.5;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1;0
2.0;5.0;4.0;0.8181818181818182;1.0;51.0;59.0;0.5368421052631579;0.6210526315789474;1.0;1.156862745098039;0.9375;0.9375;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;1
1.0;4.0;5.0;0.603448275862069;1.0;40.0;73.0;0.4081632653061224;0.6759259259259259;1.0;1.825;0.8333333333333334;2.5;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1;0
5.0;5.0;5.0;0.6896551724137931;1.0;55.0;73.0;0.4867256637168141;0.6460176991150443;1.0;1.3272727272727274;0.9375;0.9375;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;0
4.0;6.0;5.0;0.9464285714285714;1.0;68.0;71.0;0.5483870967741935;0.5725806451612904;1.0;1.0441176470588236;0.9375;0.9375;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;1
3.0;6.0;5.0;0.7428571428571429;1.0;67.0;85.0;0.4890510948905109;0.6204379562043796;1.0;1.2686567164179106;0.9375;0.9375;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;1
1.0;6.0;6.0;0.6071428571428571;1.0;66.0;99.0;0.44;0.66;1.0;1.5;0.9375;0.9375;0.0;0.0;0.8709677419354839;0.1290322580645161;0.0;0.0;0.0;0;1
5.0;6.0;7.0;0.5;1.0;53.0;111.0;0.3557046979865771;0.6981132075471698;1.0;2.0943396226415096;0.8333333333333334;2.5;1.0;0.0;0.8135593220338984;0.1864406779661017;0.0;0.0;0.0;1;0
4.0;7.0;7.0;0.532608695652174;1.0;64.0;107.0;0.4102564102564102;0.6858974358974359;1.0;1.671875;0.9375;0.9375;0.0;0.0;0.7921348314606742;0.2078651685393258;0.0;0.0;0.0;1;0
1.0;8.0;7.0;0.6923076923076923;1.0;78.0;96.0;0.4615384615384615;0.6037735849056604;1.0;1.2307692307692308;2.5;0.8333333333333334;0.0;1.0;0.8191489361702128;0.1808510638297872;0.0;0.0;0.0;0;1
4.0;8.0;8.0;0.65625;1.0;68.0;111.0;0.4146341463414634;0.6379310344827587;1.0;1.6323529411764706;0.8333333333333334;2.5;1.0;0.0;0.8238341968911918;0.1761658031088082;0.0;0.0;0.0;1;0
1.0;9.0;8.0;0.7083333333333334;1.0;83.0;101.0;0.4636871508379888;0.5976331360946746;1.0;1.216867469879518;2.5;0.8333333333333334;0.0;1.0;0.8282828282828283;0.1717171717171717;0.0;0.0;0.0;0;1
4.0;9.0;9.0;0.67;1.0;72.0;115.0;0.4186046511627907;0.6318681318681318;1.0;1.5972222222222223;0.8333333333333334;2.5;1.0;0.0;0.8434343434343434;0.1565656565656565;0.0;0.0;0.0;1;0
1.0;10.0;9.0;0.7171717171717171;1.0;86.0;104.0;0.4648648648648649;0.5942857142857143;1.0;1.2093023255813953;2.5;0.8333333333333334;0.0;1.0;0.8585858585858586;0.1414141414141414;0.0;0.0;0.0;0;1
4.0;10.0;10.0;0.6826923076923077;1.0;76.0;119.0;0.4222222222222222;0.6263157894736842;1.0;1.5657894736842106;0.8333333333333334;2.5;1.0;0.0;0.8620689655172413;0.1379310344827586;0.0;0.0;0.0;1;0
4.0;11.0;10.0;0.7307692307692307;1.0;81.0;119.0;0.4378378378378378;0.6102564102564103;1.0;1.469135802469136;0.8333333333333334;2.5;1.0;0.0;0.8653846153846154;0.1346153846153846;0.0;0.0;0.0;1;0
1.0;11.0;10.0;0.7766990291262136;1.0;95.0;108.0;0.4797979797979798;0.574468085106383;1.0;1.136842105263158;2.5;0.8333333333333334;0.0;1.0;0.8798076923076923;0.1201923076923077;0.0;0.0;0.0;0;1
1.0;11.0;11.0;0.7407407407407407;1.0;95.0;113.0;0.4679802955665024;0.5854922279792746;1.0;1.1894736842105262;2.5;0.8333333333333334;0.0;1.0;0.8826291079812206;0.1173708920187793;0.0;0.0;0.0;0;1
2.0;11.0;12.0;0.7079646017699115;1.0;95.0;128.0;0.4567307692307692;0.6153846153846154;1.0;1.3473684210526315;0.9375;0.9375;0.0;0.0;0.8853211009174312;0.1146788990825688;0.0;0.0;0.0;0;1
1.0;11.0;12.0;0.616;1.0;92.0;140.0;0.423963133640553;0.6451612903225806;1.0;1.5217391304347827;0.9375;0.9375;0.0;0.0;0.926605504587156;0.073394495412844;0.0;0.0;0.0;1;0
2.0;12.0;12.0;0.736;1.0;107.0;130.0;0.4612068965517241;0.5855855855855856;1.0;1.2149532710280373;2.5;0.8333333333333334;0.0;1.0;0.9313304721030042;0.0686695278969957;0.0;0.0;0.0;0;1
2.0;12.0;13.0;0.7054263565891473;1.0;106.0;134.0;0.451063829787234;0.5955555555555555;1.0;1.2641509433962264;2.5;0.8333333333333334;0.0;1.0;0.944206008583691;0.055793991416309;0.0;0.0;0.0;0;1
5.0;11.0;14.0;0.6766917293233082;1.0;105.0;148.0;0.4411764705882353;0.6218487394957983;1.0;1.4095238095238096;0.9375;0.9375;0.0;0.0;0.9570815450643776;0.0429184549356223;0.0;0.0;0.0;0;1
3.0;11.0;15.0;0.6054421768707483;1.0;104.0;162.0;0.4143426294820717;0.6454183266932271;1.0;1.5576923076923077;0.9375;0.9375;0.0;0.0;0.9042145593869731;0.0957854406130268;0.0;0.0;0.0;0;1
3.0;11.0;16.0;0.5493827160493827;1.0;104.0;167.0;0.3909774436090225;0.65234375;1.0;1.6057692307692308;2.5;0.8333333333333334;0.0;1.0;0.9094202898550724;0.0905797101449275;0.0;0.0;0.0;0;1
