Family;Qsize_R13;Qsize_R14;Cur_Charge_comparable_R13;Cur_Charge_comparable_R14;Exp_Charge__R13;Exp_Charge__R14;Exp_ChargeRates_R13;Exp_ChargeRates_R14;Exp_Charge__comparable_R13;Exp_Charge__comparable_R14;Eff_Gross_R13;Eff_Gross_R14;predFamilies_R13;predFamilies_R14;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0
1.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9142259414225942;0.060669456066945605;0.01882845188284519;0.006276150627615063;0.0;0;1
1.0;0.0;1.0;0.0;1.0;10.0;10.0;0.625;1.0;1.0;1.0;2.0;0.8;0.0;1.0;0.8667953667953668;0.0945945945945946;0.023166023166023165;0.003861003861003861;0.011583011583011582;0;1
4.0;0.0;1.0;0.0;1.0;10.0;17.0;0.5882352941176471;1.0;1.0;1.7;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8406072106261859;0.10436432637571158;0.04174573055028463;0.0;0.013282732447817837;1;0
4.0;0.0;0.0;1.0;0.4;11.0;12.0;0.8461538461538461;0.7058823529411765;1.0;1.0909090909090908;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8741721854304636;0.09437086092715231;0.019867549668874173;0.0;0.011589403973509934;1;0
1.0;1.0;0.0;1.0;0.18181818181818182;21.0;6.0;0.9130434782608695;0.35294117647058826;3.5;1.0;2.0;0.8;0.0;1.0;0.8655737704918033;0.09344262295081968;0.019672131147540985;0.0;0.021311475409836064;0;1
1.0;0.0;0.0;1.0;0.0;15.0;4.0;1.0;0.4444444444444444;3.75;1.0;2.0;0.8;0.0;1.0;0.8724727838258165;0.1119751166407465;0.007776049766718507;0.0;0.007776049766718507;0;1
2.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8615591397849462;0.11827956989247312;0.020161290322580645;0.0;0.0;0;1
3.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8609355246523388;0.12895069532237674;0.0037926675094816687;0.006321112515802781;0.0;0;1
4.0;0.0;1.0;0.0;1.0;6.0;17.0;0.46153846153846156;1.0;1.0;2.8333333333333335;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8731155778894473;0.11683417085427136;0.0;0.001256281407035176;0.008793969849246231;1;0
3.0;0.0;1.0;0.8333333333333334;1.0;15.0;10.0;0.7142857142857143;0.6666666666666666;1.5;1.0;2.0;0.8;0.0;1.0;0.8513513513513513;0.12530712530712532;0.004914004914004914;0.004914004914004914;0.013513513513513514;0;1
3.0;0.0;2.0;0.4444444444444444;1.0;14.0;13.0;0.6086956521739131;0.7647058823529411;1.0769230769230769;1.0;2.0;0.8;0.0;1.0;0.8593563766388558;0.11799761620977355;0.003575685339690107;0.003575685339690107;0.015494636471990465;0;1
3.0;0.0;2.0;0.0;1.0;10.0;13.0;0.5263157894736842;1.0;1.0;1.3;2.0;0.8;0.0;1.0;0.8667439165701043;0.11703360370799537;0.002317497103128621;0.0034762456546929316;0.010428736964078795;0;1
4.0;0.0;2.0;0.0;1.0;6.0;19.0;0.4;1.0;1.0;3.1666666666666665;0.8571428571428571;1.4285714285714286;1.0;0.0;0.88;0.10171428571428572;0.005714285714285714;0.002285714285714286;0.010285714285714285;1;0
