Family;Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0
4.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;18.0;21.0;1.0;1.0;1.0;1.0;1.2;1.4;0.9375;1.125;1.3125;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;1;0
2.0;0.0;1.0;0.0;0.0;1.0;0.0;15.0;36.0;21.0;0.45454545454545453;1.0;0.5384615384615384;1.0;2.4;1.4;0.9375;1.125;1.3125;0.0;0.0;0.0;0.8723404255319149;0.1276595744680851;0.0;0.0;0.0;1;0;0
4.0;0.0;1.0;0.0;0.7692307692307693;1.0;0.0;25.0;25.0;21.0;0.6578947368421053;0.7142857142857143;0.4772727272727273;1.1904761904761905;1.1904761904761905;1.0;1.1538461538461537;0.9230769230769231;1.6153846153846154;0.0;1.0;0.0;0.8693181818181818;0.13068181818181818;0.0;0.0;0.0;0;0;1
4.0;0.0;0.0;1.0;0.3125;0.5;1.0;20.0;20.0;30.0;0.45454545454545453;0.4878048780487805;0.6976744186046512;1.0;1.0;1.5;1.1538461538461537;0.9230769230769231;1.0769230769230769;0.0;1.0;1.0;0.8489583333333334;0.15104166666666666;0.0;0.0;0.0;0;0;1
5.0;0.0;0.0;1.0;0.0;0.12;1.0;15.0;21.0;46.0;0.3488372093023256;0.45652173913043476;0.9387755102040817;1.0;1.4;3.066666666666667;0.9375;1.125;1.3125;0.0;0.0;0.0;0.8966789667896679;0.1033210332103321;0.0;0.0;0.0;1;0;0
4.0;1.0;0.0;1.0;0.6;0.12;1.0;30.0;15.0;39.0;0.5172413793103449;0.2727272727272727;0.6842105263157895;2.0;1.0;2.6;1.1538461538461537;0.9230769230769231;1.0769230769230769;0.0;1.0;1.0;0.8496503496503497;0.15034965034965034;0.0;0.0;0.0;0;1;0
5.0;0.0;0.0;1.0;0.5;0.5;1.0;20.0;28.0;41.0;0.4;0.4827586206896552;0.6721311475409836;1.0;1.4;2.05;0.9090909090909091;1.6363636363636365;1.9090909090909092;1.0;0.0;0.0;0.8128654970760234;0.11695906432748537;0.07017543859649122;0.0;0.0;1;0;0
4.0;1.0;0.0;1.0;1.0;0.5;1.0;35.0;22.0;34.0;0.5384615384615384;0.3548387096774194;0.53125;1.5909090909090908;1.0;1.5454545454545454;1.1538461538461537;0.9230769230769231;1.0769230769230769;0.0;1.0;1.0;0.7897727272727273;0.14204545454545456;0.06818181818181818;0.0;0.0;0;1;0
5.0;1.0;1.0;1.0;0.8823529411764706;1.0;0.8823529411764706;25.0;35.0;36.0;0.43859649122807015;0.5384615384615384;0.5294117647058824;1.0;1.4;1.44;0.9090909090909091;1.6363636363636365;1.9090909090909092;1.0;0.0;0.0;0.827683615819209;0.1327683615819209;0.03954802259887006;0.0;0.0;0;0;1
5.0;0.0;0.0;1.0;0.19230769230769232;0.2692307692307692;1.0;15.0;25.0;40.0;0.3125;0.44642857142857145;0.7692307692307693;1.0;1.6666666666666667;2.6666666666666665;0.9090909090909091;1.6363636363636365;1.2727272727272727;1.0;0.0;1.0;0.8596491228070176;0.09523809523809523;0.040100250626566414;0.005012531328320802;0.0;0;1;0
3.0;0.0;1.0;1.0;0.0;0.9523809523809523;1.0;15.0;38.0;42.0;0.26785714285714285;0.6440677966101694;0.6774193548387096;1.0;2.533333333333333;2.8;0.9375;1.125;1.3125;0.0;0.0;0.0;0.8680089485458613;0.09172259507829977;0.013422818791946308;0.0;0.026845637583892617;1;0;0
3.0;0.0;0.0;0.0;0.45454545454545453;0.9090909090909091;1.0;15.0;28.0;32.0;0.4166666666666667;0.6363636363636364;0.6808510638297872;1.0;1.8666666666666667;2.1333333333333333;0.9090909090909091;1.6363636363636365;1.9090909090909092;1.0;0.0;0.0;0.9158512720156555;0.050880626223091974;0.009784735812133072;0.003913894324853229;0.019569471624266144;1;0;0
1.0;0.0;0.0;0.0;1.0;0.5;0.6;25.0;23.0;27.0;0.6944444444444444;0.5897435897435898;0.6428571428571429;1.0869565217391304;1.0;1.173913043478261;0.9375;1.125;1.3125;0.0;0.0;0.0;0.9337121212121212;0.03977272727272727;0.0;0.0;0.026515151515151516;0;0;1
3.0;0.0;0.0;1.0;0.37037037037037035;0.18518518518518517;1.0;20.0;23.0;48.0;0.38461538461538464;0.38333333333333336;0.7619047619047619;1.0;1.15;2.4;0.9090909090909091;1.6363636363636365;1.9090909090909092;1.0;0.0;0.0;0.8979963570127505;0.07650273224043716;0.0;0.0;0.025500910746812388;1;0;0
3.0;1.0;0.0;1.0;0.6818181818181818;0.0;1.0;25.0;18.0;43.0;0.5319148936170213;0.32727272727272727;0.7413793103448276;1.3888888888888888;1.0;2.388888888888889;0.9090909090909091;1.6363636363636365;1.9090909090909092;1.0;0.0;0.0;0.8908765652951699;0.06618962432915922;0.016100178890876567;0.0;0.026833631484794274;0;1;0
3.0;0.0;1.0;1.0;0.5882352941176471;0.7647058823529411;1.0;20.0;25.0;38.0;0.4;0.4807692307692308;0.6229508196721312;1.0;1.25;1.9;0.9090909090909091;1.0909090909090908;1.9090909090909092;1.0;1.0;0.0;0.916256157635468;0.06568144499178982;0.009852216748768473;0.0;0.008210180623973728;1;0;0
2.0;1.0;0.0;0.0;1.0;0.5333333333333333;0.8;30.0;26.0;33.0;0.6;0.49056603773584906;0.5892857142857143;1.1538461538461537;1.0;1.2692307692307692;0.9375;1.125;1.3125;0.0;0.0;0.0;0.9305555555555556;0.05401234567901234;0.004629629629629629;0.006172839506172839;0.004629629629629629;0;1;0
3.0;1.0;1.0;0.0;0.5769230769230769;1.0;0.46153846153846156;25.0;44.0;33.0;0.3968253968253968;0.6197183098591549;0.44594594594594594;1.0;1.76;1.32;0.9090909090909091;1.6363636363636365;1.9090909090909092;1.0;0.0;0.0;0.9054054054054054;0.07957957957957958;0.0045045045045045045;0.006006006006006006;0.0045045045045045045;1;0;0
2.0;1.0;1.0;0.0;0.9523809523809523;1.0;0.3333333333333333;35.0;33.0;28.0;0.5555555555555556;0.55;0.4057971014492754;1.25;1.1785714285714286;1.0;1.1538461538461537;0.9230769230769231;1.6153846153846154;0.0;1.0;0.0;0.9164345403899722;0.06685236768802229;0.0;0.002785515320334262;0.013927576601671309;0;1;0
1.0;0.0;1.0;0.0;0.43478260869565216;1.0;0.0;25.0;41.0;14.0;0.5208333333333334;0.803921568627451;0.2978723404255319;1.7857142857142858;2.9285714285714284;1.0;1.0;1.2;0.9333333333333333;0.0;0.0;1.0;0.9380952380952381;0.039285714285714285;0.015476190476190477;0.002380952380952381;0.004761904761904762;0;0;1
1.0;0.0;1.0;0.0;0.2777777777777778;1.0;0.5;20.0;36.0;23.0;0.425531914893617;0.72;0.5;1.0;1.8;1.15;1.0;1.2;0.9333333333333333;0.0;0.0;1.0;0.9464720194647201;0.038929440389294405;0.009732360097323601;0.0036496350364963502;0.0012165450121654502;0;0;1
1.0;0.0;1.0;1.0;0.21739130434782608;0.782608695652174;1.0;20.0;36.0;37.0;0.32786885245901637;0.5625;0.6166666666666667;1.0;1.8;1.85;1.0;1.2;0.9333333333333333;0.0;0.0;1.0;0.930622009569378;0.05502392344497608;0.009569377990430622;0.0035885167464114833;0.0011961722488038277;1;0;0
1.0;1.0;1.0;1.0;0.8333333333333334;0.7222222222222222;1.0;25.0;31.0;32.0;0.44642857142857145;0.484375;0.5333333333333333;1.0;1.24;1.28;0.9090909090909091;1.6363636363636365;1.2727272727272727;1.0;0.0;1.0;0.9377289377289377;0.05616605616605617;0.003663003663003663;0.0;0.002442002442002442;0;0;1
1.0;0.0;0.0;1.0;0.37037037037037035;0.2962962962962963;1.0;20.0;26.0;41.0;0.36363636363636365;0.4126984126984127;0.6949152542372882;1.0;1.3;2.05;0.9090909090909091;1.6363636363636365;1.2727272727272727;1.0;0.0;1.0;0.928921568627451;0.05514705882352941;0.00980392156862745;0.006127450980392157;0.0;1;0;0
2.0;1.0;0.0;1.0;0.6818181818181818;0.13636363636363635;1.0;30.0;15.0;43.0;0.5454545454545454;0.28846153846153844;0.7049180327868853;2.0;1.0;2.8666666666666667;1.1538461538461537;0.9230769230769231;1.6153846153846154;0.0;1.0;0.0;0.9338327091136079;0.049937578027465665;0.0;0.0024968789013732834;0.01373283395755306;0;1;0
