Family;Qsize_R13;Qsize_R14;Cur_Charge_comparable_R13;Cur_Charge_comparable_R14;Exp_Charge__R13;Exp_Charge__R14;Exp_ChargeRates_R13;Exp_ChargeRates_R14;Exp_Charge__comparable_R13;Exp_Charge__comparable_R14;Eff_Gross_R13;Eff_Gross_R14;predFamilies_R13;predFamilies_R14;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0
2.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8964803312629399;0.057971014492753624;0.045548654244306416;0.0;0.0;0;1
1.0;0.0;1.0;0.0;1.0;10.0;15.0;0.6666666666666666;1.0;1.0;1.5;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8829787234042553;0.08687943262411348;0.02127659574468085;0.0;0.008865248226950355;1;0
1.0;0.0;0.0;1.0;0.0;11.0;10.0;1.0;0.6666666666666666;1.1;1.0;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8927973199329984;0.07705192629815745;0.021775544388609715;0.0;0.008375209380234505;0;1
1.0;0.0;1.0;0.0;1.0;6.0;9.0;0.5454545454545454;1.0;1.0;1.5;1.2;0.8;1.0;1.0;0.9168;0.0656;0.0048;0.0048;0.008;1;0
4.0;0.0;0.0;1.0;0.5;12.0;11.0;0.9230769230769231;0.8461538461538461;1.0909090909090908;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8895705521472392;0.08588957055214724;0.015337423312883436;0.004601226993865031;0.004601226993865031;1;0
1.0;1.0;0.0;1.0;0.0;21.0;4.0;1.0;0.26666666666666666;5.25;1.0;2.0;0.8;0.0;1.0;0.8860182370820668;0.08054711246200608;0.013677811550151976;0.00303951367781155;0.016717325227963525;0;1
4.0;1.0;0.0;1.0;0.125;14.0;11.0;0.9333333333333333;0.5789473684210527;1.2727272727272727;1.0;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8857566765578635;0.08605341246290801;0.01483679525222552;0.0;0.013353115727002967;0;1
5.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9130982367758187;0.061712846347607056;0.021410579345088162;0.003778337531486146;0.0;0;1
5.0;0.0;1.0;0.0;1.0;10.0;10.0;0.625;1.0;1.0;1.0;2.0;0.8;0.0;1.0;0.931119311193112;0.04551045510455105;0.012300123001230012;0.0036900369003690036;0.007380073800738007;1;0
5.0;0.0;0.0;1.0;0.3333333333333333;12.0;6.0;0.8571428571428571;0.5;2.0;1.0;1.2;0.8;1.0;1.0;0.9523241954707986;0.029797377830750895;0.00834326579261025;0.0;0.009535160905840286;0;1
5.0;0.0;0.0;1.0;1.0;6.0;4.0;1.0;1.0;1.5;1.0;1.2;0.8;1.0;1.0;0.9320712694877505;0.04788418708240535;0.01670378619153675;0.0033407572383073497;0.0;0;1
5.0;0.0;0.0;0.0;1.0;6.0;8.0;0.6;1.0;1.0;1.3333333333333333;1.2;0.8;1.0;1.0;0.9279379157427938;0.04767184035476718;0.01662971175166297;0.0033259423503325942;0.004434589800443459;1;0
5.0;0.0;0.0;1.0;0.0;8.0;4.0;1.0;0.6666666666666666;2.0;1.0;1.2;0.8;1.0;1.0;0.9377729257641921;0.04475982532751092;0.015283842794759825;0.0;0.002183406113537118;1;1
5.0;0.0;0.0;0.3333333333333333;1.0;7.0;7.0;0.7;0.875;1.0;1.0;1.2;0.8;1.0;1.0;0.9407244785949506;0.04171240395170143;0.013172338090010977;0.0;0.0043907793633369925;1;0
5.0;0.0;0.0;1.0;1.0;6.0;4.0;1.0;1.0;1.5;1.0;1.2;0.8;1.0;1.0;0.9461279461279462;0.050505050505050504;0.003367003367003367;0.0;0.0;0;1
2.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9260918253079508;0.0593505039193729;0.011198208286674132;0.0033594624860022394;0.0;1;0
5.0;0.0;0.0;1.0;0.0;16.0;4.0;1.0;0.4;4.0;1.0;2.0;0.8;0.0;1.0;0.9161073825503355;0.06487695749440715;0.010067114093959731;0.0022371364653243847;0.006711409395973154;0;1
2.0;0.0;0.0;1.0;0.3333333333333333;9.0;11.0;0.9;0.7857142857142857;1.0;1.2222222222222223;0.8571428571428571;1.4285714285714286;1.0;0.0;0.919683257918552;0.06900452488687783;0.006787330316742082;0.0;0.004524886877828055;1;0
3.0;0.0;0.0;1.0;0.0;13.0;10.0;1.0;0.7692307692307693;1.3;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9456906729634003;0.05076741440377804;0.0;0.0;0.0035419126328217238;0;1
3.0;0.0;1.0;0.0;1.0;10.0;9.0;0.6666666666666666;1.0;1.1111111111111112;1.0;2.0;0.8;0.0;1.0;0.9416666666666667;0.034523809523809526;0.017857142857142856;0.0;0.005952380952380952;0;1
3.0;0.0;0.0;0.0;1.0;10.0;8.0;0.7142857142857143;1.0;1.25;1.0;2.0;0.8;0.0;1.0;0.9286563614744352;0.06064209274673008;0.005945303210463734;0.0;0.0047562425683709865;0;1
2.0;0.0;0.0;0.0;1.0;6.0;12.0;0.75;1.0;1.0;2.0;0.8571428571428571;1.4285714285714286;1.0;0.0;0.9198564593301436;0.06818181818181818;0.007177033492822967;0.0023923444976076554;0.0023923444976076554;1;0
1.0;0.0;0.0;1.0;0.0;13.0;10.0;1.0;0.7692307692307693;1.3;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9192771084337349;0.06987951807228916;0.0036144578313253013;0.0036144578313253013;0.0036144578313253013;0;1
1.0;0.0;1.0;0.0;1.0;10.0;10.0;0.625;1.0;1.0;1.0;2.0;0.8;0.0;1.0;0.9162621359223301;0.07281553398058252;0.0;0.0036407766990291263;0.007281553398058253;1;0
1.0;0.0;0.0;1.0;0.3333333333333333;12.0;6.0;0.8571428571428571;0.5;2.0;1.0;1.2;0.8;1.0;1.0;0.9143206854345165;0.07466340269277846;0.0012239902080783353;0.0;0.009791921664626682;0;1
1.0;0.0;0.0;1.0;1.0;6.0;4.0;1.0;1.0;1.5;1.0;1.2;0.8;1.0;1.0;0.930379746835443;0.05443037974683544;0.015189873417721518;0.0;0.0;0;1
4.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9282970550576184;0.058898847631242;0.012804097311139564;0.0;0.0;1;0
1.0;0.0;0.0;1.0;0.0;12.0;4.0;1.0;0.6666666666666666;3.0;1.0;2.0;0.8;0.0;1.0;0.9207792207792208;0.06103896103896104;0.011688311688311689;0.003896103896103896;0.0025974025974025974;0;1
4.0;0.0;0.0;1.0;1.0;6.0;10.0;1.0;1.0;1.0;1.6666666666666667;0.8571428571428571;1.4285714285714286;1.0;0.0;0.9309428950863213;0.06241699867197875;0.006640106241699867;0.0;0.0;0;1
4.0;0.0;1.0;0.0;1.0;6.0;13.0;0.4;1.0;1.0;2.1666666666666665;1.2;0.8;1.0;1.0;0.9197368421052632;0.05789473684210526;0.010526315789473684;0.0;0.011842105263157895;1;0
4.0;0.0;0.0;1.0;1.0;6.0;4.0;1.0;1.0;1.5;1.0;1.2;0.8;1.0;1.0;0.9227642276422764;0.06504065040650407;0.012195121951219513;0.0;0.0;0;1
4.0;0.0;0.0;0.0;1.0;6.0;8.0;0.6;1.0;1.0;1.3333333333333333;1.2;0.8;1.0;1.0;0.9177897574123989;0.0646900269541779;0.012129380053908356;0.0;0.005390835579514825;1;0
4.0;0.0;0.0;1.0;0.0;7.0;4.0;1.0;0.8;1.75;1.0;1.2;0.8;1.0;1.0;0.922971114167813;0.07015130674002751;0.005502063273727648;0.0;0.001375515818431912;0;1
3.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9031811894882434;0.08852005532503458;0.004149377593360996;0.004149377593360996;0.0;1;0
3.0;0.0;0.0;1.0;0.0;12.0;10.0;1.0;0.625;1.2;1.0;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8884297520661157;0.0881542699724518;0.011019283746556474;0.004132231404958678;0.008264462809917356;0;1
3.0;0.0;1.0;0.3333333333333333;1.0;8.0;10.0;0.5714285714285714;0.8333333333333334;1.0;1.25;1.2;0.8;1.0;1.0;0.8822714681440443;0.10110803324099724;0.0013850415512465374;0.004155124653739612;0.0110803324099723;1;0
