Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0;Selected Resource_3.0
5.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.8102189781021898;0.1897810218978102;0.0;0.0;0.0;1;0;0;0
5.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;10.0;15.0;16.0;17.0;1.0;0.7142857142857143;0.7272727272727273;0.7391304347826086;1.0;1.5;1.6;1.7;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.9042253521126761;0.07887323943661972;0.016901408450704224;0.0;0.0;0;1;0;0
3.0;0.0;1.0;0.0;0.0;0.3076923076923077;1.0;0.0;0.0;18.0;28.0;16.0;17.0;0.5806451612903226;0.875;0.48484848484848486;0.5;1.125;1.75;1.0;1.0625;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.8408488063660478;0.11405835543766578;0.04509283819628647;0.0;0.0;0;0;1;0
3.0;0.0;1.0;1.0;0.0;0.0;0.7272727272727273;1.0;0.0;14.0;23.0;17.0;17.0;0.42424242424242425;0.6764705882352942;0.68;0.4722222222222222;1.0;1.6428571428571428;1.2142857142857142;1.2142857142857142;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.8;0.14698795180722893;0.04578313253012048;0.007228915662650603;0.0;1;0;0;0
5.0;1.0;0.0;0.0;0.0;1.0;0.3333333333333333;0.6666666666666666;0.0;23.0;8.0;22.0;17.0;0.71875;0.34782608695652173;0.6470588235294118;0.4857142857142857;2.875;1.0;2.75;2.125;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.8025210084033614;0.14285714285714285;0.037815126050420166;0.0;0.01680672268907563;0;1;0;1
3.0;0.0;0.0;0.0;0.0;1.0;0.75;0.25;0.0;8.0;18.0;7.0;17.0;0.6666666666666666;0.782608695652174;0.5;0.68;1.1428571428571428;2.5714285714285716;1.0;2.4285714285714284;0.8;3.0;1.2;3.4;1.0;0.0;1.0;0.0;0.8137651821862348;0.15991902834008098;0.016194331983805668;0.004048582995951417;0.006072874493927126;1;0;1;0
2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;15.0;17.0;17.0;0.9333333333333333;0.9375;1.0;0.9444444444444444;1.0;1.0714285714285714;1.2142857142857142;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.8333333333333334;0.1404494382022472;0.0018726591760299626;0.0056179775280898875;0.018726591760299626;1;0;0;0
2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;11.0;15.0;16.0;17.0;1.0;0.6818181818181818;0.6956521739130435;0.7083333333333334;1.0;1.3636363636363635;1.4545454545454546;1.5454545454545454;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.8667820069204152;0.09342560553633218;0.012110726643598616;0.0;0.02768166089965398;0;1;0;0
2.0;1.0;1.0;0.0;0.0;0.38461538461538464;1.0;0.0;0.0;9.0;18.0;16.0;17.0;0.4090909090909091;0.782608695652174;0.47058823529411764;0.4857142857142857;1.0;2.0;1.7777777777777777;1.8888888888888888;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.8421052631578947;0.10855263157894737;0.029605263157894735;0.0;0.019736842105263157;0;0;0;1
2.0;0.0;1.0;0.0;1.0;0.0;0.6666666666666666;0.0;1.0;4.0;13.0;16.0;19.0;0.16666666666666666;0.52;0.4444444444444444;0.7037037037037037;1.0;3.25;4.0;4.75;0.8;1.0;3.2;1.4;1.0;1.0;0.0;1.0;0.8724637681159421;0.09565217391304348;0.028985507246376812;0.0;0.002898550724637681;1;0;0;0
