Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
5.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.5227272727272727;0.4772727272727273;0.0;0.0;0.0;1.0
2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;27.0;16.0;17.0;0.5384615384615384;1.0;0.5714285714285714;0.5862068965517241;1.0;1.9285714285714286;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.46808510638297873;0.2765957446808511;0.2553191489361702;0.0;0.0;0.0
5.0;1.0;0.0;0.0;0.0;1.0;0.7142857142857143;0.0;0.0;21.0;10.0;16.0;17.0;0.8076923076923077;0.5882352941176471;0.5714285714285714;0.5862068965517241;2.1;1.0;1.6;1.7;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.21875;0.59375;0.1875;0.0;0.0;3.0
2.0;1.0;0.0;0.0;1.0;0.375;0.25;0.0;1.0;10.0;19.0;16.0;33.0;0.3333333333333333;0.4634146341463415;0.38095238095238093;0.7674418604651163;1.0;1.9;1.6;3.3;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.17333333333333334;0.48;0.3466666666666667;0.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;14.0;15.0;16.0;21.0;0.7777777777777778;0.7894736842105263;0.8;1.0;1.0;1.0714285714285714;1.1428571428571428;1.5;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.4878048780487805;0.2682926829268293;0.04878048780487805;0.024390243902439025;0.17073170731707318;2.0
4.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.14285714285714285;14.0;15.0;30.0;19.0;0.4666666666666667;0.4838709677419355;0.9375;0.5757575757575758;1.0;1.0714285714285714;2.142857142857143;1.3571428571428572;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.41836734693877553;0.3163265306122449;0.16326530612244897;0.0;0.10204081632653061;0.0
2.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;19.0;15.0;21.0;17.0;0.7916666666666666;0.6;0.8076923076923077;0.6296296296296297;1.2666666666666666;1.0;1.4;1.1333333333333333;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.6186440677966102;0.2627118644067797;0.0847457627118644;0.0;0.03389830508474576;0.0
1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.2222222222222222;0.0;32.0;15.0;10.0;17.0;0.8888888888888888;0.40540540540540543;0.35714285714285715;0.4358974358974359;3.2;1.5;1.0;1.7;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.5725806451612904;0.23387096774193547;0.1774193548387097;0.0;0.016129032258064516;2.0
5.0;1.0;0.0;0.0;0.0;1.0;0.0;0.2;0.0;24.0;5.0;18.0;7.0;0.9230769230769231;0.29411764705882354;0.6428571428571429;0.3684210526315789;4.8;1.0;3.6;1.4;2.3333333333333335;0.8333333333333334;2.6666666666666665;1.1666666666666667;0.0;1.0;0.0;1.0;0.6597222222222222;0.2569444444444444;0.08333333333333333;0.0;0.0;1.0
2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;9.0;15.0;16.0;17.0;1.0;0.75;0.7619047619047619;0.7727272727272727;1.0;1.6666666666666667;1.7777777777777777;1.8888888888888888;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.6730769230769231;0.22435897435897437;0.03205128205128205;0.00641025641025641;0.0641025641025641;0.0
