Family;Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0
1.0;0.0;0.0;0.0;1.0;1.0;1.0;12.0;19.0;23.0;1.0;1.0;1.0;1.0;1.5833333333333333;1.9166666666666667;0.9230769230769232;1.4615384615384617;1.7692307692307692;0.0;0.0;0.0;1.0;0.0;0.0;1;0;0
2.0;1.0;0.0;0.0;1.0;0.0;0.0;25.0;20.0;20.0;1.0;0.8695652173913043;0.8695652173913043;1.25;1.0;1.0;1.0476190476190477;0.9523809523809524;0.9523809523809524;0.0;0.0;0.0;0.9935205183585312;0.0064794816414686;0.0;0;1;1
1.0;0.0;1.0;0.0;0.1052631578947368;1.0;0.0;4.0;38.0;23.0;0.1739130434782608;0.95;0.5227272727272727;1.0;9.5;5.75;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.9564315352697096;0.0435684647302904;0.0;1;0;1
2.0;0.0;1.0;0.0;0.0;1.0;0.0;22.0;16.0;20.0;0.6875;1.0;0.6666666666666666;1.375;1.0;1.25;3.142857142857143;0.8571428571428571;2.857142857142857;0.0;1.0;0.0;0.9455128205128204;0.016025641025641;0.0384615384615384;0;1;0
2.0;0.0;1.0;0.0;0.0;1.0;0.0;22.0;18.0;20.0;0.6470588235294118;1.0;0.625;1.2222222222222223;1.0;1.1111111111111112;3.142857142857143;0.8571428571428571;2.857142857142857;0.0;1.0;0.0;0.9534206695778747;0.0174672489082969;0.0291120815138282;0;1;1
2.0;0.0;0.0;1.0;0.0;0.4285714285714285;1.0;22.0;12.0;16.0;0.5238095238095238;0.4615384615384615;0.7272727272727273;1.8333333333333333;1.0;1.3333333333333333;7.333333333333333;2.0;0.6666666666666666;0.0;1.0;1.0;0.9630434782608696;0.0217391304347826;0.0152173913043478;0;0;1
1.0;0.0;0.0;2.0;0.0;0.0;1.0;2.0;19.0;33.0;0.1666666666666666;0.6551724137931034;1.0;1.0;9.5;16.5;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.9637352674524026;0.0090661831368993;0.027198549410698;1;0;0
4.0;0.0;0.0;0.0;1.0;1.0;1.0;24.0;23.0;22.0;1.0;1.0;1.0;1.0909090909090908;1.0454545454545454;1.0;1.0434782608695652;1.0;0.9565217391304348;0.0;0.0;0.0;0.9765625;0.0;0.0234375;0;0;1
4.0;0.0;0.0;1.0;0.0;0.0;1.0;24.0;23.0;21.0;0.6153846153846154;0.6052631578947368;1.0;1.1428571428571428;1.0952380952380951;1.0;3.4285714285714284;3.2857142857142856;0.8571428571428571;0.0;0.0;1.0;0.9734283862605314;0.0097213220998055;0.0168502916396629;0;0;1
4.0;0.0;0.0;1.0;0.0;0.0;1.0;24.0;23.0;17.0;0.6857142857142857;0.6764705882352942;1.0;1.411764705882353;1.3529411764705883;1.0;3.4285714285714284;3.2857142857142856;0.8571428571428571;0.0;0.0;1.0;0.9819397993311036;0.0073578595317725;0.0107023411371237;0;0;1
