Family;Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0
1.0;0.0;0.0;0.0;1.0;1.0;1.0;12.0;19.0;23.0;1.0;1.0;1.0;1.0;1.5833333333333333;1.9166666666666667;0.9230769230769231;1.4615384615384615;1.7692307692307692;0.0;0.0;0.0;1.0;0.0;0.0;1;0;0
4.0;1.0;0.0;0.0;1.0;0.0;0.0;29.0;23.0;22.0;1.0;0.8214285714285714;0.8148148148148148;1.3181818181818181;1.0454545454545454;1.0;1.0434782608695652;1.0;0.9565217391304348;0.0;0.0;0.0;0.9907578558225508;0.009242144177449169;0.0;0;0;1
1.0;0.0;0.0;1.0;0.10526315789473684;0.0;1.0;4.0;19.0;42.0;0.17391304347826086;0.475;0.9545454545454546;1.0;4.75;10.5;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.9707927677329624;0.02920723226703755;0.0;1;1;0
4.0;0.0;1.0;1.0;0.0;1.0;1.0;24.0;38.0;21.0;0.4444444444444444;0.7169811320754716;0.5833333333333334;1.1428571428571428;1.8095238095238095;1.0;3.4285714285714284;3.2857142857142856;0.8571428571428571;0.0;0.0;1.0;0.935687263556116;0.03783102143757881;0.02648171500630517;0;0;1
3.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;26.0;23.0;0.9411764705882353;0.9629629629629629;1.0;1.0;1.625;1.4375;0.9411764705882353;1.5294117647058822;1.2941176470588236;0.0;0.0;0.0;0.972176759410802;0.0008183306055646482;0.027004909983633387;1;0;0
3.0;0.0;0.0;0.0;1.0;0.0;0.0;8.0;26.0;22.0;1.0;0.8666666666666667;0.8461538461538461;1.0;3.25;2.75;0.8;5.2;4.4;1.0;0.0;0.0;0.9820717131474104;0.0026560424966799467;0.015272244355909695;0;1;0
3.0;0.0;1.0;0.0;0.0;1.0;0.0;4.0;22.0;22.0;0.2;1.0;0.5789473684210527;1.0;5.5;5.5;0.8;1.2;4.4;1.0;1.0;0.0;0.9630110317975341;0.010382868267358857;0.026606099935107073;1;1;0
5.0;0.0;1.0;0.0;0.0;1.0;0.0;22.0;35.0;14.0;0.7096774193548387;1.0;0.6086956521739131;1.5714285714285714;2.5;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333333;0.0;0.0;0.0;0.969596827495043;0.005948446794448116;0.024454725710508923;0;0;1
3.0;0.0;0.0;1.0;0.0;0.2857142857142857;1.0;4.0;8.0;29.0;0.3076923076923077;0.5333333333333333;0.9354838709677419;1.0;2.0;7.25;0.8;1.2;4.4;1.0;1.0;0.0;0.977792732166891;0.006056527590847914;0.016150740242261104;1;1;0
2.0;0.0;0.0;0.0;0.0;0.0;1.0;22.0;20.0;21.0;0.9565217391304348;0.9523809523809523;1.0;1.1;1.0;1.05;1.0476190476190477;0.9523809523809523;0.9523809523809523;0.0;0.0;0.0;0.9736486486486486;0.0006756756756756757;0.025675675675675677;0;1;1
2.0;0.0;1.0;0.0;0.0;1.0;0.0;22.0;18.0;20.0;0.6470588235294118;1.0;0.625;1.2222222222222223;1.0;1.1111111111111112;3.142857142857143;0.8571428571428571;2.857142857142857;0.0;1.0;0.0;0.9597269624573379;0.008191126279863481;0.032081911262798635;1;0;0
