Family;Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0
5.0;0.0;0.0;1.0;1.0;17.0;36.0;1.0;1.0;1.0;2.1176470588235294;0.9444444444444444;2.0;0.0;0.0;0.0;0.0;0.0;1;0
3.0;1.0;0.0;1.0;0.0;39.0;42.0;1.0;0.7368421052631579;1.0;1.0769230769230769;0.96;1.68;0.0;0.0;1.0;0.0;0.0;0;1
1.0;1.0;1.0;0.34146341463414637;1.0;26.0;57.0;0.3880597014925373;0.8028169014084507;1.0;2.1923076923076925;0.9230769230769231;1.2307692307692308;0.0;0.0;1.0;0.0;0.0;1;0
3.0;2.0;1.0;0.7804878048780488;1.0;56.0;55.0;0.5773195876288659;0.632183908045977;1.018181818181818;1.0;1.6;0.9333333333333333;0.0;1.0;1.0;0.0;0.0;0;1
2.0;2.0;2.0;0.5740740740740741;1.0;44.0;75.0;0.4489795918367347;0.7075471698113207;1.0;1.7045454545454546;0.9285714285714286;1.5;0.0;0.0;1.0;0.0;0.0;1;0
3.0;3.0;2.0;0.7592592592592593;1.0;65.0;68.0;0.5462184873949579;0.6238532110091743;1.0;1.0461538461538462;1.6;0.9333333333333333;0.0;1.0;1.0;0.0;0.0;0;1
4.0;3.0;3.0;0.6029411764705882;1.0;71.0;87.0;0.5107913669064749;0.6796875;1.0;1.2253521126760563;1.5;0.95;0.0;0.0;1.0;0.0;0.0;0;1
2.0;3.0;4.0;0.39805825242718446;1.0;49.0;124.0;0.3223684210526316;0.7515151515151515;1.0;2.5306122448979593;0.8888888888888888;2.3333333333333335;1.0;0.0;1.0;0.0;0.0;1;0
5.0;4.0;4.0;0.47058823529411764;1.0;65.0;138.0;0.38922155688622756;0.7419354838709677;1.0;2.123076923076923;0.9444444444444444;2.0;0.0;0.0;1.0;0.0;0.0;0;1
1.0;4.0;5.0;0.36923076923076925;1.0;60.0;146.0;0.3157894736842105;0.7525773195876289;1.0;2.433333333333333;0.9230769230769231;1.2307692307692308;0.0;0.0;1.0;0.0;0.0;0;1
