Family;Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0
5.0;0.0;0.0;0.0;1.0;1.0;1.0;22.0;26.0;14.0;1.0;1.0;1.0;1.5714285714285714;1.8571428571428572;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333333;0.0;0.0;0.0;1.0;0.0;0.0;0;1;0
3.0;0.0;0.0;0.0;0.0;1.0;0.0;16.0;28.0;22.0;0.8888888888888888;1.0;0.9166666666666666;1.0;1.75;1.375;0.9411764705882353;1.5294117647058822;1.2941176470588236;0.0;0.0;0.0;0.998274374460742;0.001725625539257981;0.0;1;0;0
3.0;1.0;0.0;0.0;1.0;0.10526315789473684;0.0;23.0;28.0;22.0;0.92;0.5957446808510638;0.5116279069767442;1.0454545454545454;1.2727272727272727;1.0;0.8;5.2;4.4;1.0;0.0;0.0;0.9821731748726655;0.017826825127334467;0.0;1;0;0
3.0;1.0;0.0;0.0;1.0;0.0;0.0;12.0;26.0;22.0;1.0;0.7647058823529411;0.7333333333333333;1.0;2.1666666666666665;1.8333333333333333;0.8;5.2;4.4;1.0;0.0;0.0;0.9837037037037037;0.005925925925925926;0.01037037037037037;0;0;1
3.0;1.0;0.0;1.0;0.3;0.0;1.0;10.0;26.0;26.0;0.3333333333333333;0.5;0.8125;1.0;2.6;2.6;0.8;5.2;1.2;1.0;0.0;1.0;0.9730496453900709;0.018439716312056736;0.00851063829787234;1;0;0
3.0;0.0;0.0;1.0;0.0;0.0;1.0;4.0;26.0;16.0;0.2857142857142857;0.7222222222222222;1.0;1.0;6.5;4.0;0.8;5.2;1.2;1.0;0.0;1.0;0.9675236806495264;0.006765899864682003;0.02571041948579161;1;0;0
4.0;0.0;0.0;0.0;0.0;0.0;1.0;24.0;23.0;23.0;0.96;0.9583333333333334;1.0;1.0434782608695652;1.0;1.0;1.0434782608695652;1.0;0.9565217391304348;0.0;0.0;0.0;0.9671007539410555;0.0006854009595613434;0.03221384509938314;0;0;1
5.0;0.0;0.0;1.0;0.0;0.0;1.0;22.0;4.0;29.0;0.5945945945945946;0.21052631578947367;1.0;5.5;1.0;7.25;4.4;0.8;2.8;0.0;1.0;0.0;0.9561343385880741;0.01028101439342015;0.033584647018505824;0;1;0
5.0;0.0;0.0;0.0;0.0;0.0;1.0;22.0;4.0;20.0;0.7857142857142857;0.4;1.0;5.5;1.0;5.0;4.4;0.8;2.8;0.0;1.0;0.0;0.9649614576033637;0.004204625087596356;0.030833917309039945;0;1;0
2.0;0.0;0.0;0.0;0.0;0.0;1.0;22.0;20.0;22.0;0.9166666666666666;0.9090909090909091;1.0;1.1;1.0;1.1;1.0476190476190477;0.9523809523809523;0.9523809523809523;0.0;0.0;0.0;0.9731638418079096;0.0014124293785310734;0.025423728813559324;0;0;1
5.0;0.0;0.0;1.0;0.0;0.0;1.0;22.0;4.0;31.0;0.5641025641025641;0.19047619047619047;1.0;5.5;1.0;7.75;4.4;0.8;2.8;0.0;1.0;0.0;0.9421487603305785;0.011707988980716254;0.046143250688705235;0;1;0
5.0;0.0;0.0;1.0;0.0;0.0;1.0;22.0;4.0;22.0;0.7333333333333333;0.3333333333333333;1.0;5.5;1.0;5.5;4.4;0.8;2.8;0.0;1.0;0.0;0.9533898305084746;0.005649717514124294;0.04096045197740113;0;1;0
