Family;Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0
2.0;0.0;0.0;1.0;1.0;13.0;21.0;1.0;1.0;1.0;1.6153846153846154;0.9285714285714286;1.5;0.0;0.0;0.0;0.0;0.0;1;0
2.0;1.0;0.0;1.0;0.0;24.0;21.0;1.0;0.5675675675675675;1.1428571428571428;1.0;0.8888888888888888;2.3333333333333335;1.0;0.0;1.0;0.0;0.0;1;0
3.0;2.0;0.0;1.0;0.0;44.0;42.0;1.0;0.6774193548387096;1.0476190476190477;1.0;0.96;1.68;0.0;0.0;1.0;0.0;0.0;1;0
1.0;3.0;0.0;1.0;0.0;48.0;16.0;1.0;0.3076923076923077;3.0;1.0;0.9230769230769231;1.2307692307692308;0.0;0.0;1.0;0.0;0.0;0;1
4.0;3.0;1.0;1.0;0.8888888888888888;66.0;51.0;0.673469387755102;0.5862068965517241;1.2941176470588236;1.0;1.5;0.95;0.0;0.0;1.0;0.0;0.0;0;1
1.0;3.0;2.0;1.0;0.7428571428571429;47.0;42.0;0.6438356164383562;0.5454545454545454;1.119047619047619;1.0;0.9230769230769231;1.2307692307692308;0.0;0.0;1.0;0.0;0.0;0;1
2.0;3.0;3.0;0.6938775510204082;1.0;47.0;70.0;0.4895833333333333;0.6730769230769231;1.0;1.4893617021276595;0.9285714285714286;1.5;0.0;0.0;1.0;0.0;0.0;1;0
2.0;4.0;3.0;1.0;0.9074074074074074;62.0;70.0;0.5585585585585585;0.5645161290322581;1.0;1.1290322580645162;0.8888888888888888;2.3333333333333335;1.0;0.0;1.0;0.0;0.0;1;0
5.0;4.0;3.0;1.0;0.7868852459016393;78.0;84.0;0.6190476190476191;0.5793103448275863;1.0;1.0769230769230769;0.9444444444444444;2.0;0.0;0.0;1.0;0.0;0.0;0;1
5.0;4.0;4.0;0.8970588235294118;1.0;78.0;84.0;0.5342465753424658;0.5793103448275863;1.0;1.0769230769230769;1.0;0.9411764705882353;0.0;1.0;1.0;0.0;0.0;0;1
