Family;Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0
2.0;0.0;0.0;0.0;1.0;1.0;1.0;22.0;20.0;20.0;1.0;1.0;1.0;1.1;1.0;1.0;1.0476190476190477;0.9523809523809523;0.9523809523809523;0.0;0.0;0.0;1.0;0.0;0.0;0;1;1
2.0;0.0;1.0;0.0;0.0;1.0;0.0;22.0;18.0;20.0;0.6470588235294118;1.0;0.625;1.2222222222222223;1.0;1.1111111111111112;3.142857142857143;0.8571428571428571;2.857142857142857;0.0;1.0;0.0;0.9747368421052631;0.02526315789473684;0.0;1;1;0
2.0;1.0;1.0;0.0;1.0;0.631578947368421;0.0;23.0;18.0;20.0;0.6571428571428571;0.4864864864864865;0.39215686274509803;1.2777777777777777;1.0;1.1111111111111112;0.8;1.2;4.0;1.0;1.0;0.0;0.937246963562753;0.06275303643724696;0.0;0;1;1
2.0;1.0;1.0;0.0;1.0;0.7142857142857143;0.0;18.0;16.0;20.0;0.6428571428571429;0.5333333333333333;0.45454545454545453;1.125;1.0;1.25;0.8;1.2;4.0;1.0;1.0;0.0;0.9678714859437751;0.0321285140562249;0.0;0;0;1
2.0;1.0;1.0;1.0;0.6666666666666666;0.4444444444444444;1.0;16.0;14.0;20.0;0.38095238095238093;0.3181818181818182;0.5;1.1428571428571428;1.0;1.4285714285714286;1.3333333333333333;2.0;0.6666666666666666;1.0;1.0;1.0;0.9538274605103281;0.046172539489671933;0.0;0;0;1
2.0;1.0;0.0;2.0;0.42857142857142855;0.14285714285714285;1.0;10.0;8.0;16.0;0.38461538461538464;0.2857142857142857;0.6666666666666666;1.25;1.0;2.0;1.3333333333333333;2.0;0.6666666666666666;1.0;1.0;1.0;0.9506966773847803;0.023579849946409433;0.02572347266881029;1;0;1
2.0;0.0;0.0;3.0;0.0;0.0;1.0;4.0;6.0;10.0;0.3333333333333333;0.42857142857142855;1.0;1.0;1.5;2.5;1.3333333333333333;2.0;0.6666666666666666;1.0;1.0;1.0;0.9649122807017544;0.007017543859649123;0.028070175438596492;1;1;0
1.0;0.0;0.0;2.0;0.0;0.6666666666666666;1.0;12.0;23.0;29.0;0.5454545454545454;0.7931034482758621;0.8787878787878788;1.0;1.9166666666666667;2.4166666666666665;0.9230769230769231;1.4615384615384615;1.7692307692307692;0.0;0.0;0.0;0.9678197908286403;0.008045052292839904;0.02413515687851971;1;0;0
1.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;19.0;23.0;1.0;0.9047619047619048;0.92;1.0;4.75;5.75;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.9628355127322781;0.0013764624913971094;0.035788024776324846;0;0;1
3.0;0.0;0.0;0.0;1.0;1.0;1.0;16.0;26.0;22.0;1.0;1.0;1.0;1.0;1.625;1.375;0.9411764705882353;1.5294117647058822;1.2941176470588236;0.0;0.0;0.0;0.9739252995066948;0.0;0.026074700493305146;1;1;1
3.0;0.0;0.0;1.0;0.0;0.0;1.0;16.0;26.0;20.0;0.5333333333333333;0.65;1.0;1.0;1.625;1.25;2.2857142857142856;3.7142857142857144;0.8571428571428571;0.0;0.0;1.0;0.9745824255628177;0.010167029774872912;0.015250544662309368;0;0;1
5.0;0.0;0.0;1.0;0.0;0.0;1.0;22.0;26.0;25.0;0.6666666666666666;0.7027027027027027;1.0;1.0;1.1818181818181819;1.1363636363636365;1.4666666666666666;1.7333333333333334;0.9333333333333333;0.0;0.0;0.0;0.9836552748885586;0.008172362555720654;0.008172362555720654;0;1;1
1.0;0.0;1.0;0.0;0.0;1.0;0.21052631578947367;2.0;38.0;27.0;0.08;0.9047619047619048;0.5869565217391305;1.0;19.0;13.5;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.9571532316630356;0.01670297748729121;0.026143790849673203;1;0;0
5.0;0.0;1.0;0.0;0.0;1.0;0.11764705882352941;22.0;21.0;16.0;0.5365853658536586;0.9130434782608695;0.48484848484848486;1.375;1.3125;1.0;4.4;0.8;2.8;0.0;1.0;0.0;0.9627465303140978;0.013878743608473338;0.02337472607742878;1;1;0
4.0;0.0;0.0;0.0;0.0;1.0;0.0;24.0;27.0;22.0;0.8571428571428571;1.0;0.8461538461538461;1.0909090909090908;1.2272727272727273;1.0;1.0434782608695652;1.0;0.9565217391304348;0.0;0.0;0.0;0.9688686408504176;0.0030372057706909645;0.02809415337889142;0;1;0
3.0;0.0;1.0;0.0;0.0;1.0;0.0;16.0;46.0;6.0;0.4444444444444444;1.0;0.23076923076923078;2.6666666666666665;7.666666666666667;1.0;2.2857142857142856;3.7142857142857144;0.8571428571428571;0.0;0.0;1.0;0.9402092675635276;0.014947683109118086;0.04484304932735426;0;0;1
1.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;30.0;23.0;0.15384615384615385;1.0;0.6764705882352942;1.0;15.0;11.5;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.954858454475899;0.008416220351951033;0.036725325172149964;1;0;0
5.0;0.0;0.0;0.0;0.0;1.0;0.0;22.0;29.0;14.0;0.88;1.0;0.8235294117647058;1.5714285714285714;2.0714285714285716;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333333;0.0;0.0;0.0;0.9484218629715165;0.0023094688221709007;0.049268668206312545;0;0;1
5.0;0.0;0.0;1.0;0.0;0.0;1.0;22.0;26.0;7.0;0.8148148148148148;0.8387096774193549;1.0;3.142857142857143;3.7142857142857144;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.9425465838509317;0.0038819875776397515;0.05357142857142857;1;0;0
4.0;1.0;0.0;1.0;1.0;0.0;0.15;44.0;6.0;25.0;0.9361702127659575;0.20689655172413793;0.5555555555555556;7.333333333333333;1.0;4.166666666666667;3.4285714285714284;0.8571428571428571;3.142857142857143;0.0;1.0;0.0;0.9387121799844841;0.017843289371605897;0.04344453064391001;1;0;0
4.0;2.0;0.0;0.0;1.0;0.0;0.0;32.0;6.0;22.0;1.0;0.16666666666666666;0.4230769230769231;5.333333333333333;1.0;3.6666666666666665;0.6666666666666666;2.0;7.333333333333333;1.0;1.0;0.0;0.9365700861393892;0.023492560689115115;0.039937353171495694;1;0;0
5.0;3.0;0.0;0.0;1.0;0.0;0.0;54.0;26.0;2.0;1.0;0.4482758620689655;0.058823529411764705;27.0;13.0;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.9351055512118843;0.02501954652071931;0.0398749022673964;0;0;1
4.0;2.0;0.0;0.0;1.0;0.0;0.0;27.0;6.0;22.0;1.0;0.1935483870967742;0.46808510638297873;4.5;1.0;3.6666666666666665;0.6666666666666666;2.0;7.333333333333333;1.0;1.0;0.0;0.9433359936153233;0.019952114924181964;0.03671189146049481;1;0;0
5.0;3.0;0.0;0.0;1.0;0.0;0.0;47.0;26.0;2.0;1.0;0.5098039215686274;0.07407407407407407;23.5;13.0;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.9461847389558233;0.020080321285140562;0.033734939759036145;0;1;1
4.0;3.0;0.0;0.0;1.0;0.0;0.0;29.0;6.0;22.0;1.0;0.18181818181818182;0.4489795918367347;4.833333333333333;1.0;3.6666666666666665;0.6666666666666666;2.0;7.333333333333333;1.0;1.0;0.0;0.9381526104417671;0.021686746987951807;0.040160642570281124;1;0;1
5.0;4.0;0.0;0.0;1.0;0.0;0.0;47.0;26.0;2.0;1.0;0.5098039215686274;0.07407407407407407;23.5;13.0;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.9414157851912124;0.02034174125305126;0.03824247355573637;0;0;1
4.0;4.0;0.0;0.0;1.0;0.0;0.0;24.0;6.0;22.0;1.0;0.21428571428571427;0.5;4.0;1.0;3.6666666666666665;0.6666666666666666;2.0;7.333333333333333;1.0;1.0;0.0;0.9410801963993454;0.01800327332242226;0.04091653027823241;1;0;1
2.0;5.0;0.0;0.0;1.0;0.0;0.0;36.0;20.0;20.0;1.0;0.5882352941176471;0.5882352941176471;1.8;1.0;1.0;1.0476190476190477;0.9523809523809523;0.9523809523809523;0.0;0.0;0.0;0.9629629629629629;0.011784511784511785;0.025252525252525252;0;0;1
2.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;25.0;20.0;11.0;0.7352941176470589;0.625;0.7857142857142857;2.272727272727273;1.8181818181818181;1.0;7.333333333333333;6.666666666666667;0.6666666666666666;0.0;0.0;1.0;0.9622641509433962;0.010291595197255575;0.0274442538593482;0;1;1
2.0;0.0;0.0;0.0;0.0;0.0;1.0;22.0;20.0;3.0;0.9565217391304348;0.9523809523809523;1.0;7.333333333333333;6.666666666666667;1.0;7.333333333333333;6.666666666666667;0.6666666666666666;0.0;0.0;1.0;0.9500430663221361;0.0008613264427217916;0.04909560723514212;0;1;0
4.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;34.0;22.0;0.15384615384615385;1.0;0.6666666666666666;1.0;17.0;11.0;0.6666666666666666;7.666666666666667;7.333333333333333;1.0;0.0;0.0;0.9486271036315324;0.00974313551815766;0.04162976085031001;0;0;1
4.0;0.0;0.0;1.0;0.0;0.08333333333333333;1.0;2.0;24.0;18.0;0.13333333333333333;0.6666666666666666;0.9473684210526315;1.0;12.0;9.0;0.6666666666666666;7.666666666666667;2.0;1.0;0.0;1.0;0.9630655586334257;0.012003693444136657;0.024930747922437674;1;1;0
2.0;0.0;0.0;1.0;0.0;0.0;1.0;22.0;6.0;29.0;0.7096774193548387;0.4;1.0;3.6666666666666665;1.0;4.833333333333333;3.142857142857143;0.8571428571428571;2.857142857142857;0.0;1.0;0.0;0.9574074074074074;0.008333333333333333;0.03425925925925926;0;1;0
1.0;0.0;0.0;0.0;1.0;1.0;1.0;12.0;19.0;23.0;1.0;1.0;1.0;1.0;1.5833333333333333;1.9166666666666667;0.9230769230769231;1.4615384615384615;1.7692307692307692;0.0;0.0;0.0;0.9720885466794995;0.0;0.02791145332050048;0;0;1
1.0;0.0;0.0;1.0;0.0;0.0;1.0;12.0;19.0;25.0;0.35294117647058826;0.4634146341463415;1.0;1.0;1.5833333333333333;2.0833333333333335;3.0;4.75;0.75;0.0;0.0;1.0;0.9539906103286385;0.020657276995305163;0.02535211267605634;0;0;1
1.0;0.0;0.0;2.0;0.0;0.0;1.0;12.0;19.0;19.0;0.42857142857142855;0.5428571428571428;1.0;1.0;1.5833333333333333;1.5833333333333333;3.0;4.75;0.75;0.0;0.0;1.0;0.9756335282651072;0.015594541910331383;0.008771929824561403;0;0;1
4.0;0.0;0.0;2.0;0.0;0.0;1.0;2.0;23.0;31.0;0.18181818181818182;0.71875;1.0;1.0;11.5;15.5;0.6666666666666666;7.666666666666667;7.333333333333333;1.0;0.0;0.0;0.9908998988877654;0.00910010111223458;0.0;1;0;0
2.0;0.0;0.0;1.0;0.0;0.0;1.0;22.0;6.0;26.0;0.7857142857142857;0.5;1.0;3.6666666666666665;1.0;4.333333333333333;3.142857142857143;0.8571428571428571;2.857142857142857;0.0;1.0;0.0;0.9868287740628167;0.0060790273556231;0.0070921985815602835;0;1;0
2.0;0.0;0.0;0.0;1.0;1.0;1.0;22.0;6.0;20.0;1.0;1.0;1.0;3.6666666666666665;1.0;3.3333333333333335;3.142857142857143;0.8571428571428571;2.857142857142857;0.0;1.0;0.0;0.9560878243512974;0.0;0.043912175648702596;1;1;0
2.0;0.0;0.0;0.0;1.0;1.0;1.0;22.0;6.0;20.0;1.0;1.0;1.0;3.6666666666666665;1.0;3.3333333333333335;3.142857142857143;0.8571428571428571;2.857142857142857;0.0;1.0;0.0;0.9631901840490797;0.0;0.03680981595092025;0;1;0
2.0;0.0;0.0;0.0;0.0;1.0;0.0;22.0;10.0;20.0;0.8461538461538461;1.0;0.8333333333333334;2.2;1.0;2.0;3.142857142857143;0.8571428571428571;2.857142857142857;0.0;1.0;0.0;0.963076923076923;0.0041025641025641026;0.03282051282051282;1;0;0
2.0;1.0;0.0;0.0;1.0;0.0;0.0;20.0;6.0;20.0;1.0;0.2727272727272727;0.5555555555555556;3.3333333333333335;1.0;3.3333333333333335;0.8;1.2;4.0;1.0;1.0;0.0;0.9546858908341915;0.016477857878475798;0.028836251287332648;0;1;0
2.0;1.0;0.0;0.0;1.0;0.0;0.0;12.0;6.0;20.0;1.0;0.42857142857142855;0.7142857142857143;2.0;1.0;3.3333333333333335;0.8;1.2;4.0;1.0;1.0;0.0;0.9700854700854701;0.008547008547008548;0.021367521367521368;0;1;0
4.0;0.0;0.0;0.0;1.0;0.3333333333333333;0.0;27.0;24.0;22.0;0.9642857142857143;0.8888888888888888;0.8461538461538461;1.2272727272727273;1.0909090909090908;1.0;1.0434782608695652;1.0;0.9565217391304348;0.0;0.0;0.0;0.9845132743362832;0.004424778761061947;0.011061946902654867;1;0;1
