Family;Qsize_R6;Qsize_R7;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Exp_Charge__R6;Exp_Charge__R7;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Eff_Gross_R6;Eff_Gross_R7;predFamilies_R6;predFamilies_R7;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0
5.0;0.0;0.0;1.0;1.0;24.0;33.0;1.0;1.0;1.0;1.375;0.96;1.32;0.0;0.0;0.9989059080962801;0.0010940919037199124;0.0;1;0
5.0;1.0;0.0;1.0;0.0;31.0;33.0;1.0;0.6;1.0;1.064516129032258;0.9;3.3;1.0;0.0;0.9779116465863453;0.0;0.02208835341365462;0;1
5.0;1.0;1.0;0.5925925925925926;1.0;25.0;41.0;0.4807692307692308;0.7192982456140351;1.0;1.64;0.9;1.4;1.0;1.0;0.9522388059701492;0.015671641791044775;0.03208955223880597;1;1
5.0;1.0;1.0;0.9;1.0;27.0;34.0;0.574468085106383;0.6538461538461539;1.0;1.2592592592592593;0.9;1.4;1.0;1.0;0.9621542940320232;0.010189228529839884;0.027656477438136828;1;0
5.0;1.0;0.0;1.0;0.4166666666666667;21.0;19.0;0.8076923076923077;0.6129032258064516;1.105263157894737;1.0;0.9;1.4;1.0;1.0;0.9815043156596794;0.008014796547472256;0.010480887792848335;0;1
5.0;0.0;0.0;0.5;1.0;16.0;28.0;0.5333333333333333;0.8;1.0;1.75;0.9;1.4;1.0;1.0;0.9819987585350713;0.004965859714463066;0.01303538175046555;1;1
5.0;0.0;0.0;1.0;0.7777777777777778;18.0;21.0;0.72;0.7;1.0;1.1666666666666667;0.9;1.4;1.0;1.0;0.9892744479495268;0.0006309148264984228;0.010094637223974764;1;0
5.0;1.0;0.0;1.0;0.3125;25.0;19.0;0.8333333333333334;0.5428571428571428;1.3157894736842106;1.0;0.9;1.4;1.0;1.0;0.9867507886435332;0.0;0.013249211356466877;1;1
5.0;0.0;0.0;0.7;1.0;16.0;24.0;0.6153846153846154;0.7741935483870968;1.0;1.5;0.9;1.4;1.0;1.0;0.9825693996126533;0.006455777921239509;0.010974822466107165;1;0
5.0;0.0;0.0;1.0;0.3333333333333333;18.0;17.0;0.8571428571428571;0.6538461538461539;1.0588235294117647;1.0;0.9;1.4;1.0;1.0;0.990112063282795;0.001977587343441002;0.007910349373764008;1;0
3.0;1.0;0.0;1.0;0.0;50.0;34.0;1.0;0.7083333333333334;1.4705882352941178;1.0;1.0285714285714285;0.9714285714285714;0.0;0.0;0.9836173001310616;0.007208387942332897;0.009174311926605505;0;1
1.0;0.0;1.0;0.09090909090909091;1.0;31.0;45.0;0.5849056603773585;0.9574468085106383;1.0;1.4516129032258065;1.2083333333333333;0.9583333333333334;0.0;0.0;0.9833555259653795;0.0006657789613848203;0.015978695073235686;1;0
1.0;1.0;1.0;1.0;0.8;35.0;43.0;0.6363636363636364;0.6323529411764706;1.0;1.2285714285714286;0.9090909090909091;2.090909090909091;1.0;0.0;0.9703557312252964;0.0;0.029644268774703556;1;0
1.0;2.0;1.0;1.0;0.45714285714285713;45.0;39.0;0.7377049180327869;0.527027027027027;1.1538461538461537;1.0;0.9090909090909091;2.090909090909091;1.0;0.0;0.966358839050132;0.0;0.033641160949868076;0;1
2.0;0.0;1.0;0.7142857142857143;1.0;38.0;54.0;0.7307692307692307;0.84375;1.0;1.4210526315789473;0.9655172413793104;1.3793103448275863;0.0;0.0;0.9781420765027322;0.00546448087431694;0.01639344262295082;1;0
1.0;1.0;0.0;1.0;0.25806451612903225;60.0;16.0;0.8823529411764706;0.3404255319148936;3.75;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9667796610169491;0.006779661016949152;0.026440677966101694;0;1
1.0;1.0;1.0;1.0;0.4642857142857143;57.0;21.0;0.8142857142857143;0.42857142857142855;2.7142857142857144;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9686221009549796;0.0034106412005457027;0.02796725784447476;0;1
1.0;1.0;1.0;1.0;0.6521739130434783;52.0;23.0;0.7761194029850746;0.5;2.260869565217391;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9737206085753803;0.0;0.02627939142461964;0;1
5.0;1.0;1.0;1.0;1.0;38.0;47.0;0.7307692307692307;0.7704918032786885;1.0;1.236842105263158;0.96;1.32;0.0;0.0;0.9727081875437369;0.007697690692792162;0.01959412176347096;1;0
5.0;1.0;0.0;1.0;0.14705882352941177;43.0;38.0;0.8958333333333334;0.5277777777777778;1.131578947368421;1.0;0.9;3.3;1.0;0.0;0.9709219858156029;0.0014184397163120568;0.027659574468085105;1;0
3.0;2.0;0.0;1.0;0.05;76.0;36.0;0.9743589743589743;0.47368421052631576;2.111111111111111;1.0;1.0285714285714285;0.9714285714285714;0.0;0.0;0.9676724137931034;0.0021551724137931034;0.03017241379310345;0;1
3.0;2.0;1.0;0.96875;1.0;67.0;42.0;0.6767676767676768;0.5753424657534246;1.5952380952380953;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.9550641940085592;0.0;0.0449358059914408;0;1
2.0;0.0;1.0;0.45;1.0;37.0;60.0;0.6491228070175439;0.8695652173913043;1.0;1.6216216216216217;0.9655172413793104;1.3793103448275863;0.0;0.0;0.9502523431867339;0.02883922134102379;0.02090843547224225;1;0
2.0;1.0;1.0;1.0;0.5384615384615384;34.0;54.0;0.7083333333333334;0.675;1.0;1.588235294117647;0.8888888888888888;4.444444444444445;1.0;0.0;0.9484386347131445;0.02251270878721859;0.029048656499636893;1;0
