Family;Qsize_R6;Qsize_R7;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Exp_Charge__R6;Exp_Charge__R7;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Eff_Gross_R6;Eff_Gross_R7;predFamilies_R6;predFamilies_R7;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource
1.0;0.0;0.0;1.0;1.0;29.0;23.0;1.0;1.0;1.2608695652173914;1.0;1.2083333333333333;0.9583333333333334;0.0;0.0;0.9573333333333334;0.042666666666666665;0.0;1.0
4.0;0.0;0.0;0.0;1.0;29.0;34.0;0.8285714285714286;1.0;1.0;1.1724137931034482;1.0;0.9655172413793104;0.0;0.0;0.9894837476099426;0.004780114722753346;0.0057361376673040155;0.0
1.0;1.0;0.0;1.0;0.23076923076923078;55.0;14.0;0.9016393442622951;0.35;3.9285714285714284;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9654850746268657;0.0046641791044776115;0.029850746268656716;1.0
4.0;1.0;0.0;1.0;0.34782608695652173;34.0;36.0;0.8095238095238095;0.6101694915254238;1.0;1.0588235294117647;0.9166666666666666;2.3333333333333335;1.0;0.0;0.9642289348171701;0.011128775834658187;0.0246422893481717;0.0
3.0;1.0;0.0;1.0;0.0;55.0;34.0;1.0;0.6415094339622641;1.6176470588235294;1.0;1.0285714285714285;0.9714285714285714;0.0;0.0;0.9739583333333334;0.013671875;0.012369791666666666;1.0
3.0;0.0;1.0;0.375;1.0;45.0;34.0;0.6521739130434783;0.7906976744186046;1.3235294117647058;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.9710526315789474;0.007236842105263158;0.021710526315789475;1.0
3.0;0.0;2.0;0.0;1.0;36.0;32.0;0.6206896551724138;1.0;1.125;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.9817073170731707;0.0033875338753387536;0.014905149051490514;1.0
3.0;0.0;2.0;0.0;1.0;36.0;40.0;0.5454545454545454;1.0;1.0;1.1111111111111112;3.272727272727273;0.9090909090909091;0.0;1.0;0.9783344617467841;0.0013540961408259986;0.020311442112389978;1.0
5.0;0.0;3.0;0.0;1.0;24.0;70.0;0.39344262295081966;1.0;1.0;2.9166666666666665;0.96;1.32;0.0;0.0;0.963186077643909;0.012048192771084338;0.024765729585006693;0.0
2.0;0.0;1.0;0.2777777777777778;1.0;33.0;58.0;0.6470588235294118;0.9206349206349206;1.0;1.7575757575757576;0.9655172413793104;1.3793103448275863;0.0;0.0;0.9532967032967034;0.030906593406593408;0.015796703296703296;0.0
2.0;1.0;0.0;1.0;0.34782608695652173;31.0;48.0;0.7948717948717948;0.676056338028169;1.0;1.5483870967741935;0.8888888888888888;4.444444444444445;1.0;0.0;0.9454042847270214;0.0331720801658604;0.021423635107118175;0.0
3.0;1.0;0.0;1.0;0.0;51.0;10.0;1.0;0.4;5.1;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.9595457771469127;0.029808374733853796;0.0106458481192335;1.0
5.0;1.0;0.0;1.0;0.6153846153846154;37.0;41.0;0.8222222222222222;0.7592592592592593;1.0;1.1081081081081081;0.96;1.32;0.0;0.0;0.9587482219061166;0.02631578947368421;0.014935988620199146;0.0
4.0;2.0;0.0;1.0;0.15;69.0;34.0;0.92;0.4594594594594595;2.0294117647058822;1.0;1.0;0.9655172413793104;0.0;0.0;0.9444834855938159;0.023190442726633873;0.03232607167955025;1.0
4.0;1.0;1.0;1.0;0.9411764705882353;63.0;40.0;0.6631578947368421;0.5405405405405406;1.575;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9327731092436975;0.02100840336134454;0.046218487394957986;1.0
1.0;1.0;2.0;0.9411764705882353;1.0;61.0;57.0;0.6421052631578947;0.6404494382022472;1.0701754385964912;1.0;1.2083333333333333;0.9583333333333334;0.0;0.0;0.9345531315974666;0.019000703729767768;0.04644616467276566;1.0
5.0;1.0;3.0;0.35185185185185186;1.0;28.0;87.0;0.34146341463414637;0.8207547169811321;1.0;3.107142857142857;0.9;3.3;1.0;0.0;0.9344729344729344;0.013532763532763533;0.051994301994301995;0.0
5.0;1.0;2.0;0.3157894736842105;1.0;21.0;71.0;0.3559322033898305;0.8554216867469879;1.0;3.380952380952381;0.9;3.3;1.0;0.0;0.9356287425149701;0.02694610778443114;0.0374251497005988;0.0
5.0;2.0;1.0;0.5277777777777778;1.0;28.0;69.0;0.4375;0.7840909090909091;1.0;2.4642857142857144;0.9;3.3;1.0;0.0;0.9340329835082459;0.024737631184407798;0.04122938530734633;0.0
5.0;2.0;1.0;0.7647058823529411;1.0;35.0;67.0;0.5072463768115942;0.7204301075268817;1.0;1.9142857142857144;0.9;3.3;1.0;0.0;0.9317329332333083;0.023255813953488372;0.0450112528132033;0.0
5.0;3.0;1.0;1.0;0.967741935483871;40.0;63.0;0.5714285714285714;0.6702127659574468;1.0;1.575;0.9;3.3;1.0;0.0;0.9348484848484848;0.01893939393939394;0.04621212121212121;0.0
1.0;3.0;1.0;1.0;0.5833333333333334;65.0;29.0;0.7558139534883721;0.4461538461538462;2.2413793103448274;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9399696048632219;0.016717325227963525;0.04331306990881459;1.0
1.0;3.0;2.0;1.0;0.7941176470588235;63.0;35.0;0.7;0.5072463768115942;1.8;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9390708301599391;0.014470677837014471;0.046458492003046456;1.0
3.0;1.0;1.0;0.9333333333333333;1.0;50.0;49.0;0.7692307692307693;0.7777777777777778;1.0204081632653061;1.0;1.0285714285714285;0.9714285714285714;0.0;0.0;0.9476605868358445;0.029341792228390166;0.022997620935765267;1.0
5.0;0.0;1.0;0.13333333333333333;1.0;13.0;63.0;0.3023255813953488;0.9402985074626866;1.0;4.846153846153846;0.9;3.3;1.0;0.0;0.9585365853658536;0.013821138211382113;0.027642276422764227;0.0
4.0;0.0;1.0;0.13333333333333333;1.0;33.0;58.0;0.5238095238095238;0.9354838709677419;1.0;1.7575757575757576;1.0;0.9655172413793104;0.0;0.0;0.9592833876221498;0.013029315960912053;0.02768729641693811;0.0
2.0;1.0;1.0;1.0;1.0;57.0;69.0;0.6627906976744186;0.7040816326530612;1.0;1.2105263157894737;0.9655172413793104;1.3793103448275863;0.0;0.0;0.9415532425940752;0.01200960768614892;0.04643714971977582;0.0
2.0;2.0;1.0;1.0;0.30952380952380953;50.0;53.0;0.7936507936507936;0.5578947368421052;1.0;1.06;0.8888888888888888;4.444444444444445;1.0;0.0;0.9451371571072319;0.00914380714879468;0.0457190357439734;0.0
2.0;2.0;0.0;1.0;0.05128205128205128;47.0;42.0;0.9591836734693877;0.5185185185185185;1.119047619047619;1.0;0.8888888888888888;4.444444444444445;1.0;0.0;0.9645328719723183;0.0;0.03546712802768166;0.0
3.0;3.0;0.0;1.0;0.021739130434782608;82.0;11.0;0.9879518072289156;0.19298245614035087;7.454545454545454;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.9594827586206897;0.0;0.04051724137931034;1.0
2.0;3.0;0.0;1.0;0.0975609756097561;49.0;44.0;0.9245283018867925;0.5176470588235295;1.1136363636363635;1.0;0.8888888888888888;4.444444444444445;1.0;0.0;0.9606643356643356;0.0;0.039335664335664336;0.0
3.0;4.0;0.0;1.0;0.0;78.0;10.0;1.0;0.19230769230769232;7.8;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.9623992837958818;0.0;0.03760071620411817;1.0
2.0;4.0;0.0;1.0;0.21951219512195122;49.0;49.0;0.8448275862068966;0.5444444444444444;1.0;1.0;0.8888888888888888;4.444444444444445;1.0;0.0;0.9554764024933214;0.0;0.04452359750667854;0.0
2.0;3.0;0.0;1.0;0.0;39.0;40.0;1.0;0.5633802816901409;1.0;1.0256410256410255;0.8888888888888888;4.444444444444445;1.0;0.0;0.9714285714285714;0.0;0.02857142857142857;0.0
3.0;3.0;0.0;1.0;0.0;67.0;10.0;1.0;0.24390243902439024;6.7;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.971000935453695;0.0;0.028999064546304958;1.0
3.0;2.0;0.0;1.0;0.0;55.0;10.0;1.0;0.3448275862068966;5.5;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.9816069699903195;0.0;0.018393030009680542;1.0
3.0;0.0;0.0;1.0;0.0;43.0;10.0;1.0;0.5882352941176471;4.3;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.9929292929292929;0.0;0.007070707070707071;1.0
2.0;0.0;0.0;1.0;1.0;8.0;40.0;1.0;1.0;1.0;5.0;0.8888888888888888;4.444444444444445;1.0;0.0;1.0;0.0;0.0;0.0
3.0;0.0;0.0;1.0;0.0;43.0;10.0;1.0;0.5882352941176471;4.3;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.9927536231884058;0.0;0.007246376811594203;1.0
2.0;0.0;0.0;0.0;1.0;8.0;43.0;0.7272727272727273;1.0;1.0;5.375;0.8888888888888888;4.444444444444445;1.0;0.0;0.9968454258675079;0.0;0.0031545741324921135;0.0
3.0;0.0;0.0;1.0;0.0;37.0;10.0;1.0;0.9090909090909091;3.7;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.998911860718172;0.0;0.001088139281828074;1.0
5.0;0.0;0.0;1.0;1.0;24.0;33.0;1.0;1.0;1.0;1.375;0.96;1.32;0.0;0.0;0.9770491803278688;0.022950819672131147;0.0;0.0
3.0;1.0;0.0;1.0;0.0;46.0;10.0;1.0;0.5;4.6;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.9807474518686297;0.007927519818799546;0.011325028312570781;1.0
4.0;0.0;0.0;1.0;1.0;31.0;30.0;0.9393939393939394;0.9375;1.0333333333333334;1.0;1.0;0.9655172413793104;0.0;0.0;0.9918319719953326;0.003500583430571762;0.004667444574095682;0.0
3.0;1.0;0.0;1.0;0.0;63.0;10.0;1.0;0.2702702702702703;6.3;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.9689298043728424;0.0;0.031070195627157654;1.0
3.0;1.0;0.0;1.0;0.0;51.0;10.0;1.0;0.4;5.1;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.9779411764705882;0.003676470588235294;0.01838235294117647;1.0
3.0;0.0;0.0;1.0;0.5454545454545454;47.0;16.0;0.8867924528301887;0.5925925925925926;2.9375;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.9789343246592317;0.0;0.021065675340768277;1.0
4.0;0.0;0.0;1.0;1.0;11.0;28.0;1.0;1.0;1.0;2.5454545454545454;0.9166666666666666;2.3333333333333335;1.0;0.0;0.9788359788359788;0.021164021164021163;0.0;0.0
1.0;0.0;0.0;1.0;1.0;29.0;23.0;1.0;1.0;1.2608695652173914;1.0;1.2083333333333333;0.9583333333333334;0.0;0.0;0.9712722298221614;0.028727770177838577;0.0;1.0
5.0;0.0;1.0;0.0;1.0;24.0;54.0;0.5333333333333333;1.0;1.0;2.25;0.96;1.32;0.0;0.0;0.9476510067114094;0.024161073825503355;0.028187919463087248;0.0
1.0;1.0;1.0;1.0;0.8125;45.0;21.0;0.7758620689655172;0.5675675675675675;2.142857142857143;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.943089430894309;0.017615176151761516;0.03929539295392954;1.0
1.0;0.0;1.0;0.6153846153846154;1.0;37.0;21.0;0.74;0.7241379310344828;1.7619047619047619;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9631728045325779;0.007082152974504249;0.029745042492917848;1.0
1.0;0.0;2.0;0.2777777777777778;1.0;34.0;26.0;0.6538461538461539;0.8387096774193549;1.3076923076923077;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9642346208869814;0.002861230329041488;0.032904148783977114;1.0
1.0;0.0;3.0;0.19230769230769232;1.0;34.0;34.0;0.5666666666666667;0.8717948717948718;1.0;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.9533239038189534;0.002828854314002829;0.04384724186704385;1.0
