Family;Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource
5.0;0.0;0.0;0.0;1.0;1.0;1.0;22.0;26.0;14.0;1.0;1.0;1.0;1.5714285714285714;1.8571428571428572;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333333;0.0;0.0;0.0;1.0;0.0;0.0;2.0
4.0;0.0;0.0;1.0;0.0;0.0;1.0;24.0;23.0;34.0;0.6666666666666666;0.6571428571428571;1.0;1.0434782608695652;1.0;1.4782608695652173;1.0434782608695652;1.0;0.9565217391304348;0.0;0.0;0.0;0.9607843137254902;0.0392156862745098;0.0;1.0
5.0;0.0;1.0;1.0;0.0;1.0;0.3125;22.0;42.0;7.0;0.5116279069767442;0.8936170212765957;0.30434782608695654;3.142857142857143;6.0;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.9533333333333334;0.04666666666666667;0.0;2.0
1.0;0.0;1.0;0.0;0.0;1.0;0.0;12.0;26.0;23.0;0.631578947368421;1.0;0.7666666666666667;1.0;2.1666666666666665;1.9166666666666667;0.9230769230769231;1.4615384615384615;1.7692307692307692;0.0;0.0;0.0;0.9438377535101404;0.0109204368174727;0.0452418096723869;0.0
5.0;1.0;1.0;0.0;1.0;0.4117647058823529;0.0;39.0;33.0;2.0;0.8478260869565217;0.66;0.07692307692307693;19.5;16.5;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.9194528875379939;0.0364741641337386;0.044072948328267476;2.0
3.0;0.0;0.0;0.0;1.0;1.0;1.0;16.0;26.0;22.0;1.0;1.0;1.0;1.0;1.625;1.375;0.9411764705882353;1.5294117647058822;1.2941176470588236;0.0;0.0;0.0;0.9657768651608487;0.0;0.034223134839151265;0.0
2.0;0.0;0.0;0.0;1.0;0.0;0.0;25.0;20.0;20.0;1.0;0.8695652173913043;0.8695652173913043;1.25;1.0;1.0;1.0476190476190477;0.9523809523809523;0.9523809523809523;0.0;0.0;0.0;0.9795342272406493;0.002117148906139732;0.01834862385321101;0.0
3.0;1.0;0.0;0.0;1.0;0.0;0.0;36.0;26.0;22.0;1.0;0.5652173913043478;0.5238095238095238;1.6363636363636365;1.1818181818181819;1.0;0.9411764705882353;1.5294117647058822;1.2941176470588236;0.0;0.0;0.0;0.9461914744933613;0.013976240391334731;0.039832285115303984;2.0
5.0;1.0;0.0;1.0;0.8;0.0;1.0;30.0;26.0;24.0;0.75;0.5909090909090909;0.75;1.25;1.0833333333333333;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333333;0.0;0.0;0.0;0.9630702389572773;0.013034033309196235;0.02389572773352643;2.0
1.0;0.0;0.0;1.0;0.16666666666666666;0.0;1.0;16.0;19.0;47.0;0.4;0.40425531914893614;0.9215686274509803;1.0;1.1875;2.9375;0.9230769230769231;1.4615384615384615;1.7692307692307692;0.0;0.0;0.0;0.9616497829232996;0.020260492040520984;0.01808972503617945;1.0
