# ('scenarios/K0/', 'solution/K0_best/', 's1.csv', 'Best_GA_Solution_Classic_1_fixed_100P5F_60T28U_1_s1.csv', {'id': 1, 'cells': [{'id': 1, 'resources': [{'id': 1, 'process_times': [10, 8, 12, 11, 9], 'setup_times': [2, 5, 12, 19, 8]}, {'id': 2, 'process_times': [12, 10, 14, 7, 16], 'setup_times': [4, 11, 28, 12, 20]}]}, {'id': 2, 'resources': [{'id': 1, 'process_times': [2, 4, 4, 2, 7], 'setup_times': [10, 18, 12, 22, 15]}, {'id': 2, 'process_times': [7, 6, 6, 6, 4], 'setup_times': [12, 14, 20, 17, 22]}, {'id': 3, 'process_times': [3, 2, 6, 6, 2], 'setup_times': [20, 18, 16, 16, 12]}]}, {'id': 3, 'resources': [{'id': 1, 'process_times': [10, 8, 12, 11, 9], 'setup_times': [19, 20, 24, 18, 15]}, {'id': 2, 'process_times': [8, 12, 10, 8, 14], 'setup_times': [15, 28, 24, 20, 19]}]}]}, 3, 150, 225, None)
iteration,meilleur_voisin_courant,meilleur_voisin_global
0,614.6176470588235,614.6176470588235
1,574.9215686274509,574.9215686274509
2,558.9705882352941,558.9705882352941
3,548.0784313725491,548.0784313725491
4,538.3137254901961,538.3137254901961
5,528.9019607843137,528.9019607843137
6,522.7745098039215,522.7745098039215
7,518.2058823529412,518.2058823529412
8,514.2352941176471,514.2352941176471
9,510.3921568627451,510.3921568627451
10,507.37254901960785,507.37254901960785
11,505.72549019607845,505.72549019607845
12,504.22549019607845,504.22549019607845
13,503.1372549019608,503.1372549019608
14,501.46078431372547,501.46078431372547
15,498.0980392156863,498.0980392156863
16,496.9019607843137,496.9019607843137
17,495.9901960784314,495.9901960784314
18,495.0098039215686,495.0098039215686
19,494.5,494.5
20,494.04901960784315,494.04901960784315
21,493.6470588235294,493.6470588235294
22,493.47058823529414,493.47058823529414
23,493.4313725490196,493.4313725490196
24,493.20588235294116,493.20588235294116
25,492.3235294117647,492.3235294117647
26,492.3235294117647,492.3235294117647
27,492.3235294117647,492.3235294117647
28,492.3235294117647,492.3235294117647
29,487.3333333333333,487.3333333333333
30,481.7156862745098,481.7156862745098
31,480.7352941176471,480.7352941176471
32,480.34313725490193,480.34313725490193
33,480.2156862745098,480.2156862745098
34,479.9313725490196,479.9313725490196
35,479.6862745098039,479.6862745098039
36,479.6862745098039,479.6862745098039
37,479.6862745098039,479.6862745098039
38,479.6862745098039,479.6862745098039
39,479.6862745098039,479.6862745098039
40,479.6862745098039,479.6862745098039
41,479.4019607843137,479.4019607843137
42,478.87254901960785,478.87254901960785
43,478.87254901960785,478.87254901960785
44,478.87254901960785,478.87254901960785
45,478.87254901960785,478.87254901960785
46,477.95098039215685,477.95098039215685
47,477.44117647058823,477.44117647058823
48,477.1666666666667,477.1666666666667
49,477.1666666666667,477.1666666666667
50,477.1666666666667,477.1666666666667
51,477.1666666666667,477.1666666666667
52,477.1666666666667,477.1666666666667
53,477.1666666666667,477.1666666666667
54,477.1666666666667,477.1666666666667
55,477.1666666666667,477.1666666666667
56,477.1666666666667,477.1666666666667
57,477.1666666666667,477.1666666666667
58,477.1666666666667,477.1666666666667
59,477.1666666666667,477.1666666666667
60,477.1666666666667,477.1666666666667
61,477.1666666666667,477.1666666666667
62,477.1666666666667,477.1666666666667
63,477.1666666666667,477.1666666666667
64,477.1666666666667,477.1666666666667
65,477.1666666666667,477.1666666666667
66,477.1666666666667,477.1666666666667
67,477.1666666666667,477.1666666666667
68,477.1666666666667,477.1666666666667
69,477.1666666666667,477.1666666666667
70,477.1666666666667,477.1666666666667
71,477.1666666666667,477.1666666666667
72,477.1666666666667,477.1666666666667
