0;1;2;3;4
2;1;3;10;
2;2;5;6;
7;3;5;6;
7;4;1;4;
8;5;3;4;
9;6;5;1;
11;7;3;2;
13;8;4;1;
13;9;5;5;
16;10;1;4;
19;11;4;1;
21;12;5;4;
22;13;1;9;
23;14;1;9;
24;15;1;2;
24;16;2;7;
24;17;5;5;
25;18;2;9;
26;19;1;10;
26;20;1;3;
29;21;1;1;
29;22;1;8;
31;23;4;5;
33;24;4;4;
33;25;2;1;
34;26;5;1;
34;27;1;9;
35;28;5;3;
37;29;5;7;
38;30;2;1;
39;31;2;9;
40;32;1;3;
40;33;1;2;
43;34;2;10;
43;35;2;1;
47;36;5;4;
48;37;5;3;
49;38;4;1;
50;39;4;5;
50;40;2;2;
51;41;4;10;
52;42;3;6;
52;43;4;6;
53;44;5;1;
53;45;2;5;
60;46;2;5;
62;47;1;6;
65;48;4;2;
69;49;1;2;
69;50;4;9;
70;51;2;9;
70;52;5;6;
74;53;5;6;
75;54;1;1;
75;55;5;1;
75;56;3;4;
76;57;5;10;
77;58;3;10;
79;59;4;10;
83;60;4;4;
85;61;3;4;
87;62;1;10;
88;63;5;2;
89;64;1;3;
89;65;2;3;
90;66;5;9;
90;67;3;9;
90;68;4;7;
92;69;1;7;
93;70;2;8;
94;71;5;1;
94;72;2;10;
94;73;2;4;
104;74;4;5;
105;75;5;1;
105;76;4;8;
106;77;5;4;
108;78;1;7;
108;79;2;6;
109;80;4;5;
111;81;4;10;
112;82;5;6;
112;83;2;6;
112;84;1;8;
113;85;2;9;
118;86;3;4;
118;87;4;4;
118;88;5;5;
120;89;1;7;
