P1;1;4;7;Unnamed: 4
P2;2;3;7;
P3;1;5;6;
P4;2;4;7;
P5;1;5;6;
P6;1;5;6;
P7;2;5;7;
P8;2;5;6;
P9;1;5;6;
P10;1;3;7;
P11;1;5;6;
P12;1;5;6;
P13;1;4;6;
P14;2;5;7;
P15;2;5;7;
P16;2;5;7;
P17;2;5;7;
P18;1;5;6;
P19;1;5;7;
P20;1;5;7;
P21;1;5;7;
P22;1;5;7;
P23;2;5;7;
P24;1;5;7;
P25;2;5;6;
P26;1;3;7;
P27;1;5;7;
P28;2;5;6;
P29;1;5;7;
P30;1;5;7;
P31;2;5;6;
P32;1;3;6;
P33;1;5;6;
P34;2;5;6;
P35;1;5;7;
P36;1;5;7;
P37;2;5;6;
P38;2;5;6;
P39;1;5;7;
P40;2;5;7;
P41;2;5;6;
P42;2;5;6;
P43;1;5;6;
P44;1;3;6;
P45;1;5;6;
P46;1;5;7;
P47;1;5;6;
P48;2;5;6;
P49;1;5;6;
P50;2;5;7;
P51;1;3;6;
P52;1;5;7;
P53;1;5;7;
P54;2;5;6;
P55;1;5;7;
P56;1;5;7;
P57;2;5;7;
P58;2;5;6;
P59;2;5;6;
P60;2;5;7;
P61;2;5;6;
P62;2;5;6;
P63;2;5;7;
P64;1;5;6;
P65;1;5;7;
P66;2;5;7;
P67;1;5;7;
P68;2;5;7;
P69;2;5;6;
P70;2;3;6;
P71;1;5;7;
P72;2;5;7;
P73;2;5;7;
P74;2;5;7;
P75;1;5;7;
P76;1;3;7;
P77;2;5;7;
P78;2;5;6;
P79;2;5;6;
P80;1;5;6;
P81;1;5;7;
P82;2;5;6;
P83;1;4;7;
P84;1;5;7;
P85;2;5;6;
P86;1;5;7;
P87;1;5;7;
P88;2;5;6;
P89;2;5;7;
P90;1;5;7;
P91;2;5;7;
P92;2;5;6;
P93;2;5;7;
P94;2;5;6;
P95;2;5;6;
P96;2;5;7;
P97;2;5;6;
P98;2;5;7;
