P1;1;4;7;10;13;
P2;2;5;6;12;14;
P3;2;4;7;12;13;
P4;1;3;9;10;13;
P5;2;4;7;12;14;
P6;2;4;8;12;14;
P7;2;4;8;12;14;
P8;2;5;8;11;13;
P9;2;3;6;10;13;
P10;2;4;9;12;13;
P11;1;3;6;10;14;
P12;1;5;6;12;13;
P13;2;3;6;10;14;
P14;2;5;7;10;14;
P15;2;3;7;11;14;
P16;1;5;6;11;14;
P17;1;3;9;12;14;
P18;2;3;6;12;14;
P19;2;4;9;11;13;
P20;2;4;7;12;14;
P21;1;5;6;10;14;
P22;1;3;6;10;14;
P23;2;4;7;10;13;
P24;1;3;6;11;13;
P25;2;3;7;10;13;
P26;1;3;6;12;14;
P27;1;5;8;11;14;
P28;2;3;8;12;14;
P29;1;3;6;10;14;
P30;1;3;6;11;14;
P31;1;5;8;10;14;
P32;2;3;6;11;13;
P33;2;4;6;10;14;
P34;1;5;6;10;14;
P35;1;4;9;11;13;
P36;2;3;7;11;13;
P37;1;4;9;12;13;
P38;1;4;9;10;13;
P39;1;3;6;11;13;
P40;2;5;9;12;14;
P41;1;3;6;11;13;
P42;2;5;8;11;13;
P43;1;5;9;11;14;
P44;2;3;6;10;13;
P45;2;4;7;11;14;
P46;1;5;9;10;14;
P47;2;4;6;10;14;
P48;1;5;9;12;14;
P49;1;5;9;11;13;
P50;2;5;7;10;14;
P51;1;5;9;10;14;
P52;2;3;6;10;14;
P53;2;4;6;12;14;
P54;1;4;6;11;14;
P55;1;4;6;10;14;
P56;1;4;7;11;14;
P57;1;5;7;12;14;
P58;1;5;6;10;14;
P59;2;3;8;12;14;
P60;2;4;6;12;13;
P61;2;3;7;10;14;
P62;1;3;9;12;13;
P63;2;4;8;11;13;
P64;1;3;7;12;13;
P65;1;4;6;10;14;
P66;2;4;7;10;14;
P67;1;4;6;12;14;
P68;1;3;7;10;13;
P69;2;5;6;11;14;
P70;1;3;8;10;14;
P71;1;3;6;12;14;
P72;2;4;7;12;14;
P73;2;3;6;12;13;
P74;2;5;7;11;13;
P75;1;5;8;11;13;
P76;2;4;9;11;14;
P77;2;5;7;12;13;
P78;1;4;8;10;13;
P79;2;3;7;12;14;
P80;1;5;6;10;14;
P81;1;3;9;12;13;
P82;1;5;6;10;14;
P83;1;3;6;12;14;
P84;1;3;6;12;14;
P85;1;3;7;10;14;
P86;2;3;7;10;14;
P87;2;3;9;12;13;
P88;1;3;6;11;14;
P89;1;5;6;10;14;
P90;1;4;7;11;14;
P91;1;5;9;12;14;
P92;2;5;7;11;14;
P93;1;4;6;11;13;
P94;2;3;7;12;14;
P95;1;3;6;10;13;
P96;1;3;8;12;13;
P97;1;3;7;10;14;
P98;1;4;6;12;13;
P99;1;4;6;12;13;
P100;1;4;8;10;13;
